Date,Open,High,Low,Close,Volume,Currency
2018-06-01,0.009095,0.010318,0.002977,0.003515,0,USD
2018-07-01,0.003515,0.006221,0.0,0.002672,0,USD
2018-08-01,0.002671,0.00275,0.000781,0.001089,0,USD
2018-09-01,0.001089,0.001205,0.000592,0.000695,0,USD
2018-10-01,0.000695,0.001091,0.000667,0.000732,0,USD
2018-11-01,0.000732,0.000807,0.000275,0.000343,0,USD
2018-12-01,0.000343,0.000411,0.000209,0.000287,0,USD
2019-01-01,0.000287,0.000587,0.000224,0.000263,0,USD
2019-02-01,0.000263,0.000292,0.000194,0.000234,0,USD
2019-03-01,0.000234,0.000321,0.000157,0.000292,0,USD
2019-04-01,0.000292,0.000557,0.000289,0.000392,0,USD
2019-05-01,0.000392,0.00056,0.00031,0.000427,0,USD
2019-06-01,0.000427,0.000558,0.000373,0.000432,0,USD
2019-07-01,0.000434,0.000528,0.000282,0.000403,0,USD
2019-08-01,0.000404,0.000464,0.000188,0.000192,0,USD
2019-09-01,0.000192,0.000327,0.000156,0.000167,0,USD
2019-10-01,0.000167,0.000263,0.000149,0.000184,0,USD
2019-11-01,0.000184,0.000411,0.000168,0.000226,0,USD
2019-12-01,0.000226,0.000232,0.000129,0.000216,0,USD
2020-01-01,0.000216,0.000289,0.000169,0.000187,0,USD
2020-02-01,0.000187,0.000356,0.000143,0.000256,0,USD
2020-03-01,0.000256,0.000356,9e-05,0.000128,0,USD
2020-04-01,0.000128,0.000209,0.000106,0.000173,0,USD
2020-05-01,0.000172,0.000201,9e-05,0.000189,0,USD
2020-06-01,0.000189,0.000338,8.9e-05,9.1e-05,0,USD
2020-07-01,9.1e-05,0.000227,8.9e-05,0.000227,0,USD
2020-08-01,0.000227,0.001284,0.000107,0.000408,0,USD
2020-09-01,0.000408,0.000636,0.00021,0.00027,0,USD
2020-10-01,0.00027,0.000401,0.000211,0.000276,0,USD
2020-11-01,0.000276,0.00039,0.000168,0.000295,0,USD
2020-12-01,0.000296,0.000414,0.000178,0.000289,0,USD
2021-01-01,0.00029,0.00042,0.000167,0.000331,0,USD
2021-02-01,0.000331,0.001433,0.000324,0.000453,0,USD
2021-03-01,0.000453,0.002682,0.000451,0.001764,0,USD
2021-04-01,0.001763,0.003567,0.000943,0.001153,0,USD
2021-05-01,0.001153,0.008135,0.000534,0.001119,0,USD
2021-06-01,0.001119,0.001184,0.000292,0.00035,0,USD
2021-07-01,0.00035,0.000719,0.000293,0.000415,0,USD
2021-08-01,0.000415,0.000505,0.000374,0.000469,0,USD
2021-09-01,0.000125,0.000148,0.000112,0.00012,0,USD
2021-10-01,0.00012,0.000198,1.8e-05,0.000129,0,USD
2021-11-01,0.000129,0.000194,7.9e-05,9.3e-05,0,USD
2021-12-01,9.3e-05,9.6e-05,7.1e-05,7.3e-05,0,USD
2022-01-01,7.4e-05,0.000224,6.5e-05,8.1e-05,0,USD
2022-02-01,8.1e-05,0.000277,5.2e-05,0.000117,0,USD
2022-03-01,0.000117,0.000121,7.3e-05,0.000104,0,USD
