Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.187604,0.693651,0.157882,0.366306,0,USD
2018-05-01,0.366306,0.479595,0.0,0.295532,0,USD
2018-06-01,0.295504,0.325433,0.167822,0.199416,0,USD
2018-07-01,0.199413,0.248866,2e-06,0.136894,0,USD
2018-08-01,0.136894,0.137591,0.059515,0.061483,0,USD
2018-09-01,0.061483,0.073654,0.035797,0.052422,0,USD
2018-10-01,0.052422,0.063646,0.034849,0.057952,0,USD
2018-11-01,0.057952,0.065047,0.032666,0.036748,0,USD
2018-12-01,0.036748,0.039614,0.019904,0.025338,0,USD
2019-01-01,0.025338,0.056131,0.023968,0.02494,0,USD
2019-02-01,0.02494,0.03049,0.024374,0.027736,0,USD
2019-03-01,0.027736,0.029975,0.026824,0.029673,0,USD
2019-04-01,0.029673,0.039025,0.02939,0.037983,0,USD
2019-05-01,0.037983,0.077305,0.037895,0.072489,0,USD
2019-06-01,0.072489,0.118579,0.063329,0.091699,0,USD
2019-07-01,0.091699,0.111512,0.076968,0.085661,0,USD
2019-08-01,0.085661,0.104425,0.079571,0.081753,0,USD
2019-09-01,0.081753,0.092852,0.065919,0.070744,0,USD
2019-10-01,0.070744,0.088851,0.062652,0.078007,0,USD
2019-11-01,0.078007,0.080697,0.0554,0.064055,0,USD
2019-12-01,0.064055,0.065598,0.054778,0.061124,0,USD
2020-01-01,0.061124,0.081354,0.058389,0.079422,0,USD
2020-02-01,0.079422,0.089074,0.043775,0.043775,0,USD
2020-03-01,0.043775,0.045956,0.015549,0.019241,0,USD
2020-04-01,0.019241,0.027421,0.018184,0.026507,0,USD
2020-05-01,0.026507,0.032212,0.018766,0.027344,0,USD
2020-06-01,0.027344,0.029359,0.020493,0.0228,0,USD
2020-07-01,0.0228,0.025485,0.016781,0.023073,0,USD
2020-08-01,0.023073,0.026922,0.021561,0.024062,0,USD
2020-09-01,0.024062,0.025257,0.020132,0.025032,0,USD
2020-10-01,0.025032,0.047162,0.024334,0.037433,0,USD
2020-11-01,0.037433,0.052595,0.029197,0.052186,0,USD
2020-12-01,0.052186,0.065542,0.031525,0.040775,0,USD
2021-01-01,0.040775,0.063344,0.031125,0.044882,0,USD
2021-02-01,0.044882,0.085664,0.035244,0.069036,0,USD
2021-03-01,0.069036,0.100289,0.068818,0.094062,0,USD
2021-04-01,0.094062,0.135482,0.076381,0.101211,0,USD
2021-05-01,0.101211,0.158459,0.063919,0.099776,0,USD
2021-06-01,0.099776,0.120619,0.086721,0.105466,0,USD
2021-07-01,0.105466,0.152363,0.054351,0.077418,0,USD
2021-08-01,0.077418,0.090144,0.070245,0.081762,0,USD
2021-09-01,0.081762,0.097452,0.070182,0.085595,0,USD
2021-10-01,0.085595,0.124251,0.078268,0.110975,0,USD
2021-11-01,0.110975,0.115937,0.070931,0.078632,0,USD
2021-12-01,0.078632,0.082139,0.059827,0.062384,0,USD
2022-01-01,0.062384,0.069113,0.042824,0.053716,0,USD
2022-02-01,0.053716,0.069289,0.047125,0.060475,0,USD
2022-03-01,0.060475,0.068029,0.052064,0.067574,0,USD
