Date,Open,High,Low,Close,Volume,Currency
2017-09-01,26.34,29.04,13.52,21.32,53420,USD
2017-10-01,21.32,21.45,16.04,17.38,174414,USD
2017-11-01,17.38,42.65,15.8,25.69,203377,USD
2017-12-01,25.69,110.29,24.57,69.55,239901,USD
2018-01-01,69.55,119.01,48.87,68.72,176417,USD
2018-02-01,68.69,70.57,35.11,45.59,260211,USD
2018-03-01,45.59,49.07,25.06,26.01,139371,USD
2018-04-01,26.01,46.26,23.29,40.62,199501,USD
2018-05-01,40.62,81.69,32.73,38.24,413357,USD
2018-06-01,38.24,41.76,28.03,35.48,152947,USD
2018-07-01,35.49,42.16,27.49,30.09,237030,USD
2018-08-01,30.09,31.02,15.01,19.6,223962,USD
2018-09-01,19.6,20.96,11.95,13.51,141212,USD
2018-10-01,13.51,15.27,11.24,14.34,77621,USD
2018-11-01,14.34,15.38,7.46,8.22,97976,USD
2018-12-01,8.22,9.95,5.5,7.72,123295,USD
2019-01-01,7.72,20.1,7.57,12.41,157455,USD
2019-02-01,12.41,15.94,11.86,12.5,44490,USD
2019-03-01,12.5,17.55,11.73,15.49,35765,USD
2019-04-01,15.49,25.24,15.3,21.02,393497,USD
2019-05-01,21.02,25.96,18.28,19.68,954681,USD
2019-06-01,19.68,20.95,15.59,15.61,984401,USD
2019-07-01,15.61,18.32,10.02,11.51,1609166,USD
2019-08-01,11.51,13.25,7.76,7.78,5823157,USD
2019-09-01,7.78,12.42,7.65,8.34,4630501,USD
2019-10-01,8.33,10.19,7.21,8.95,4130208,USD
2019-11-01,8.95,12.88,8.61,10.87,4544751,USD
2019-12-01,10.87,10.92,8.46,8.75,2023406,USD
2020-01-01,8.75,22.11,8.46,14.27,3510844,USD
2020-02-01,14.28,18.58,11.12,11.12,2922999,USD
2020-03-01,11.12,13.48,5.6,10.19,4153557,USD
2020-04-01,10.19,11.47,9.15,10.68,2319433,USD
2020-05-01,10.68,15.74,10.23,12.83,3860163,USD
2020-06-01,12.83,19.46,12.75,16.3,4176932,USD
2020-07-01,20.99,22.11,19.84,20.11,4063711,USD
2020-08-01,20.11,36.45,18.82,21.91,6419112,USD
2020-09-01,21.91,22.59,12.58,14.28,2465785,USD
2020-10-01,14.28,14.93,12.47,13.16,1516871,USD
2020-11-01,13.16,17.85,12.95,16.04,2196434,USD
2020-12-01,16.04,24.61,15.16,16.79,3418733,USD
2021-01-01,16.8,27.9,16.17,19.83,4469132,USD
2021-02-01,19.83,56.17,19.34,28.88,7135978,USD
2021-03-01,28.88,44.51,28.11,40.0,4051745,USD
2021-04-01,40.0,58.64,30.07,41.88,3076060,USD
2021-05-01,41.88,51.78,21.0,27.25,4121207,USD
2021-06-01,27.16,30.29,10.55,24.47,2891734,USD
2021-07-01,24.47,33.99,15.29,26.88,3569349,USD
2021-08-01,26.89,1845.2,0.08,27.92,1714310,USD
2021-09-01,27.92,34.91,0.24,20.27,1896148,USD
2021-10-01,20.27,28.38,20.18,25.08,2495885,USD
2021-11-01,25.09,26.86,20.6,21.93,2239526,USD
2021-12-01,21.93,22.87,15.28,18.13,3299907,USD
2022-01-01,18.13,19.71,11.2,13.07,2855896,USD
2022-02-01,13.07,20.17,12.52,14.95,6280652,USD
2022-03-01,14.95,17.51,12.81,16.46,8270802,USD
