Date,Open,High,Low,Close,Volume,Currency
2018-02-01,0.4451,0.4635,0.1641,0.22102,1054169664,USD
2018-03-01,0.22187,0.24399,0.12027,0.12689,271366368,USD
2018-04-01,0.12689,0.4126,0.12,0.36151,531815712,USD
2018-05-01,0.36151,0.38659,0.18022,0.19905,444584320,USD
2018-06-01,0.19863,0.24673,0.12,0.13852,317483584,USD
2018-07-01,0.13852,0.23743,0.13527,0.16455,317328064,USD
2018-08-01,0.16455,0.17097,0.09104,0.11753,309618784,USD
2018-09-01,0.11753,0.13171,0.08991,0.11396,269251104,USD
2018-10-01,0.11396,0.11842,0.09351,0.09638,167617344,USD
2018-11-01,0.09638,0.10133,0.0434,0.04819,382810624,USD
2018-12-01,0.04819,0.05088,0.03301,0.0374,750615424,USD
2019-01-01,0.0374,0.04624,0.03389,0.0368,512391808,USD
2019-02-01,0.0368,0.0539,0.03599,0.04618,2239219712,USD
2019-03-01,0.04618,0.07045,0.04141,0.05946,4922928640,USD
2019-04-01,0.05946,0.07741,0.04838,0.05261,5445221888,USD
2019-05-01,0.05261,0.07936,0.04805,0.06948,5729977344,USD
2019-06-01,0.06948,0.07979,0.05651,0.06155,5239957504,USD
2019-07-01,0.06155,0.065,0.01061,0.04513,5855188992,USD
2019-08-01,0.0461,0.05501,0.03161,0.03389,6207916032,USD
2019-09-01,0.03389,0.0387,0.02279,0.02984,4121489408,USD
2019-10-01,0.02984,0.03379,0.02392,0.0288,2234509056,USD
2019-11-01,0.0288,0.03015,0.01865,0.021,283105312,USD
2019-12-01,0.021,0.02109,0.01415,0.0147,230074048,USD
2020-01-01,0.0147,0.02157,0.01432,0.02094,471102304,USD
2020-02-01,0.02094,0.04137,0.02094,0.02415,1847304192,USD
2020-03-01,0.02415,0.02723,0.00877,0.01609,1220553472,USD
2020-04-01,0.01609,0.02145,0.01573,0.01946,607502592,USD
2020-05-01,0.01946,0.02341,0.01737,0.02262,774527680,USD
2020-06-01,0.02262,0.0269,0.02058,0.02299,950147264,USD
2020-07-01,0.02593,0.0284,0.02567,0.02628,803482560,USD
2020-08-01,0.02628,0.05663,0.0252,0.05151,2241254400,USD
2020-09-01,0.05151,0.06008,0.02246,0.02296,6950078464,USD
2020-10-01,0.02296,0.02342,0.01651,0.01679,1013085696,USD
2020-11-01,0.01679,0.02769,0.0129,0.02399,1846736896,USD
2020-12-01,0.02399,0.03741,0.0195,0.02066,2060457216,USD
2021-01-01,0.02066,0.06721,0.02061,0.03623,6015311872,USD
2021-02-01,0.03623,0.08135,0.03454,0.04333,6641503232,USD
2021-03-01,0.04333,0.102,0.04287,0.09855,5752770048,USD
2021-04-01,0.09855,0.17359,0.08045,0.13074,6801200640,USD
2021-05-01,0.13074,0.15751,0.03479,0.05975,6435574272,USD
2021-06-01,0.05974,0.06344,0.03539,0.04477,2923196672,USD
2021-07-01,0.04478,0.04733,0.03335,0.04237,2692632832,USD
2021-08-01,0.04237,0.06441,0.04054,0.05873,3969399296,USD
2021-09-01,0.05869,0.06841,0.03642,0.03951,3789075200,USD
2021-10-01,0.03953,0.05835,0.03895,0.05094,3647852032,USD
2021-11-01,0.05094,0.06235,0.04403,0.04741,4023596544,USD
2021-12-01,0.04741,0.05832,0.0312,0.03365,4083782656,USD
2022-01-01,0.03365,0.0404,0.01991,0.024,2943606272,USD
2022-02-01,0.024,0.02868,0.01709,0.02211,2225869056,USD
2022-03-01,0.02211,0.03019,0.0189,0.02877,1944359552,USD
