Date,Open,High,Low,Close,Volume,Currency
2020-07-01,277.61,463.92,275.53,463.92,397231,USD
2020-08-01,463.92,463.92,221.7,221.7,477639,USD
2020-09-01,221.7,221.7,100.5,113.97,669317,USD
2020-10-01,113.97,121.83,77.68,77.68,530197,USD
2020-11-01,77.68,97.99,61.72,67.01,1566039,USD
2020-12-01,67.01,143.15,50.65,133.99,2052884,USD
2021-01-01,133.99,133.99,61.11,61.11,1204828,USD
2021-02-01,61.11,74.73,54.75,54.75,943619,USD
2021-03-01,54.75,67.42,50.73,57.7,353806,USD
2021-04-01,57.7,57.7,46.0,46.47,227788,USD
2021-05-01,46.47,46.66,27.21,28.68,135018,USD
2021-06-01,28.68,28.68,20.35,20.35,67495,USD
2021-07-01,20.35,20.67,15.63,17.43,182291,USD
2021-08-01,17.43,18.4,11.25,11.7,219994,USD
2021-09-01,11.7,14.57,6.2,7.6,191640,USD
2021-10-01,7.58,9.69,6.03,7.79,163096,USD
2021-11-01,7.79,9.44,6.7,7.11,137823,USD
2021-12-01,7.11,7.7,5.26,6.08,147963,USD
2022-01-01,6.08,6.37,4.13,4.91,100738,USD
2022-02-01,4.91,6.0,4.41,5.17,42337,USD
2022-03-01,5.17,5.5,4.51,4.78,19984,USD
