Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.0073,0.0105,0.002,0.0031,964876,USD
2018-04-01,0.0031,0.0065,0.0023,0.0046,540634,USD
2018-05-01,0.004,0.0046,0.0017,0.0022,523270,USD
2018-06-01,0.0022,0.0024,0.0011,0.0022,188441,USD
2018-07-01,0.002,0.0024,0.0015,0.0017,757776,USD
2018-08-01,0.0017,0.0018,0.0006,0.001,268788,USD
2018-09-01,0.001,0.0012,0.0005,0.0006,506148,USD
2018-10-01,0.0006,0.002,0.0003,0.0006,2330117,USD
2018-11-01,0.0006,0.0008,0.0002,0.0002,1117775,USD
2018-12-01,0.0002,0.0004,0.0002,0.0003,1861733,USD
2019-01-01,0.0003,0.0004,0.0002,0.0003,2248056,USD
2019-02-01,0.0003,0.0003,0.0001,0.0002,2981619,USD
2019-03-01,0.0002,0.0004,0.0001,0.0003,2361684,USD
2019-04-01,0.0003,0.0003,0.0002,0.0002,313242,USD
2019-05-01,0.0002,0.0003,0.0002,0.0003,43448,USD
2019-06-01,0.0002,0.0004,0.0002,0.0004,24820,USD
2019-07-01,0.0004,0.0004,0.0002,0.0002,108859,USD
2019-08-01,0.0002,0.0002,0.0001,0.0001,59197,USD
2019-09-01,0.0002,0.0002,0.0001,0.0001,22583,USD
2019-10-01,0.0001,0.0002,0.0001,0.0002,475317,USD
2019-11-01,0.0002,0.0002,0.0001,0.0002,85,USD
2019-12-01,0.0001,0.0002,0.0001,0.0001,694215,USD
2020-01-01,0.0001,0.0002,0.0001,0.0002,2125424,USD
2020-02-01,0.0002,0.0002,0.0001,0.0002,58078,USD
2020-03-01,0.0002,0.0002,0.0001,0.0001,398582,USD
2020-04-01,0.0001,0.0001,0.0001,0.0001,0,USD
2020-05-01,0.0001,0.0002,0.0001,0.0002,52172,USD
2020-06-01,0.0002,0.0002,0.0001,0.0001,743289,USD
2020-07-01,0.0001,0.0001,0.0001,0.0001,0,USD
2020-08-01,0.0001,0.0001,0.0001,0.0001,0,USD
2020-09-01,0.0001,0.0001,0.0001,0.0001,0,USD
2020-10-01,0.0001,0.0001,0.0001,0.0001,0,USD
2020-11-01,0.0001,0.0001,0.0001,0.0001,0,USD
2020-12-01,0.0001,0.0001,0.0001,0.0001,0,USD
2021-01-01,0.0001,0.0001,0.0001,0.0001,0,USD
2021-02-01,0.0001,0.0004,0.0001,0.0003,10728865,USD
2021-03-01,0.0003,0.0004,0.0002,0.000302,6321432,USD
2021-04-01,0.000302,0.00034,0.0003,0.00034,74889,USD
