Date,Open,High,Low,Close,Volume,Currency
2019-02-01,0.0146,0.0169,0.006,0.0064,0,USD
2019-03-01,0.0064,0.007,0.0037,0.0045,0,USD
2019-04-01,0.0045,0.0106,0.0044,0.0082,0,USD
2019-05-01,0.0082,0.0149,0.0073,0.0082,0,USD
2019-06-01,0.0082,0.0146,0.0073,0.0093,0,USD
2019-07-01,0.0094,0.0114,0.0068,0.0075,0,USD
2019-08-01,0.0075,0.0092,0.0061,0.0062,0,USD
2019-09-01,0.0062,0.0071,0.0048,0.0052,0,USD
2019-10-01,0.0053,0.0075,0.0049,0.0061,0,USD
2019-11-01,0.0061,0.0072,0.0033,0.0036,0,USD
2019-12-01,0.0036,0.0047,0.0032,0.004,0,USD
2020-01-01,0.004,0.0115,0.0034,0.0059,0,USD
2020-02-01,0.0059,0.0083,0.0035,0.0038,0,USD
2020-03-01,0.0037,0.0041,0.0015,0.0025,0,USD
2020-04-01,0.0025,0.0031,0.0017,0.0028,0,USD
2020-05-01,0.0028,0.0032,0.0024,0.0026,0,USD
2020-06-01,0.0026,0.0032,0.0024,0.0026,0,USD
2020-07-01,0.0026,0.0027,0.002,0.0022,0,USD
2020-08-01,0.0022,0.0024,0.0017,0.002,0,USD
2020-09-01,0.002,0.0021,0.0013,0.0015,0,USD
2020-10-01,0.0015,0.0016,0.0014,0.0014,0,USD
2020-11-01,0.0014,0.0021,0.0014,0.002,0,USD
2020-12-01,0.002,0.0022,0.0008,0.001,0,USD
2021-01-01,0.001,0.0015,0.001,0.0012,0,USD
2021-02-01,0.0012,0.002,0.0011,0.0016,0,USD
2021-03-01,0.0016,0.0022,0.0016,0.0021,0,USD
2021-04-01,0.0021,0.0023,0.0017,0.002,0,USD
2021-05-01,0.002,0.0021,0.001,0.0013,0,USD
2021-06-01,0.0013,0.0014,0.001,0.0012,0,USD
2021-07-01,0.0012,0.0015,0.001,0.0015,0,USD
2021-08-01,0.0015,0.0018,0.0013,0.0016,0,USD
2021-09-01,0.0016,0.0019,0.0014,0.0015,0,USD
2021-10-01,0.0015,0.0023,0.0015,0.0021,0,USD
2021-11-01,0.0021,0.0024,0.0019,0.002,0,USD
2021-12-01,0.002,0.0021,0.0015,0.0016,0,USD
2022-01-01,0.0016,0.0017,0.0012,0.0013,0,USD
2022-02-01,0.0013,0.0016,0.0012,0.0015,0,USD
2022-03-01,0.0015,0.0017,0.0013,0.0017,0,USD
