Date,Open,High,Low,Close,Volume,Currency
2020-05-01,0.0222,0.02519,0.01708,0.02026,651434560,USD
2020-06-01,0.02026,0.0289,0.02001,0.02456,712730816,USD
2020-07-01,0.02456,0.0507,0.0241,0.04198,1278573568,USD
2020-08-01,0.04198,0.09616,0.0397,0.0862,1906754560,USD
2020-09-01,0.08648,0.0896,0.03343,0.03915,2004812928,USD
2020-10-01,0.03916,0.04044,0.02626,0.02897,1806234496,USD
2020-11-01,0.02896,0.05689,0.02705,0.04705,1515618304,USD
2020-12-01,0.04704,0.06571,0.04111,0.04737,2292941312,USD
2021-01-01,0.04738,0.077,0.04417,0.06419,2429393408,USD
2021-02-01,0.06403,0.24088,0.0618,0.19319,3727975936,USD
2021-03-01,0.19434,0.56724,0.19037,0.45322,6259881984,USD
2021-04-01,0.45424,0.45801,0.23934,0.40392,3547836416,USD
2021-05-01,0.40221,0.47558,0.13516,0.2349,4053927168,USD
2021-06-01,0.23298,0.26748,0.12795,0.15202,2239108096,USD
2021-07-01,0.1521,0.1521,0.08909,0.13647,1791960576,USD
2021-08-01,0.13724,0.48518,0.1338,0.3142,4627369472,USD
2021-09-01,0.3138,0.679,0.2394,0.623,7356953600,USD
2021-10-01,0.6216,0.6818,0.4278,0.6399,3427319808,USD
2021-11-01,0.6388,0.6642,0.3537,0.4513,2145417088,USD
2021-12-01,0.4529,0.511,0.2547,0.3552,1914466048,USD
2022-01-01,0.356,0.426,0.2212,0.3285,1806430336,USD
2022-02-01,0.3287,0.3382,0.1711,0.2319,1091059584,USD
2022-03-01,0.2318,0.2986,0.1864,0.2919,776697280,USD
