Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.226242,0.247477,0.080734,0.089228,0,USD
2018-04-01,0.089359,0.165877,0.080998,0.153725,0,USD
2018-05-01,0.153782,0.179564,0.000192,0.10933,0,USD
2018-06-01,0.109095,0.111046,0.059601,0.06582,0,USD
2018-07-01,0.065803,0.08515,0.0,0.061482,0,USD
2018-08-01,0.061514,0.062384,0.026627,0.050916,0,USD
2018-09-01,0.050902,0.053284,0.02769,0.031401,0,USD
2018-10-01,0.031396,0.03925,0.024049,0.027584,0,USD
2018-11-01,0.027599,0.034288,0.0115,0.012578,0,USD
2018-12-01,0.012577,0.01799,0.008832,0.014776,0,USD
2019-01-01,0.014777,0.020899,0.013226,0.013916,0,USD
2019-02-01,0.013943,0.029563,0.013279,0.020531,0,USD
2019-03-01,0.020529,0.024005,0.017338,0.018491,0,USD
2019-04-01,0.01848,0.022518,0.012727,0.015429,0,USD
2019-05-01,0.015434,0.022873,0.010191,0.017333,0,USD
2019-06-01,0.017333,0.027341,0.014488,0.020578,0,USD
2019-07-01,0.020709,0.022897,0.010966,0.01466,0,USD
2019-08-01,0.014668,0.015417,0.009865,0.01049,0,USD
2019-09-01,0.010478,0.012346,0.006967,0.007818,0,USD
2019-10-01,0.007841,0.008083,0.004693,0.005524,0,USD
2019-11-01,0.005513,0.00772,0.004141,0.005418,0,USD
2019-12-01,0.005411,0.006273,0.003683,0.004001,0,USD
2020-01-01,0.003998,0.005706,0.003036,0.004108,0,USD
2020-02-01,0.004101,0.005843,0.002687,0.003788,0,USD
2020-03-01,0.003804,0.006632,0.001539,0.00196,0,USD
2020-04-01,0.001959,0.002428,0.001593,0.001819,0,USD
2020-05-01,0.001816,0.002486,0.001409,0.00169,0,USD
2020-06-01,0.001688,0.003333,0.001556,0.002046,0,USD
2020-07-01,0.002055,0.003417,0.001835,0.002262,0,USD
2020-08-01,0.00226,0.003324,0.001733,0.002988,0,USD
2020-09-01,0.003096,0.003823,0.00174,0.002224,0,USD
2020-10-01,0.002234,0.004197,0.001949,0.003709,0,USD
2020-11-01,0.003709,0.005589,0.00279,0.005011,0,USD
2020-12-01,0.005017,0.006228,0.00414,0.005989,0,USD
2021-01-01,0.005943,0.010431,0.005795,0.008075,0,USD
2021-02-01,0.008066,0.01138,0.007773,0.008727,0,USD
2021-03-01,0.008759,0.032117,0.007345,0.020225,0,USD
2021-04-01,0.020336,0.0301,0.015127,0.016784,0,USD
2021-05-01,0.016756,0.01886,0.005973,0.008654,0,USD
2021-06-01,0.008577,0.013327,0.004575,0.00573,0,USD
2021-07-01,0.005732,0.006468,0.002443,0.005549,0,USD
2021-08-01,0.005531,91930.78125,0.0,0.006229,0,USD
2021-09-01,0.006215,128115.984375,0.000335,0.005672,0,USD
2021-10-01,0.005667,0.012148,0.004264,0.008143,0,USD
2021-11-01,0.008213,0.023325,0.008173,0.008681,0,USD
2021-12-01,0.008681,0.010777,0.00496,0.005456,0,USD
2022-01-01,0.005443,0.012087,0.004508,0.007272,0,USD
2022-02-01,0.007268,0.007512,0.004191,0.00709,0,USD
2022-03-01,0.00707,0.009532,0.003841,0.007393,0,USD
