Date,Open,High,Low,Close,Volume,Currency
2018-11-01,0.012002,0.016065,0.003809,0.004201,2271089,USD
2018-12-01,0.004201,0.00565,0.002938,0.0041,1948453,USD
2019-01-01,0.0041,0.005014,0.002577,0.002963,2025124,USD
2019-02-01,0.002963,0.005052,0.002368,0.005027,4020491,USD
2019-03-01,0.005027,0.005077,0.002892,0.003492,4084788,USD
2019-04-01,0.003492,0.005232,0.002437,0.002648,4960717,USD
2019-05-01,0.002648,0.003792,0.002118,0.002926,1942316288,USD
2019-06-01,0.002926,0.003982,0.002299,0.002917,483482272,USD
2019-07-01,0.002917,0.003918,0.002005,0.002037,12818095,USD
2019-08-01,0.002037,0.002436,0.001037,0.001101,7413409,USD
2019-09-01,0.001101,0.001416,0.000726,0.000866,7241952,USD
2019-10-01,0.000866,0.001397,0.000712,0.001105,5141424,USD
2019-11-01,0.001105,0.001279,0.000632,0.000759,3652498,USD
2019-12-01,0.000759,0.001453,0.000413,0.000501,4517745,USD
2020-01-01,0.000501,0.000858,0.000425,0.000663,5446803,USD
2020-02-01,0.000663,0.000898,0.000663,0.000898,41018388,USD
2020-03-01,0.000898,0.001159,0.000418,0.00065,136498960,USD
2020-04-01,0.00065,0.001007,0.000514,0.000658,554516096,USD
2020-05-01,0.000658,0.000721,0.000514,0.000622,582489216,USD
2020-06-01,0.000622,0.00073,0.000556,0.000601,490031552,USD
2020-07-01,0.000601,0.000948,0.0005,0.000891,520921824,USD
2020-08-01,0.000891,0.00094,0.000637,0.000714,411447424,USD
2020-09-01,0.000714,0.000728,0.00045,0.000541,515435552,USD
2020-10-01,0.000541,0.001,0.000409,0.000865,655808448,USD
2020-11-01,0.001281,0.001374,0.001008,0.001332,406033856,USD
2020-12-01,0.001332,0.0023,0.001052,0.00206,666918784,USD
2021-01-01,0.00206,0.002186,0.001301,0.001665,976599936,USD
2021-02-01,0.001665,0.007964,0.00147,0.004133,1425833344,USD
2021-03-01,0.004133,0.008491,0.004003,0.008065,1322094848,USD
2021-04-01,0.008065,0.026522,0.006529,0.014638,596643776,USD
2021-05-01,0.014638,0.018472,0.008175,0.015622,545024576,USD
2021-06-01,0.015622,0.020975,0.00725,0.008259,423774368,USD
2021-07-01,0.008259,0.008282,0.003809,0.006882,330810368,USD
2021-08-01,0.006882,0.012025,0.005914,0.010484,382182720,USD
2021-09-01,0.010484,0.010484,0.006152,0.007092,401038656,USD
2021-10-01,0.007092,0.018268,0.006001,0.012564,638223744,USD
2021-11-01,0.012564,0.013467,0.007977,0.009223,242346976,USD
2021-12-01,0.009223,0.009455,0.005119,0.006516,276152384,USD
2022-01-01,0.006516,0.006791,0.004424,0.005046,242886384,USD
2022-02-01,0.005046,0.006916,0.004463,0.005748,229419424,USD
2022-03-01,0.005748,0.008367,0.005748,0.00772,229753024,USD
