Date,Open,High,Low,Close,Volume,Currency
2018-09-01,0.044971,0.064733,0.034169,0.047822,0,USD
2018-10-01,0.047822,0.055308,0.034452,0.042254,0,USD
2018-11-01,0.042254,0.056825,0.016673,0.045814,0,USD
2018-12-01,0.045814,0.078948,0.022788,0.025951,0,USD
2019-01-01,0.025951,0.053862,0.022181,0.022698,0,USD
2019-02-01,0.022698,0.02775,0.022183,0.025243,0,USD
2019-03-01,0.025243,0.02728,0.024413,0.027006,0,USD
2019-04-01,0.027146,0.03669,0.027131,0.036303,0,USD
2019-05-01,0.036303,0.059014,0.036219,0.055337,0,USD
2019-06-01,0.055337,0.090522,0.048345,0.070002,0,USD
2019-07-01,0.070002,0.085127,0.058757,0.065393,0,USD
2019-08-01,0.065393,0.079717,0.060744,0.06241,0,USD
2019-09-01,0.06241,0.070882,0.050322,0.054006,0,USD
2019-10-01,0.054006,0.127539,0.047828,0.105234,0,USD
2019-11-01,0.105234,0.19326,0.094824,0.146396,0,USD
2019-12-01,0.146396,0.153205,0.090247,0.094402,0,USD
2020-01-01,0.094402,0.11818,0.047999,0.062967,0,USD
2020-02-01,0.062967,0.127616,0.062967,0.077694,0,USD
2020-03-01,0.077694,0.095133,0.031136,0.051437,0,USD
2020-04-01,0.051437,0.067399,0.042408,0.05487,0,USD
2020-05-01,0.05487,0.089986,0.049706,0.075125,0,USD
2020-06-01,0.075125,0.090185,0.057641,0.076898,0,USD
2020-07-01,0.076898,0.082337,0.066022,0.081122,0,USD
2020-08-01,0.081122,0.087289,0.065469,0.074983,0,USD
2020-09-01,0.074983,0.088283,0.0495,0.059601,0,USD
2020-10-01,0.059614,0.06828,0.05002,0.05122,0,USD
2020-11-01,0.05122,0.053189,0.035426,0.041978,0,USD
2020-12-01,0.042044,0.064869,0.033289,0.038462,0,USD
2021-01-01,0.038462,0.045537,0.03136,0.035111,0,USD
2021-02-01,0.035111,0.059046,0.034146,0.054323,0,USD
2021-03-01,0.054323,0.155723,0.053668,0.118754,0,USD
2021-04-01,0.118754,0.122786,0.064204,0.085063,0,USD
2021-05-01,0.085063,0.094633,0.061483,0.08153,0,USD
2021-06-01,0.08153,0.104544,0.069649,0.079888,0,USD
2021-07-01,0.079888,0.102292,0.068244,0.080116,0,USD
2021-08-01,0.080116,0.09293,0.077951,0.082941,0,USD
2021-09-01,0.082941,0.097071,0.062342,0.074431,0,USD
2021-10-01,0.074431,0.105509,0.052748,0.077866,0,USD
2021-11-01,0.077866,0.252171,0.073881,0.229345,0,USD
2021-12-01,0.229345,0.296634,0.100047,0.138401,0,USD
2022-01-01,0.138401,0.195102,0.090381,0.131883,0,USD
2022-02-01,0.131883,0.204487,0.039265,0.083369,0,USD
2022-03-01,0.083369,0.136916,0.062669,0.118333,0,USD
