Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.006233,0.023271,0.005751,0.01427,0,USD
2018-05-01,0.01427,0.014274,0.0,0.008497,0,USD
2018-06-01,0.008496,0.008825,0.004494,0.005657,0,USD
2018-07-01,0.005656,0.016516,0.0,0.011579,0,USD
2018-08-01,0.011579,0.011594,0.006752,0.008186,0,USD
2018-09-01,0.008186,0.008901,0.004379,0.005328,0,USD
2018-10-01,0.005328,0.010199,0.004838,0.009871,0,USD
2018-11-01,0.009871,0.010248,0.001815,0.003857,0,USD
2018-12-01,0.003857,0.004954,0.002957,0.004577,0,USD
2019-01-01,0.004577,0.0115,0.004555,0.008739,0,USD
2019-02-01,0.008739,0.00952,0.005428,0.006135,0,USD
2019-03-01,0.006135,0.008138,0.005477,0.00621,0,USD
2019-04-01,0.00621,0.007826,0.002971,0.003275,0,USD
2019-05-01,0.003275,0.00397,0.002367,0.002987,0,USD
2019-06-01,0.002987,0.003839,0.002348,0.002968,0,USD
2019-07-01,0.002968,0.003987,0.002325,0.002571,0,USD
2019-08-01,0.002571,0.003186,0.001064,0.001251,0,USD
2019-09-01,0.001251,0.001449,0.001003,0.001083,0,USD
2019-10-01,0.001083,0.00136,0.000933,0.001148,0,USD
2019-11-01,0.001148,0.001435,0.001011,0.001169,0,USD
2019-12-01,0.001169,0.001197,0.000931,0.000971,0,USD
2020-01-01,0.000971,0.003523,0.000937,0.002758,0,USD
2020-02-01,0.002758,0.022,0.002758,0.005419,0,USD
2020-03-01,0.005419,0.005548,0.000953,0.00109,0,USD
2020-04-01,0.00109,0.001264,0.000747,0.001036,0,USD
2020-05-01,0.001036,0.001426,0.000828,0.001277,0,USD
2020-06-01,0.001277,0.001297,0.0008,0.000914,0,USD
2020-07-01,0.001387,0.001482,0.00126,0.001361,0,USD
2020-08-01,0.001361,0.001705,0.001091,0.00169,0,USD
2020-09-01,0.00169,0.001807,0.001338,0.001457,0,USD
2020-10-01,0.001457,0.001834,0.001223,0.001586,0,USD
2020-11-01,0.001586,0.002528,0.0013,0.001871,0,USD
2020-12-01,0.001871,0.001995,0.001006,0.001735,0,USD
2021-01-01,0.001735,0.002086,0.00116,0.001325,0,USD
2021-02-01,0.001325,0.002102,0.000856,0.001358,0,USD
2021-03-01,0.001358,0.001851,0.00074,0.00147,0,USD
2021-04-01,0.00147,0.001561,0.000833,0.001153,0,USD
2021-05-01,0.001153,0.00149,0.000678,0.000932,0,USD
2021-06-01,0.000932,0.001032,0.000653,0.000876,0,USD
2021-07-01,0.000876,0.001268,0.000633,0.001245,0,USD
2021-08-01,0.001245,0.002273,0.001078,0.002121,0,USD
2021-09-01,0.002121,0.00238,0.000991,0.001095,0,USD
2021-10-01,0.001095,0.002214,0.000939,0.001839,0,USD
2021-11-01,0.001839,0.00207,0.001351,0.001709,0,USD
2021-12-01,0.001709,0.001771,0.000717,0.001386,0,USD
2022-01-01,0.001386,0.001438,0.000992,0.001155,0,USD
2022-02-01,0.001155,0.001372,0.001032,0.001296,0,USD
2022-03-01,0.001296,0.001445,0.000585,0.001436,0,USD
