Date,Open,High,Low,Close,Volume,Currency
2018-09-01,0.00065,0.00071,0.00041,0.00044,0,USD
2018-10-01,0.00044,0.00057,0.00037,0.00042,0,USD
2018-11-01,0.00042,0.00043,0.0001,0.00011,0,USD
2018-12-01,0.00011,0.00021,0.0001,0.00015,0,USD
2019-01-01,0.00015,0.00018,8e-05,9.38e-05,0,USD
2019-02-01,9.37e-05,0.0001493,9.03e-05,0.0001101,0,USD
2019-03-01,0.00011,0.0009373,9e-05,0.0006121,0,USD
2019-04-01,0.0006121,0.0021,0.000229,0.0003669,0,USD
2019-05-01,0.0003668,0.000399,0.0001035,0.0001796,0,USD
2019-06-01,0.0001796,0.0002898,0.0001321,0.0001735,0,USD
2019-07-01,0.0001735,0.0002038,0.0001,0.0001059,0,USD
2019-08-01,0.0001059,0.0001487,0.0001001,0.0001264,0,USD
2019-09-01,0.0001264,0.0001264,7e-05,7.99e-05,0,USD
2019-10-01,7.99e-05,7.99e-05,5e-05,6.9e-05,0,USD
2019-11-01,6.88e-05,7.8e-05,3.05e-05,3.05e-05,0,USD
2019-12-01,3.05e-05,5.89e-05,1e-05,1.03e-05,0,USD
2020-01-01,1.02e-05,5.8e-05,1.02e-05,5.8e-05,0,USD
2020-02-01,5.8e-05,0.000105,2.82e-05,6.99e-05,0,USD
2020-03-01,7e-05,7e-05,2.8e-05,6.49e-05,0,USD
2020-04-01,6.49e-05,6.5e-05,2.8e-05,6.5e-05,0,USD
2020-05-01,6.5e-05,6.5e-05,5e-05,5.39e-05,0,USD
2020-06-01,5.39e-05,5.39e-05,1.01e-05,2.71e-05,0,USD
2020-07-01,2.71e-05,5.88e-05,1.95e-05,3.51e-05,0,USD
2020-08-01,3.51e-05,9.9e-05,2.93e-05,9.9e-05,0,USD
2020-09-01,9.9e-05,9.95e-05,3.1e-05,8.49e-05,0,USD
2020-10-01,8.49e-05,8.49e-05,2.41e-05,3e-05,0,USD
2020-11-01,3e-05,8.48e-05,2.4e-05,2.51e-05,0,USD
2020-12-01,2.52e-05,7.44e-05,2.52e-05,7.43e-05,0,USD
