Date,Open,High,Low,Close,Volume,Currency
2019-12-01,0.069296,1.0,0.001138,0.065382,9599664,USD
2020-01-01,0.06557,0.15,0.00023,0.024899,8799172,USD
2020-02-01,0.024899,0.036926,0.000231,0.019181,8933395,USD
2020-03-01,0.019181,0.04,0.001,0.011916,9544150,USD
2020-04-01,0.011916,0.0144,0.001,0.005455,9218429,USD
2020-05-01,0.005455,0.01,0.002001,0.00996,9299947,USD
2020-06-01,0.00996,0.103969,0.0035,0.027747,8983610,USD
2020-07-01,0.027747,0.02969,0.006988,0.01976,9527333,USD
2020-08-01,0.01976,0.01985,0.015952,0.018531,9444104,USD
2020-09-01,0.018531,0.018781,0.018531,0.018724,599661,USD
