Date,Open,High,Low,Close,Volume,Currency
2019-09-01,0.6885,0.76,0.56374,0.60724,3102131,USD
2019-10-01,0.60709,0.74452,0.54198,0.67212,3919630,USD
2019-11-01,0.67164,0.69889,0.4831,0.5545,3935666,USD
2019-12-01,0.55447,0.56186,0.46223,0.51493,4492238,USD
2020-01-01,0.51479,0.71632,0.49445,0.69731,4561689,USD
2020-02-01,0.6973,0.86249,0.62862,0.66364,3547584,USD
2020-03-01,0.66365,0.70682,0.29631,0.47009,4609703,USD
2020-04-01,0.47021,0.64878,0.3,0.54224,3935224,USD
2020-05-01,0.54201,0.59999,0.21,0.28168,646848,USD
2020-06-01,0.28168,0.41592,0.21056,0.21794,901225,USD
2020-07-01,0.21791,0.22881,0.14363,0.18323,4091749,USD
2020-08-01,0.18323,0.46935,0.15019,0.20422,7977076,USD
2020-09-01,0.20422,0.44576,0.1742,0.42881,2646491,USD
2020-10-01,0.42881,0.649,0.35762,0.37655,831901,USD
2020-11-01,0.37655,0.59986,0.37655,0.46651,427731,USD
2020-12-01,0.46651,0.812,0.26003,0.4821,1531640,USD
2021-01-01,0.4821,0.58078,0.40398,0.45557,549371,USD
2021-02-01,0.45557,0.97251,0.435,0.75766,2114809,USD
2021-03-01,0.75766,0.91,0.61307,0.848,4246075,USD
2021-04-01,0.848,1.24999,0.62449,0.84935,2505672,USD
2021-05-01,0.84935,1.00246,0.24115,0.38942,14962509,USD
2021-06-01,0.38938,0.38998,0.17028,0.17736,10569714,USD
2021-07-01,0.17736,0.20296,0.13528,0.16827,6570467,USD
2021-08-01,0.16827,0.24,0.1488,0.17269,44732840,USD
2021-09-01,0.17269,0.2222,0.13701,0.13975,78673056,USD
2021-10-01,0.13975,0.67897,0.13,0.1939,98548432,USD
2021-11-01,0.1939,0.38835,0.1888,0.22729,86529744,USD
2021-12-01,0.22736,0.26014,0.119,0.14258,301313664,USD
2022-01-01,0.14257,0.18,0.06405,0.10425,134155024,USD
2022-02-01,0.10425,0.1573,0.09194,0.11078,420689696,USD
2022-03-01,0.11078,0.12457,0.08088,0.0951,203763328,USD
