Date,Open,High,Low,Close,Volume,Currency
2017-04-01,72.45,109.27,47.53,98.01,2347216,USD
2017-05-01,98.01,166.84,80.17,131.15,2723654,USD
2017-06-01,131.15,199.0,125.0,173.82,1679832,USD
2017-07-01,173.82,225.55,120.0,176.19,1527639,USD
2017-08-01,176.19,412.77,174.2,379.8,1854265,USD
2017-09-01,379.8,401.01,219.6,329.64,2203828,USD
2017-10-01,329.64,330.62,256.51,277.0,1696559,USD
2017-11-01,277.0,811.61,247.59,757.06,4945648,USD
2017-12-01,757.06,1568.7,617.37,1010.9,4834334,USD
2018-01-01,1010.9,1247.3,610.1,705.02,2797265,USD
2018-02-01,705.04,705.04,386.05,585.04,1209122,USD
2018-03-01,584.48,623.18,303.58,306.5,2520112,USD
2018-04-01,306.51,543.24,285.1,473.64,1853252,USD
2018-05-01,473.64,525.47,286.75,306.87,1193492,USD
2018-06-01,306.83,336.92,218.89,239.97,1088564,USD
2018-07-01,239.93,283.97,207.31,218.34,8746769,USD
2018-08-01,218.34,224.5,132.15,194.32,17487256,USD
2018-09-01,194.32,223.68,160.04,187.29,13496196,USD
2018-10-01,187.3,189.4,149.78,153.26,12603097,USD
2018-11-01,153.27,176.13,83.6,92.5,14605845,USD
2018-12-01,92.51,102.85,57.26,77.89,9302377,USD
2019-01-01,77.92,86.96,59.58,69.15,13474220,USD
2019-02-01,69.15,93.97,65.52,83.31,22953214,USD
2019-03-01,83.33,111.25,79.01,110.93,28213136,USD
2019-04-01,110.9,138.4,106.87,110.88,19452292,USD
2019-05-01,110.88,176.35,110.32,165.68,18984030,USD
2019-06-01,165.7,188.21,139.06,157.06,17691272,USD
2019-07-01,157.07,161.81,95.45,108.71,13171633,USD
2019-08-01,108.71,112.5,78.35,79.83,10952770,USD
2019-09-01,79.83,103.3,66.49,70.63,6669224,USD
2019-10-01,70.64,77.37,61.38,71.59,6875095,USD
2019-11-01,71.59,75.55,48.02,55.87,5947493,USD
2019-12-01,55.87,56.14,38.35,41.2,10777254,USD
2020-01-01,41.2,210.31,39.93,115.73,37553880,USD
2020-02-01,115.75,137.85,85.31,85.31,20720920,USD
2020-03-01,85.31,94.17,32.27,64.98,35037836,USD
2020-04-01,64.98,88.71,62.43,80.81,34180892,USD
2020-05-01,80.74,84.02,56.57,76.43,21657236,USD
2020-06-01,76.43,82.25,65.32,68.19,12335030,USD
2020-07-01,81.26,83.52,79.41,82.44,8483873,USD
2020-08-01,82.44,104.72,81.78,86.15,13657327,USD
2020-09-01,86.16,90.62,35.49,69.15,8085212,USD
2020-10-01,69.18,77.83,63.98,69.94,5979259,USD
2020-11-01,96.76,123.15,83.67,112.96,11148135,USD
2020-12-01,112.96,119.37,87.36,99.47,9455028,USD
2021-01-01,99.47,158.05,84.89,102.48,18014608,USD
2021-02-01,102.46,336.17,100.19,196.65,21085474,USD
2021-03-01,196.71,249.92,182.47,222.46,11399557,USD
2021-04-01,222.44,411.41,220.78,319.07,22758766,USD
2021-05-01,319.56,475.74,123.13,197.79,27341116,USD
2021-06-01,197.83,215.77,102.13,145.29,11219665,USD
2021-07-01,145.37,175.29,109.59,163.6,13172767,USD
2021-08-01,163.75,284.62,151.17,223.94,11212424,USD
2021-09-01,223.85,268.61,146.32,166.05,9195704,USD
2021-10-01,166.07,213.98,163.39,192.59,9820732,USD
2021-11-01,192.62,247.56,164.19,179.37,11915710,USD
2021-12-01,179.43,185.42,111.17,133.8,9271179,USD
2022-01-01,133.75,156.04,80.69,94.32,12285364,USD
2022-02-01,94.21,119.4,77.15,100.53,7312329,USD
2022-03-01,100.53,138.62,83.6,132.46,237014064,USD
