Date,Open,High,Low,Close,Volume,Currency
2018-02-01,0.025415,0.028556,0.009638,0.017104,830275584,USD
2018-03-01,0.017104,0.021197,0.00651,0.006875,850804800,USD
2018-04-01,0.006875,0.016013,0.00636,0.013211,1011005376,USD
2018-05-01,0.013211,0.0209,0.0,0.010121,840166336,USD
2018-06-01,0.010118,0.01055,0.00515,0.006109,2432247808,USD
2018-07-01,0.00607,0.006955,0.005104,0.005852,3064467968,USD
2018-08-01,0.005852,0.005866,0.002518,0.003184,4975801344,USD
2018-09-01,0.003184,0.004018,0.002442,0.003285,4804968960,USD
2018-10-01,0.003285,0.003475,0.00272,0.002828,2852880896,USD
2018-11-01,0.002828,0.002936,0.001112,0.001345,3412910592,USD
2018-12-01,0.001345,0.001521,0.001019,0.001244,3799622400,USD
2019-01-01,0.001244,0.001299,0.000968,0.001016,2463730688,USD
2019-02-01,0.001016,0.001108,0.000912,0.000954,3621638144,USD
2019-03-01,0.000954,0.001518,0.000916,0.001452,6852460032,USD
2019-04-01,0.001452,0.00209,0.001301,0.001432,5094034432,USD
2019-05-01,0.001432,0.001614,0.001297,0.001356,5149273600,USD
2019-06-01,0.001356,0.001448,0.001,0.00111,2190133760,USD
2019-07-01,0.00111,0.0012,0.000606,0.000681,27887700,USD
2019-08-01,0.000681,0.00079,0.000557,0.000577,7867300,USD
2019-09-01,0.000577,0.000755,0.00041,0.0005,7922800,USD
2019-10-01,0.0005,0.0007,0.000428,0.0006,3924700,USD
2019-11-01,0.0006,0.000618,0.000405,0.000454,6909900,USD
2019-12-01,0.000454,0.000473,0.000299,0.000337,9364800,USD
2020-01-01,0.000342,0.00045,0.000247,0.000267,40232700,USD
2020-02-01,0.000267,0.000267,0.000222,0.000222,1008536256,USD
2020-03-01,0.000222,0.00029,0.0001,0.000156,278773984,USD
2020-04-01,0.000156,0.000277,0.000132,0.000256,33037900,USD
2020-05-01,0.000256,0.00075,0.000161,0.000476,6642228224,USD
2020-06-01,0.000476,0.000504,0.000303,0.000387,125457296,USD
2020-07-01,0.000387,0.001669,0.000387,0.001517,43120100,USD
2020-08-01,0.001517,0.001743,0.000835,0.000994,39097800,USD
2020-09-01,0.000994,0.001046,0.0008,0.000858,5313800,USD
2020-10-01,0.000858,0.0016,0.000829,0.001006,6987800,USD
2020-11-01,0.001006,0.001129,0.000663,0.000952,2794700,USD
2020-12-01,0.000952,0.001139,0.000658,0.000837,10284900,USD
2021-01-01,0.000837,0.001743,0.000607,0.001503,19799600,USD
2021-02-01,0.001503,0.002663,0.001305,0.001779,368053120,USD
2021-03-01,0.001779,0.00606,0.001779,0.004654,62541700,USD
2021-04-01,0.004654,0.005579,0.00334,0.00475,37744800,USD
2021-05-01,0.00475,0.005672,0.001957,0.002197,20937600,USD
2021-06-01,0.002197,0.0024,0.000954,0.001868,4247200,USD
2021-07-01,0.001868,0.001868,0.000889,0.001322,4600900,USD
2021-08-01,0.001322,0.001867,0.000948,0.000965,5600900,USD
2021-09-01,0.000965,0.001206,0.000779,0.000853,8494100,USD
2021-10-01,0.000853,0.001078,0.0008,0.001019,5296900,USD
2021-11-01,0.001019,0.00124,0.000848,0.00085,6096500,USD
2021-12-01,0.00085,0.000851,0.000239,0.000328,13825500,USD
2022-01-01,0.000328,0.0008,0.000188,0.000238,11134800,USD
2022-02-01,0.000238,0.000347,0.00018,0.000192,1742500,USD
2022-03-01,0.000192,0.000331,0.000161,0.000331,2656100,USD
