Date,Open,High,Low,Close,Volume,Currency
2018-07-01,0.005561,0.006262,0.0,0.004996,0,USD
2018-08-01,0.004995,0.005372,0.002164,0.002424,0,USD
2018-09-01,0.002424,0.004733,0.002389,0.003674,0,USD
2018-10-01,0.003674,0.004257,0.002604,0.002834,0,USD
2018-11-01,0.002834,0.003001,0.001139,0.001272,0,USD
2018-12-01,0.001272,0.001415,0.000193,0.000517,0,USD
2019-01-01,0.000517,0.001682,0.000397,0.000403,0,USD
2019-02-01,0.000403,0.000696,0.000363,0.000526,0,USD
2019-03-01,0.000526,0.000541,0.000446,0.000479,0,USD
2019-04-01,0.000479,0.000733,0.000475,0.000644,0,USD
2019-05-01,0.000644,0.001014,0.000374,0.000427,0,USD
2019-06-01,0.000427,0.000698,0.000373,0.00054,0,USD
2019-07-01,0.000542,0.000656,0.000453,0.000504,0,USD
2019-08-01,0.000505,0.000615,0.000285,0.0003,0,USD
2019-09-01,0.000299,0.000332,0.000161,0.0002,0,USD
2019-10-01,0.0002,0.000235,0.000156,0.000213,0,USD
2019-11-01,0.000213,0.000435,0.000187,0.000267,0,USD
2019-12-01,0.000267,0.000378,0.000169,0.000273,0,USD
2020-01-01,0.000273,0.000298,0.000182,0.000202,0,USD
2020-02-01,0.000201,0.000236,6.9e-05,7.9e-05,0,USD
2020-03-01,7.9e-05,0.000149,3.1e-05,5.1e-05,0,USD
2020-04-01,5.1e-05,0.000689,7e-06,9e-06,0,USD
2020-05-01,8e-06,1.2e-05,1e-06,6e-06,0,USD
2020-06-01,6e-06,9e-06,1e-06,3e-06,0,USD
2020-07-01,3e-06,5e-06,3e-06,5e-06,0,USD
2020-08-01,5e-06,7e-06,4e-06,7e-06,0,USD
2020-09-01,7e-06,1.3e-05,5e-06,7e-06,0,USD
2020-10-01,7e-06,1e-05,5e-06,8e-06,0,USD
2020-11-01,8e-06,9e-06,6e-06,9e-06,0,USD
2020-12-01,9e-06,1.1e-05,4e-06,7e-06,0,USD
2021-01-01,7e-06,1.8e-05,4e-06,7e-06,0,USD
2021-02-01,7e-06,2.7e-05,6e-06,1.4e-05,0,USD
2021-03-01,1.4e-05,1.6e-05,7e-06,9e-06,0,USD
2021-04-01,1e-05,1.4e-05,1e-05,1.4e-05,0,USD
2021-05-01,1.4e-05,2.2e-05,9e-06,1.4e-05,0,USD
2021-06-01,1.4e-05,1.4e-05,9e-06,1.1e-05,0,USD
2021-07-01,1.1e-05,3.8e-05,9e-06,3.8e-05,0,USD
2021-08-01,3.8e-05,5.2e-05,0.0,5.1e-05,0,USD
2021-09-01,5.1e-05,6e-05,4e-05,4.5e-05,0,USD
2021-10-01,4.5e-05,6.7e-05,4.5e-05,6.4e-05,0,USD
2021-11-01,6.4e-05,7.3e-05,5.9e-05,6.9e-05,0,USD
2021-12-01,6.9e-05,7.2e-05,5.3e-05,5.5e-05,0,USD
2022-01-01,5.5e-05,5.8e-05,3.2e-05,4e-05,0,USD
2022-02-01,4e-05,4.9e-05,3.5e-05,4.4e-05,0,USD
2022-03-01,4.4e-05,5.2e-05,3.7e-05,5.2e-05,0,USD
