Date,Open,High,Low,Close,Volume,Currency
2018-02-01,0.085053,0.0909,0.0385,0.067,222406112,USD
2018-03-01,0.067,0.08,0.018022,0.020599,112344088,USD
2018-04-01,0.020599,0.0295,0.019,0.024993,85635216,USD
2018-05-01,0.024993,0.03557,0.0,0.020985,77810120,USD
2018-06-01,0.020985,0.021945,0.008294,0.010701,47300528,USD
2018-07-01,0.010701,0.0162,0.010185,0.0108,59897280,USD
2018-08-01,0.0108,0.012,0.0051,0.00582,46644476,USD
2018-09-01,0.00582,0.028071,0.0045,0.021268,125132176,USD
2018-10-01,0.021268,0.0253,0.013616,0.018,55994224,USD
2018-11-01,0.018,0.0195,0.00715,0.0083,55556288,USD
2018-12-01,0.0083,0.009318,0.0057,0.007251,41012880,USD
2019-01-01,0.007251,0.00776,0.006106,0.006106,17434048,USD
2019-03-01,0.006106,0.006106,0.006106,0.006106,0,USD
2019-04-01,0.006106,0.0063,0.0051,0.006158,40034152,USD
2019-05-01,0.006158,0.0069,0.003977,0.004082,93298448,USD
2019-06-01,0.004082,0.0072,0.0033,0.004435,61326488,USD
2019-07-01,0.004435,0.007062,0.004,0.004768,8846520,USD
2019-08-01,0.004768,0.005294,0.003354,0.003468,4898570,USD
2019-09-01,0.003468,0.0049,0.003343,0.003897,2145940,USD
2019-10-01,0.003897,0.004985,0.0032,0.00379,3753690,USD
2019-11-01,0.00379,0.0043,0.003144,0.004,1689870,USD
2019-12-01,0.004,0.004298,0.003,0.0034,2434560,USD
2020-01-01,0.0034,0.00489,0.0031,0.004321,876690,USD
2020-02-01,0.004321,0.022,0.0036,0.0036,3550940,USD
2020-03-01,0.0036,0.00376,0.00139,0.001913,4560420,USD
2020-04-01,0.001913,0.004146,0.0018,0.003604,12607120,USD
2020-05-01,0.003604,0.011332,0.0031,0.008589,45732780,USD
2020-06-01,0.008589,0.008978,0.005014,0.00645,5975710,USD
2020-07-01,0.00645,0.0072,0.0049,0.0049,6429800,USD
2020-08-01,0.0049,0.007,0.004708,0.005107,8960780,USD
2020-09-01,0.005107,0.005918,0.004161,0.005226,7093060,USD
2020-10-01,0.005226,0.005866,0.004057,0.004401,8036740,USD
2020-11-01,0.004401,0.0057,0.0035,0.004931,14307340,USD
2020-12-01,0.004931,0.0055,0.004273,0.00486,6438060,USD
2021-01-01,0.00486,0.0098,0.004107,0.005005,16357690,USD
2021-02-01,0.005005,0.017964,0.005005,0.010609,118290864,USD
2021-03-01,0.010609,0.040775,0.009728,0.0349,88794624,USD
2021-04-01,0.0349,0.035521,0.018092,0.019548,30607490,USD
2021-05-01,0.019548,0.027242,0.007294,0.00998,17278120,USD
2021-06-01,0.00998,0.010393,0.005359,0.006637,7007350,USD
2021-07-01,0.006637,0.0144,0.00549,0.009,8027430,USD
2021-08-01,0.009,0.0192,0.0083,0.01323,10967340,USD
2021-09-01,0.01323,0.027387,0.012432,0.020392,17688430,USD
2021-10-01,0.020392,0.023094,0.014985,0.01611,5371610,USD
2021-11-01,0.01611,0.022547,0.0127,0.014,17805800,USD
2021-12-01,0.014,0.014066,0.008275,0.008275,6509530,USD
2022-01-01,0.008275,0.011149,0.006364,0.007144,3683480,USD
2022-02-01,0.007144,0.008578,0.0056,0.006308,1724090,USD
2022-03-01,0.006308,0.006998,0.004828,0.005841,1559000,USD
