Date,Open,High,Low,Close,Volume,Currency
2019-10-01,3.3e-05,3.7e-05,1.3e-05,1.6e-05,0,USD
2019-11-01,1.6e-05,1.8e-05,1e-06,3e-06,0,USD
2019-12-01,3e-06,3e-06,1e-06,2e-06,0,USD
2020-01-01,2e-06,3e-06,1e-06,2e-06,0,USD
2020-02-01,3e-06,4e-06,2e-06,2e-06,0,USD
2020-03-01,2e-06,2e-06,1e-06,1e-06,0,USD
2020-04-01,1e-06,2e-06,1e-06,2e-06,0,USD
2020-05-01,2e-06,0.001092,2e-06,0.000345,0,USD
2020-06-01,0.000345,0.000415,0.000125,0.000179,0,USD
2020-07-01,0.000179,0.000202,5.2e-05,0.000139,0,USD
2020-08-01,0.000139,0.000275,5.6e-05,0.000102,0,USD
2020-09-01,0.000102,0.000111,5.5e-05,7.4e-05,0,USD
2020-10-01,7.4e-05,7.7e-05,4.8e-05,6e-05,0,USD
2020-11-01,6e-05,8.5e-05,2.7e-05,6.5e-05,0,USD
2020-12-01,6.5e-05,8.2e-05,2.7e-05,2.9e-05,0,USD
2021-01-01,2.9e-05,4.6e-05,6e-06,1.3e-05,0,USD
2021-02-01,1.3e-05,2.8e-05,6e-06,7e-06,0,USD
2021-03-01,7e-06,1e-05,7e-06,9e-06,0,USD
2021-04-01,1e-05,1.4e-05,9e-06,1.4e-05,0,USD
2021-05-01,1.4e-05,2.2e-05,9e-06,1.4e-05,0,USD
2021-06-01,1.4e-05,1.4e-05,9e-06,1.1e-05,0,USD
2021-07-01,1.1e-05,1.3e-05,9e-06,1.3e-05,0,USD
2021-08-01,1.3e-05,1.7e-05,0.0,1.7e-05,0,USD
2021-09-01,1.7e-05,2e-05,1.3e-05,1.5e-05,0,USD
2021-10-01,1.5e-05,2.2e-05,1.5e-05,2.1e-05,0,USD
2021-11-01,2.1e-05,2.4e-05,2e-05,2.3e-05,0,USD
2021-12-01,2.3e-05,2.4e-05,1.8e-05,1.9e-05,0,USD
2022-01-01,1.8e-05,1.9e-05,1.1e-05,1.4e-05,0,USD
2022-02-01,1.3e-05,1.6e-05,1.2e-05,1.5e-05,0,USD
2022-03-01,1.5e-05,1.7e-05,1.2e-05,1.7e-05,0,USD
