Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.01946,0.089194,0.015276,0.041978,0,USD
2018-05-01,0.041978,0.062675,0.0,0.020251,0,USD
2018-06-01,0.020212,0.02294,0.011819,0.012208,0,USD
2018-07-01,0.012208,0.015899,0.0,0.010882,0,USD
2018-08-01,0.010882,0.010896,0.006573,0.009872,0,USD
2018-09-01,0.009872,0.010992,0.00624,0.006718,0,USD
2018-10-01,0.006718,0.009057,0.003875,0.003948,0,USD
2018-11-01,0.003948,0.004096,0.002271,0.002504,0,USD
2018-12-01,0.002504,0.002718,0.001995,0.002375,0,USD
2019-01-01,0.002375,0.00485,0.002122,0.002172,0,USD
2019-02-01,0.002172,0.002655,0.002122,0.002415,0,USD
2019-03-01,0.002415,0.00261,0.002336,0.002584,0,USD
2019-04-01,0.002597,0.003508,0.002596,0.003471,0,USD
2019-05-01,0.003471,0.005642,0.003463,0.005291,0,USD
2019-06-01,0.005291,0.008654,0.004622,0.006693,0,USD
2019-07-01,0.006693,0.008139,0.005617,0.006252,0,USD
2019-08-01,0.006252,0.007621,0.005807,0.005967,0,USD
2019-09-01,0.005967,0.006777,0.004811,0.005163,0,USD
2019-10-01,0.005163,0.006485,0.004573,0.005693,0,USD
2019-11-01,0.005693,0.00589,0.004043,0.004675,0,USD
2019-12-01,0.004675,0.004788,0.001934,0.002123,0,USD
2020-01-01,0.002123,0.003126,0.00202,0.002291,0,USD
2020-02-01,0.002291,0.002291,0.002048,0.002048,0,USD
2020-03-01,0.002048,0.002248,0.000957,0.001635,0,USD
2020-04-01,0.001635,0.001798,0.001353,0.00164,0,USD
2020-05-01,0.00164,0.002037,0.001556,0.001608,0,USD
2020-06-01,0.001608,0.001805,0.00152,0.001553,0,USD
2020-07-01,0.001553,0.002002,0.001532,0.001984,0,USD
2020-08-01,0.001984,0.002211,0.001866,0.002097,0,USD
2020-09-01,0.002097,0.002169,0.001698,0.00178,0,USD
2020-10-01,0.00178,0.002102,0.001429,0.002068,0,USD
2020-11-01,0.002068,0.002913,0.001983,0.002757,0,USD
2020-12-01,0.002757,0.004058,0.002174,0.003326,0,USD
2021-01-01,0.003326,0.006114,0.003284,0.0053,0,USD
2021-02-01,0.0053,0.014656,0.004693,0.010865,0,USD
2021-03-01,0.010865,0.012605,0.006827,0.009112,0,USD
2021-04-01,0.009112,0.011548,0.008056,0.010957,0,USD
2021-05-01,0.010957,0.013033,0.006424,0.008206,0,USD
2021-06-01,0.008206,0.00908,0.006463,0.007884,0,USD
2021-07-01,0.007884,0.009298,0.006446,0.009132,0,USD
2021-08-01,0.009132,0.011111,0.008234,0.010368,0,USD
2021-09-01,0.010368,0.011579,0.007534,0.008319,0,USD
2021-10-01,0.008319,0.012718,0.008225,0.011036,0,USD
2021-11-01,0.011036,0.012422,0.007765,0.009117,0,USD
2021-12-01,0.009117,0.009222,0.006132,0.006469,0,USD
2022-01-01,0.006469,0.006657,0.003968,0.004621,0,USD
2022-02-01,0.004621,0.005489,0.004127,0.005184,0,USD
2022-03-01,0.005184,0.00578,0.004454,0.005739,0,USD
