Date,Open,High,Low,Close,Volume,Currency
2018-09-01,0.000431,0.000951,0.000248,0.000248,0,USD
2018-10-01,0.000249,0.000467,0.000133,0.000319,0,USD
2018-11-01,0.000287,0.001118,0.000261,0.000928,0,USD
2018-12-01,0.000923,0.002102,0.000749,0.000876,0,USD
2019-01-01,0.000895,0.00138,0.000341,0.001118,0,USD
2019-02-01,0.001117,0.001254,0.000549,0.00065,0,USD
2019-03-01,0.000648,0.001169,0.000506,0.00055,0,USD
2019-04-01,0.000552,0.001839,0.000514,0.00075,0,USD
2019-05-01,0.000721,0.001352,0.000109,0.000384,0,USD
2019-06-01,0.000401,0.000789,0.00033,0.000554,0,USD
2019-07-01,0.000559,0.003514,0.000548,0.002622,0,USD
2019-08-01,0.002625,0.003133,0.001437,0.001588,0,USD
2019-09-01,0.001588,0.002022,0.00111,0.001291,0,USD
2019-10-01,0.001294,0.001965,0.000936,0.001102,0,USD
2019-11-01,0.001102,0.001165,0.00041,0.000415,0,USD
2019-12-01,0.000415,0.000666,0.000319,0.000396,0,USD
2020-01-01,0.000395,0.001007,0.000362,0.000748,0,USD
2020-02-01,0.000748,0.001905,0.000442,0.000597,0,USD
2020-03-01,0.000597,0.00064,0.000198,0.000385,0,USD
2020-04-01,0.000385,0.000503,0.000334,0.000389,0,USD
2020-05-01,0.000388,0.000598,0.000369,0.000426,0,USD
2020-06-01,0.000425,0.000509,0.000288,0.00032,0,USD
2020-07-01,0.00032,0.000515,0.000319,0.00051,0,USD
2020-08-01,0.000511,0.00056,0.00048,0.000524,0,USD
2020-09-01,0.000525,0.000542,0.000407,0.000431,0,USD
2020-10-01,0.000432,0.000491,0.000285,0.000483,0,USD
2020-11-01,0.000482,0.000658,0.000245,0.000295,0,USD
2020-12-01,0.000296,0.000299,0.000214,0.000287,0,USD
2021-01-01,0.000287,0.000574,0.000279,0.000512,0,USD
2021-02-01,0.000512,0.000796,0.000496,0.000553,0,USD
2021-03-01,0.000555,0.000757,0.00055,0.000629,0,USD
