Date,Open,High,Low,Close,Volume,Currency
2018-03-01,26.1287,39.9883,19.4771,21.5551,0,USD
2018-04-01,21.58,25.0582,16.1872,22.4337,0,USD
2018-05-01,22.4404,26.6639,0.0023,14.7646,0,USD
2018-06-01,14.7471,18.094,7.0141,8.0051,0,USD
2018-07-01,8.0045,10.8507,0.0001,7.5948,0,USD
2018-08-01,7.6083,7.6175,3.5563,6.409,0,USD
2018-09-01,6.408,10.0044,5.4111,9.1527,0,USD
2018-10-01,9.1524,17.7336,8.9231,11.9496,0,USD
2018-11-01,11.9543,12.4989,4.1004,4.5247,0,USD
2018-12-01,4.5241,5.1285,2.8126,4.1292,0,USD
2019-01-01,4.1321,8.4142,3.2951,3.5441,0,USD
2019-02-01,3.5465,4.7811,3.3275,4.1775,0,USD
2019-03-01,4.173,4.5011,3.7073,4.4209,0,USD
2019-04-01,4.4209,4.8945,3.3678,3.6037,0,USD
2019-05-01,3.6064,4.5989,2.7445,3.6735,0,USD
2019-06-01,3.6745,5.2432,2.7755,2.9922,0,USD
2019-07-01,3.0108,3.3798,1.6879,1.9749,0,USD
2019-08-01,1.9768,1.9772,1.1716,1.2126,0,USD
2019-09-01,1.212,1.313,0.8903,1.0443,0,USD
2019-10-01,1.0492,1.627,0.964,1.0794,0,USD
2019-11-01,1.0799,1.2634,0.8871,1.0673,0,USD
2019-12-01,1.0678,1.2542,0.8801,0.9581,0,USD
2020-01-01,0.9569,1.1112,0.9028,1.0186,0,USD
2020-02-01,1.0181,1.7579,0.9596,1.0086,0,USD
2020-03-01,1.0073,1.2204,0.3543,0.6474,0,USD
2020-04-01,0.6479,0.9723,0.6204,0.8526,0,USD
2020-05-01,0.8515,1.1323,0.6828,0.966,0,USD
2020-06-01,0.9643,1.5168,0.9023,1.1194,0,USD
2020-07-01,1.1202,1.8099,1.057,1.5079,0,USD
2020-08-01,1.5095,3.8009,1.3189,2.5856,0,USD
2020-09-01,2.5813,3.2043,1.0693,1.2408,0,USD
2020-10-01,1.2427,1.9112,0.9976,1.0796,0,USD
2020-11-01,1.0794,1.7632,0.9429,1.3736,0,USD
2020-12-01,1.3741,2.0792,1.1345,1.2955,0,USD
2021-01-01,1.297,5.1983,1.2344,2.6366,0,USD
2021-02-01,2.6365,7.8669,2.5248,3.7008,0,USD
2021-03-01,3.7103,9.3955,3.6877,9.3651,0,USD
2021-04-01,9.3596,16.8596,5.3967,9.8558,0,USD
2021-05-01,9.8473,17.0265,2.6689,4.6251,0,USD
2021-06-01,4.5968,4.9075,1.7282,2.4457,0,USD
2021-07-01,2.4448,5.1215,1.9411,3.7962,0,USD
2021-08-01,3.7873,5.8317,3.3251,4.4352,0,USD
2021-09-01,4.4322,5.3998,2.6375,3.0175,0,USD
2021-10-01,3.0199,4.5627,1.5991,1.8099,0,USD
2021-11-01,1.8099,1.833,0.8822,1.1197,0,USD
