Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.004986,0.009114,0.004508,0.007435,0,USD
2018-05-01,0.007435,0.008141,0.0,0.00584,0,USD
2018-06-01,0.005839,0.006523,0.004244,0.005081,0,USD
2018-07-01,0.005081,0.011331,0.0,0.006699,0,USD
2018-08-01,0.006699,0.006708,0.00317,0.003478,0,USD
2018-09-01,0.003478,0.003808,3.3e-05,0.000265,0,USD
2018-10-01,0.000265,0.001096,0.000161,0.000255,0,USD
2018-11-01,0.000255,0.000329,0.000171,0.000222,0,USD
2018-12-01,0.000222,0.000238,0.000145,0.000172,0,USD
2019-01-01,0.000172,0.000391,0.000143,0.000158,0,USD
2019-02-01,0.000158,0.000193,0.000129,0.000175,0,USD
2019-03-01,0.000175,0.000299,0.000158,0.000188,0,USD
2019-04-01,0.000188,0.000301,0.000168,0.000252,0,USD
2019-05-01,0.000252,0.00127,0.000177,0.000299,0,USD
2019-06-01,0.000299,0.000489,0.000263,0.000378,0,USD
2019-07-01,0.000378,0.000515,0.000248,0.000303,0,USD
2019-08-01,0.000303,0.00043,0.000281,0.000337,0,USD
2019-09-01,0.000337,0.000379,0.000194,0.000208,0,USD
2019-10-01,0.000208,0.000542,0.000184,0.00023,0,USD
2019-11-01,0.00023,0.000237,0.000163,0.000189,0,USD
2019-12-01,0.000189,0.000193,0.000161,0.00018,0,USD
2020-01-01,0.00018,0.000239,0.000124,0.00014,0,USD
2020-02-01,0.00014,0.000213,0.00014,0.000213,0,USD
2020-03-01,0.000213,0.000229,2.6e-05,9.6e-05,0,USD
2020-04-01,9.6e-05,0.000108,3.2e-05,4.3e-05,0,USD
2020-05-01,4.3e-05,0.000311,4.3e-05,0.000142,0,USD
2020-06-01,0.000142,0.000155,0.000133,0.000137,0,USD
2020-07-01,0.000137,0.000145,4.8e-05,5.7e-05,0,USD
2020-08-01,5.7e-05,0.0003,5.3e-05,0.000291,0,USD
2020-09-01,0.000291,0.000376,0.000164,0.00027,0,USD
2020-10-01,0.00027,0.000346,0.000201,0.000276,0,USD
2020-11-01,0.000276,0.000356,0.000236,0.000295,0,USD
2020-12-01,0.000295,0.000439,0.000264,0.000434,0,USD
2021-01-01,0.000434,0.000629,0.000145,0.000166,0,USD
2021-02-01,0.000166,0.000292,0.000163,0.000226,0,USD
2021-03-01,0.000226,0.000308,0.000226,0.000294,0,USD
2021-04-01,0.000294,0.000324,0.000236,0.000288,0,USD
2021-05-01,0.000288,0.000298,0.000149,0.000187,0,USD
2021-06-01,0.000186,0.000206,0.000146,0.000175,0,USD
2021-07-01,0.000175,0.000211,0.000147,0.000208,0,USD
2021-08-01,0.000208,0.000253,0.000187,0.000236,0,USD
2021-09-01,0.000236,0.000264,0.000198,0.000219,0,USD
2021-10-01,0.000219,0.000335,0.000216,0.000307,0,USD
2021-11-01,0.000307,0.000345,0.000267,0.000285,0,USD
2021-12-01,0.000285,0.000295,0.000219,0.000231,0,USD
2022-01-01,0.000231,0.00024,0.000165,0.000193,0,USD
2022-02-01,0.000193,0.000229,0.000172,0.000216,0,USD
2022-03-01,0.000216,0.000241,0.000186,0.000239,0,USD
