Date,Open,High,Low,Close,Volume,Currency
2018-08-01,0.007068,0.007107,0.002279,0.003016,0,USD
2018-09-01,0.003016,0.003898,0.001991,0.002604,0,USD
2018-10-01,0.002604,0.002706,0.002011,0.0022,0,USD
2018-11-01,0.0022,0.002725,0.000889,0.00097,0,USD
2018-12-01,0.00097,0.001083,0.000529,0.000612,0,USD
2019-01-01,0.000612,0.000794,0.000374,0.000379,0,USD
2019-02-01,0.00038,0.000627,0.00037,0.000415,0,USD
2019-03-01,0.000415,0.000527,0.000281,0.000334,0,USD
2019-04-01,0.000334,0.000525,0.000306,0.000484,0,USD
2019-05-01,0.000484,0.000527,0.000232,0.000334,0,USD
2019-06-01,0.000334,0.000446,0.000215,0.000284,0,USD
2019-07-01,0.000285,0.000394,0.00017,0.000186,0,USD
2019-08-01,0.000186,0.000231,0.00014,0.000158,0,USD
2019-09-01,0.000158,0.00025,0.000108,0.00017,0,USD
2019-10-01,0.00017,0.000207,0.00011,0.000178,0,USD
2019-11-01,0.000177,0.000194,8.1e-05,8.3e-05,0,USD
2019-12-01,8.3e-05,9.7e-05,4.1e-05,6.1e-05,0,USD
2020-01-01,6.1e-05,0.000159,4.4e-05,6.2e-05,0,USD
2020-02-01,6.2e-05,9.6e-05,4.1e-05,5.6e-05,0,USD
2020-03-01,5.5e-05,6.3e-05,1.9e-05,2e-05,0,USD
2020-04-01,2.1e-05,0.000149,2e-05,2.8e-05,0,USD
2020-05-01,2.8e-05,2.9e-05,2.1e-05,2.7e-05,0,USD
2020-06-01,2.7e-05,0.000116,2.6e-05,0.000105,0,USD
2020-07-01,0.000105,0.000162,0.000104,0.000161,0,USD
2020-08-01,0.000161,0.000207,0.000152,0.000202,0,USD
2020-09-01,0.000202,0.010726,9.3e-05,0.000101,0,USD
2020-10-01,0.000101,0.003387,9.2e-05,0.000101,0,USD
2020-11-01,0.000101,0.008771,9.6e-05,0.000151,0,USD
2020-12-01,0.000151,0.000156,6.2e-05,8.1e-05,0,USD
2021-01-01,8.1e-05,0.000162,7.9e-05,9.2e-05,0,USD
2021-02-01,9.2e-05,0.000205,8.9e-05,0.000198,0,USD
2021-03-01,0.000199,0.000561,0.000155,0.000383,0,USD
2021-04-01,0.000385,0.00117,0.000155,0.000471,0,USD
2021-05-01,0.000471,0.000836,0.000107,0.000622,0,USD
2021-06-01,0.000624,0.000664,0.000167,0.000182,0,USD
2021-07-01,0.000182,0.000204,0.000138,0.000203,0,USD
2021-08-01,0.000203,0.000243,0.0,0.00024,0,USD
2021-09-01,0.00024,0.000281,0.000187,0.00021,0,USD
2021-10-01,0.00021,0.000312,0.000208,0.0003,0,USD
2021-11-01,0.0003,0.00034,0.000275,0.000324,0,USD
2021-12-01,0.000324,0.000334,0.000249,0.000257,0,USD
2022-01-01,0.000257,0.000272,0.000151,0.000188,0,USD
2022-02-01,0.000188,0.000229,0.000161,0.000205,0,USD
2022-03-01,0.000205,0.000244,0.000171,0.000241,0,USD
