Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.2,0.246,0.0977,0.1189,55328668,USD
2018-04-01,0.1189,0.53,0.105,0.3349,184252672,USD
2018-05-01,0.3349,0.4651,0.0,0.2706,254374080,USD
2018-06-01,0.2724,0.2798,0.0828,0.0979,258346640,USD
2018-07-01,0.0982,0.1163,0.0652,0.0671,277962784,USD
2018-08-01,0.0671,0.0868,0.0333,0.0439,256268416,USD
2018-09-01,0.0439,0.052,0.0257,0.0304,334012608,USD
2018-10-01,0.0304,0.0449,0.0258,0.0425,455175392,USD
2018-11-01,0.0425,0.0433,0.0181,0.0198,341273312,USD
2018-12-01,0.0198,0.0235,0.0145,0.015,948012160,USD
2019-01-01,0.015,0.0184,0.0117,0.0136,293172992,USD
2019-02-01,0.0136,0.0153,0.0124,0.0136,119720072,USD
2019-03-01,0.0136,0.0242,0.0127,0.0234,268509856,USD
2019-04-01,0.0234,0.0298,0.0166,0.0196,282168576,USD
2019-05-01,0.0196,0.0288,0.0192,0.0255,323881600,USD
2019-06-01,0.0255,0.0393,0.0226,0.0336,400887872,USD
2019-07-01,0.0336,0.0595,0.0303,0.0448,523860544,USD
2019-08-01,0.0448,0.047,0.0232,0.028,260843504,USD
2019-09-01,0.028,0.0313,0.0184,0.0226,241173904,USD
2019-10-01,0.0226,0.0251,0.0161,0.0211,209934544,USD
2019-11-01,0.0211,0.0279,0.0158,0.0181,322141824,USD
2019-12-01,0.0181,0.0195,0.0155,0.0167,408172928,USD
2020-01-01,0.0167,0.0185,0.0149,0.0179,220048096,USD
2020-02-01,0.0179,0.025,0.0164,0.0164,228251344,USD
2020-03-01,0.0164,0.0209,0.0055,0.0119,1474570880,USD
2020-04-01,0.0119,0.0169,0.0105,0.0138,2868047104,USD
2020-05-01,0.0138,0.0162,0.0106,0.0127,4096765952,USD
2020-06-01,0.0127,0.0132,0.0092,0.012,1728947200,USD
2020-07-01,0.0141,0.0153,0.0122,0.0143,2163088384,USD
2020-08-01,0.0143,0.0312,0.013,0.0281,2028494464,USD
2020-09-01,0.0281,0.0321,0.0105,0.0137,765419712,USD
2020-10-01,0.0137,0.014,0.0085,0.0091,1392041088,USD
2020-11-01,0.0091,0.0142,0.0085,0.0111,2391481600,USD
2020-12-01,0.0111,0.0114,0.0045,0.0063,3367939072,USD
2021-01-01,0.0063,0.0083,0.0054,0.0061,3276681216,USD
2021-02-01,0.0061,0.0146,0.0055,0.0075,2756911360,USD
2021-03-01,0.0075,0.0149,0.0067,0.0134,3166115840,USD
2021-04-01,0.0134,0.04269,0.0134,0.02211,3112308992,USD
2021-05-01,0.02211,0.02556,0.0157,0.01769,1234943744,USD
