Date,Open,High,Low,Close,Volume,Currency
2020-12-01,52.123,72.095,44.826,72.095,3393215,USD
2021-01-01,71.858,117.0,59.13,97.717,4641734,USD
2021-02-01,97.421,277.969,96.491,212.414,4805629,USD
2021-03-01,213.241,566.14,211.608,497.764,3388149,USD
2021-04-01,496.254,496.254,304.964,406.11,3311587,USD
2021-05-01,405.63,612.13,217.8,371.96,7211987,USD
2021-06-01,368.0,536.53,162.8,214.67,9720149,USD
2021-07-01,214.93,243.99,142.25,197.76,4741042,USD
2021-08-01,198.56,420.2,193.23,395.1,6093445,USD
2021-09-01,395.3,451.3,277.9,331.5,5017101,USD
2021-10-01,331.3,414.6,306.7,368.3,2163946,USD
2021-11-01,371.0,518.5,301.0,392.5,2026486,USD
2021-12-01,393.1,405.0,252.8,277.2,1209861,USD
2022-01-01,277.1,310.0,154.7,159.6,1072676,USD
2022-02-01,159.3,204.9,105.3,130.2,1321922,USD
2022-03-01,130.1,182.0,115.3,178.4,98874384,USD
