Date,Open,High,Low,Close,Volume,Currency
2019-08-01,0.001111,0.001114,0.000205,0.000962,0,USD
2019-09-01,0.000962,0.003129,0.000244,0.0005,0,USD
2019-10-01,0.000501,0.000903,0.000148,0.000275,0,USD
2019-11-01,0.000276,0.000848,0.00013,0.000226,0,USD
2019-12-01,0.000226,0.000571,0.000132,0.000288,0,USD
2020-01-01,0.000287,0.000428,0.000166,0.00028,0,USD
2020-02-01,0.00028,0.000524,0.000189,0.000256,0,USD
2020-03-01,0.000256,0.000391,0.000134,0.000257,0,USD
2020-04-01,0.000257,0.000606,0.000154,0.000345,0,USD
2020-05-01,0.000345,0.000497,0.000174,0.000189,0,USD
2020-06-01,0.000189,0.000459,0.000177,0.000274,0,USD
2020-07-01,0.000274,0.000468,0.000268,0.00034,0,USD
2020-08-01,0.00034,0.009316,0.000227,0.003496,0,USD
2020-09-01,0.003499,0.009039,0.002333,0.008306,0,USD
2020-10-01,0.008308,0.008422,0.0011,0.001379,0,USD
2020-11-01,0.001379,0.031061,0.000926,0.00256,0,USD
2020-12-01,0.002561,0.006628,0.002246,0.00347,0,USD
2021-01-01,0.003474,0.009306,0.000369,0.001987,0,USD
2021-02-01,0.001986,0.002927,0.001296,0.001358,0,USD
2021-03-01,0.00136,0.002427,0.000929,0.001764,0,USD
2021-04-01,0.001763,0.002356,0.000493,0.001153,0,USD
2021-05-01,0.001153,0.002378,0.000561,0.001119,0,USD
2021-06-01,0.001119,0.002046,0.000942,0.001752,0,USD
2021-07-01,0.001751,0.001798,0.000326,0.000623,0,USD
2021-08-01,0.000622,0.000995,0.000374,0.000943,0,USD
2021-09-01,0.000942,0.001007,0.000204,0.000219,0,USD
2021-10-01,0.000219,0.000848,0.000216,0.000307,0,USD
2021-11-01,0.000307,0.000345,0.000267,0.000285,0,USD
2021-12-01,0.000284,0.001028,0.000219,0.000462,0,USD
2022-01-01,0.000462,0.000479,0.000183,0.000193,0,USD
2022-02-01,0.000192,0.000395,0.000172,0.000216,0,USD
2022-03-01,0.000216,0.000241,0.000186,0.000239,0,USD
