Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.215512,0.33213,0.171357,0.242311,0,USD
2018-05-01,0.242311,0.399465,0.0,0.25166,0,USD
2018-06-01,0.251562,0.338444,0.176163,0.22674,0,USD
2018-07-01,0.226737,0.259869,2e-06,0.25489,0,USD
2018-08-01,0.25489,0.259241,0.077427,0.103538,0,USD
2018-09-01,0.103538,0.122599,0.086983,0.122087,0,USD
2018-10-01,0.122087,0.15005,0.087072,0.121827,0,USD
2018-11-01,0.121827,0.157147,0.072991,0.087206,0,USD
2018-12-01,0.087206,0.09467,0.069487,0.082719,0,USD
2019-01-01,0.082719,0.168941,0.077136,0.078204,0,USD
2019-12-01,0.027878,0.0376,0.016918,0.021586,0,USD
2020-01-01,0.021586,0.042366,0.009228,0.041604,0,USD
2020-02-01,0.041604,0.042537,0.016981,0.016981,0,USD
2020-03-01,0.016981,0.021092,0.00383,0.005708,0,USD
2020-04-01,0.005708,0.007284,0.002866,0.004662,0,USD
2020-05-01,0.004662,0.030766,0.004179,0.0123,0,USD
2020-06-01,0.0123,0.032132,0.009683,0.009687,0,USD
2020-07-01,0.012425,0.012681,0.012056,0.012472,0,USD
2020-08-01,0.012472,0.028752,0.011728,0.017828,0,USD
2020-09-01,0.017828,0.035881,0.012634,0.017803,0,USD
2020-10-01,0.017803,0.050087,0.017609,0.027575,0,USD
2020-11-01,0.027575,0.069483,0.025957,0.069319,0,USD
2020-12-01,0.069319,0.090293,0.040705,0.057837,0,USD
2021-01-01,0.057837,0.113833,0.017532,0.030142,0,USD
2021-02-01,0.030142,0.162393,0.02945,0.091444,0,USD
2021-03-01,0.091444,0.197376,0.082389,0.138154,0,USD
2021-04-01,0.138154,0.242385,0.134371,0.163783,0,USD
2021-05-01,0.163783,0.190503,0.054676,0.071988,0,USD
2021-06-01,0.071988,0.134544,0.057281,0.058164,0,USD
2021-07-01,0.058164,0.086887,0.017873,0.043171,0,USD
2021-08-01,0.043171,0.101442,0.035714,0.048567,0,USD
