Date,Open,High,Low,Close,Volume,Currency
2018-02-01,0.93927,1.0153,0.40794,0.57718,24466414,USD
2018-03-01,0.57718,0.57718,0.24823,0.38684,57143772,USD
2018-04-01,0.38684,1.1235,0.33464,0.93906,193421344,USD
2018-05-01,0.9392,1.05208,0.44054,0.51984,259184592,USD
2018-06-01,0.51981,0.57149,0.28128,0.3557,196879200,USD
2018-07-01,0.3557,0.39306,0.23084,0.23576,194300752,USD
2018-08-01,0.23576,0.23929,0.08801,0.11991,217348832,USD
2018-09-01,0.11991,0.13206,0.08021,0.10307,146257680,USD
2018-10-01,0.10307,0.13565,0.0948,0.11416,128328256,USD
2018-11-01,0.11416,0.12065,0.03871,0.04444,88922896,USD
2018-12-01,0.04444,0.0521,0.03158,0.03966,89906944,USD
2019-01-01,0.03966,0.10749,0.03735,0.05495,203925168,USD
2019-02-01,0.05495,0.06165,0.05058,0.0565,81426456,USD
2019-03-01,0.0565,0.07231,0.0523,0.07049,82535168,USD
2019-04-01,0.07049,0.11369,0.05591,0.05922,869576512,USD
2019-05-01,0.05922,0.07753,0.05241,0.07008,598630848,USD
2019-06-01,0.07008,0.07277,0.05263,0.05379,2630732288,USD
2019-07-01,0.05379,0.0602,0.03212,0.04274,1483096320,USD
2019-08-01,0.04274,0.0516,0.03177,0.03387,1467709568,USD
2019-09-01,0.03387,0.03958,0.03052,0.0327,1400897280,USD
2019-10-01,0.03267,0.03685,0.02614,0.03372,1271458816,USD
2019-11-01,0.03363,0.03385,0.02027,0.02983,1224392960,USD
2019-12-01,0.02983,0.02994,0.01959,0.02159,1101170432,USD
2020-01-01,0.02159,0.02941,0.0213,0.02865,1020624960,USD
2020-02-01,0.02865,0.05726,0.02865,0.04053,1469260800,USD
2020-03-01,0.04053,0.05472,0.01931,0.0265,1561359360,USD
2020-04-01,0.0265,0.03829,0.0259,0.03349,2202674432,USD
2020-05-01,0.03349,0.05189,0.03003,0.0484,2744646400,USD
2020-06-01,0.0484,0.11495,0.0484,0.0744,3358786816,USD
2020-07-01,0.1064,0.10899,0.10001,0.102,3102247936,USD
2020-08-01,0.102,0.24946,0.1017,0.21668,2413236992,USD
2020-09-01,0.21668,0.29646,0.15376,0.21519,954569856,USD
2020-10-01,0.21519,0.22466,0.11892,0.14003,385610528,USD
2020-11-01,0.14002,0.23637,0.11435,0.20118,514283552,USD
2020-12-01,0.20118,0.20459,0.13064,0.16962,458537600,USD
2021-01-01,0.16961,0.61853,0.16726,0.49473,1780619008,USD
2021-02-01,0.49452,0.8876,0.45744,0.51792,863288000,USD
2021-03-01,0.51793,0.653,0.0245,0.54843,4243563520,USD
2021-04-01,0.54833,0.7794,0.40314,0.56113,1971804544,USD
2021-05-01,0.56088,0.89912,0.22217,0.36914,3507495936,USD
2021-06-01,0.36912,0.40774,0.17442,0.26798,1693459584,USD
2021-07-01,0.26793,0.27175,0.18342,0.25188,958110016,USD
2021-08-01,0.25144,0.75277,0.23802,0.55682,4720402432,USD
2021-09-01,0.55728,0.56566,0.34931,0.36536,1865883392,USD
2021-10-01,0.36532,0.64538,0.34898,0.62765,2129925888,USD
2021-11-01,0.62904,3.82476,0.61432,2.76749,11149579264,USD
2021-12-01,2.76908,2.96101,1.62248,2.08777,1643787776,USD
2022-01-01,2.08627,2.13931,0.65033,0.99893,2755939072,USD
2022-02-01,0.99882,1.22794,0.62713,0.82497,2095015680,USD
2022-03-01,0.82497,1.35453,0.65443,1.26517,3299387136,USD
