Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.40307,0.43781,0.21898,0.236,3426476,USD
2018-04-01,0.23615,0.41632,0.22561,0.38408,3687671,USD
2018-05-01,0.38408,0.5,0.0,0.4548,10866192,USD
2018-06-01,0.45444,0.50485,0.28798,0.3375,43552652,USD
2018-07-01,0.33701,0.49336,0.30841,0.43036,30380964,USD
2018-08-01,0.43036,0.43424,0.19816,0.26891,30441262,USD
2018-09-01,0.26891,0.30864,0.21624,0.2474,28368544,USD
2018-10-01,0.2474,0.24866,0.17608,0.21952,17231136,USD
2018-11-01,0.21952,0.32014,0.14812,0.16288,14817770,USD
2018-12-01,0.16288,0.17064,0.12448,0.1326,20104696,USD
2019-01-01,0.1326,0.15032,0.10023,0.10681,17027968,USD
2019-02-01,0.10681,0.13632,0.10184,0.12558,16386041,USD
2019-03-01,0.12558,0.1318,0.11344,0.12628,15625440,USD
2019-04-01,0.12628,0.1562,0.11427,0.13126,16441783,USD
2019-05-01,0.13126,0.27726,0.12589,0.22515,12925924,USD
2019-06-01,0.22515,0.25,0.15528,0.21789,11554383,USD
2019-07-01,0.21789,0.25386,0.132,0.15186,13100250,USD
2019-08-01,0.15186,0.21328,0.1,0.16895,12772532,USD
2019-09-01,0.16895,0.22732,0.15118,0.15764,8316999,USD
2019-10-01,0.15732,0.16174,0.11139,0.12013,12254621,USD
2019-11-01,0.12013,0.13687,0.09943,0.12207,13789606,USD
2019-12-01,0.12207,0.12552,0.06821,0.07929,16702625,USD
2020-01-01,0.07929,0.12298,0.06981,0.12067,15216960,USD
2020-02-01,0.12067,0.12775,0.08684,0.08684,15707878,USD
2020-03-01,0.08684,0.09678,0.03425,0.05197,18868744,USD
2020-04-01,0.05197,0.21177,0.04759,0.10136,19536588,USD
2020-05-01,0.10136,0.14293,0.08872,0.1414,15281428,USD
2020-06-01,0.1414,0.15177,0.09464,0.09723,11388632,USD
2020-07-01,0.09723,0.13341,0.0838,0.11385,15373726,USD
2020-08-01,0.11385,0.12156,0.09043,0.11521,19245648,USD
2020-09-01,0.11521,0.12359,0.08406,0.09737,17522836,USD
2020-10-01,0.09737,0.11531,0.07635,0.10331,16037437,USD
2020-11-01,0.10331,0.18178,0.08,0.18006,16451823,USD
2020-12-01,0.18006,0.36,0.1621,0.30854,12164069,USD
2021-01-01,0.30854,0.42143,0.25247,0.38979,19257828,USD
2021-02-01,0.38926,0.47918,0.32043,0.36547,16724518,USD
2021-03-01,0.36547,0.78,0.36411,0.77299,15909899,USD
2021-04-01,0.77299,1.43549,0.75071,0.92202,9779065,USD
2021-05-01,0.91949,0.95475,0.31589,0.82685,7552829,USD
2021-06-01,0.82685,0.83144,0.5551,0.68626,9164225,USD
2021-07-01,0.68626,0.74115,0.44921,0.72217,8988471,USD
2021-08-01,0.72217,0.74204,0.41,0.44694,14333273,USD
2021-09-01,0.44774,0.68673,0.42652,0.52536,14107655,USD
2021-10-01,0.52491,0.64119,0.455,0.53254,14468816,USD
2021-11-01,0.53239,0.57601,0.42119,0.51535,12746015,USD
2021-12-01,0.51535,0.53454,0.32347,0.4024,16239908,USD
2022-01-01,0.4024,0.43652,0.27918,0.37049,6299573,USD
2022-02-01,0.37049,0.50854,0.22,0.33537,174788,USD
2022-03-01,0.33537,0.36318,0.26358,0.34865,133750,USD
