Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.000381,0.000505,0.000354,0.000416,0,USD
2018-05-01,0.000416,0.000581,0.0,0.000337,0,USD
2018-06-01,0.000337,0.000427,0.00026,0.000288,0,USD
2018-07-01,0.000288,0.000297,2e-06,0.000271,0,USD
2018-08-01,0.000271,0.000271,0.000206,0.000246,0,USD
2018-09-01,0.000246,0.000259,0.000214,0.000232,0,USD
2018-10-01,0.000232,0.000263,0.000156,0.000159,0,USD
2018-11-01,0.000159,0.000227,0.00011,0.000142,0,USD
2018-12-01,0.000141,0.000152,9.2e-05,9.6e-05,0,USD
2019-01-01,9.6e-05,0.000196,8.6e-05,8.8e-05,0,USD
2019-02-01,8.8e-05,0.000107,8.6e-05,9.7e-05,0,USD
2019-03-01,9.7e-05,0.000105,9.4e-05,0.000104,0,USD
2019-04-01,0.000105,0.000141,0.000105,0.00014,0,USD
2019-05-01,0.00014,0.000228,0.00014,0.000213,0,USD
2019-06-01,0.000213,0.00022,0.000115,0.000162,0,USD
2019-07-01,0.000162,0.000197,0.000136,0.000151,0,USD
2019-08-01,0.000151,0.000184,0.00014,0.000144,0,USD
2019-09-01,0.000144,0.000164,0.000116,0.000125,0,USD
2019-10-01,0.000125,0.000157,0.000111,0.000138,0,USD
2019-11-01,0.000138,0.000142,9.8e-05,0.000113,0,USD
2019-12-01,0.000113,0.000116,9.7e-05,0.000108,0,USD
2020-01-01,0.000108,0.000144,0.000103,0.00014,0,USD
2020-02-01,0.00014,0.00014,0.000128,0.000128,0,USD
2020-03-01,0.000128,0.000138,5.7e-05,9.6e-05,0,USD
2020-04-01,9.6e-05,0.000142,9.2e-05,0.00013,0,USD
2020-05-01,0.000143,0.000144,0.000141,0.000142,0,USD
2020-06-01,0.000142,0.000155,0.000133,0.000137,0,USD
2020-07-01,0.000166,0.000172,0.000163,0.00017,0,USD
2020-08-01,0.00017,0.000187,0.00016,0.000175,0,USD
2020-09-01,0.000175,0.000181,0.000148,0.000162,0,USD
2020-10-01,0.000162,0.000164,5.4e-05,6.9e-05,0,USD
2020-11-01,6.9e-05,9.9e-05,6.6e-05,9.8e-05,0,USD
2020-12-01,9.8e-05,0.000146,8.8e-05,0.000145,0,USD
2021-01-01,0.000145,0.00021,0.000143,0.000166,0,USD
2021-02-01,0.000166,0.000292,0.000163,0.000226,0,USD
2021-03-01,0.000226,0.000308,0.000226,0.000294,0,USD
2021-04-01,0.000294,0.000324,0.000236,0.000288,0,USD
2021-05-01,0.000288,0.000298,0.000149,0.000187,0,USD
2021-06-01,0.000186,0.000206,0.000146,0.000175,0,USD
2021-07-01,0.000175,0.000211,0.000147,0.000208,0,USD
2021-08-01,0.000208,0.000253,0.000187,0.000236,0,USD
2021-09-01,0.000236,0.000264,0.000198,0.000219,0,USD
2021-10-01,0.000219,0.000335,0.000216,0.000307,0,USD
2021-11-01,0.000307,0.000345,0.000267,0.000285,0,USD
2021-12-01,0.000285,0.000295,0.000219,0.000231,0,USD
2022-01-01,0.000231,0.00024,0.000165,0.000193,0,USD
2022-02-01,0.000193,0.000229,0.000172,0.000216,0,USD
2022-03-01,0.000216,0.000241,0.000186,0.000239,0,USD
