Date,Open,High,Low,Close,Volume,Currency
2018-09-01,0.0665,0.0712,0.0423,0.0492,29213944,USD
2018-10-01,0.0492,0.072,0.046,0.0533,68958144,USD
2018-11-01,0.0533,0.0569,0.0179,0.0221,35064032,USD
2018-12-01,0.0221,0.0327,0.01102,0.0255,80011624,USD
2019-01-01,0.0255,0.03688,0.01964,0.0238,128222864,USD
2019-02-01,0.0238,0.04243,0.02245,0.03417,317439200,USD
2019-03-01,0.03444,0.04975,0.02862,0.04445,6906373,USD
2019-04-01,0.04445,0.05602,0.037,0.04466,107942208,USD
2019-05-01,0.04466,0.07788,0.03974,0.0545,253115840,USD
2019-06-01,0.0545,0.087,0.04388,0.063,366339456,USD
2019-07-01,0.063,0.11714,0.04156,0.04406,431639840,USD
2019-08-01,0.04406,0.04859,0.02602,0.02695,230236256,USD
2019-09-01,0.02695,0.02932,0.01609,0.02213,35431592,USD
2019-10-01,0.02213,0.059,0.01969,0.02591,143488672,USD
2019-11-01,0.02591,0.03998,0.0161,0.022,94325672,USD
2019-12-01,0.022,0.0232,0.01581,0.01731,24039556,USD
2020-01-01,0.01731,0.0207,0.01636,0.01987,53769840,USD
2020-02-01,0.01987,0.03191,0.01779,0.01811,46446008,USD
2020-03-01,0.01811,0.02214,0.00645,0.01477,41747260,USD
2020-04-01,0.01477,0.0173,0.01299,0.01565,22266510,USD
2020-05-01,0.01565,0.0214,0.01373,0.018,29949520,USD
2020-06-01,0.018,0.032,0.01775,0.02175,30439500,USD
2020-07-01,0.02175,0.02693,0.02027,0.02213,19273496,USD
2020-08-01,0.02213,0.04003,0.02142,0.03149,23755238,USD
2020-09-01,0.03149,0.03149,0.01726,0.01885,10835045,USD
2020-10-01,0.01885,0.01999,0.01557,0.01953,6440020,USD
2020-11-01,0.01953,0.02478,0.016923,0.02227,4790210,USD
2020-12-01,0.02227,0.02451,0.017272,0.017808,15823937,USD
2021-01-01,0.017799,0.03207,0.017599,0.02908,41136680,USD
2021-02-01,0.03007,0.05989,0.02881,0.04308,23837656,USD
2021-03-01,0.04308,0.22658,0.04308,0.18753,32056388,USD
2021-04-01,0.18753,1.44444,0.18198,0.6916,46660620,USD
2021-05-01,0.69127,0.84286,0.23414,0.36998,21941218,USD
2021-06-01,0.37032,0.39459,0.18608,0.22366,8177338,USD
2021-07-01,0.22366,0.27231,0.16432,0.2601,9789308,USD
2021-08-01,0.25909,0.51694,0.2427,0.43666,17641936,USD
2021-09-01,0.43666,0.5655,0.26517,0.29226,11797643,USD
2021-10-01,0.29254,0.73453,0.28791,0.4326,30434536,USD
2021-11-01,0.4326,0.8041,0.4112,0.51208,31459540,USD
2021-12-01,0.5132,0.54581,0.31303,0.36043,21782970,USD
2022-01-01,0.36043,0.394,0.16907,0.22029,21561898,USD
2022-02-01,0.22029,0.29151,0.16282,0.21252,13190370,USD
2022-03-01,0.21252,0.28938,0.171,0.2693,9965688,USD
