Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.200796,0.215288,0.128211,0.165974,0,USD
2018-05-01,0.165974,0.173117,1.7e-05,0.117614,0,USD
2018-06-01,0.117603,0.122157,0.024462,0.047106,0,USD
2018-07-01,0.047137,0.096722,1e-06,0.051272,0,USD
2018-08-01,0.051272,0.077119,0.038614,0.075993,0,USD
2018-09-01,0.075993,0.08513,0.066405,0.079196,0,USD
2018-10-01,0.079196,0.089909,0.074428,0.076197,0,USD
2018-11-01,0.076197,0.079055,0.022733,0.024532,0,USD
2018-12-01,0.024532,0.028473,0.019322,0.019708,0,USD
2019-01-01,0.019708,0.041385,0.018091,0.018424,0,USD
2019-02-01,0.018424,0.022911,0.017784,0.020646,0,USD
2019-03-01,0.020646,0.061832,0.019986,0.022797,0,USD
2019-04-01,0.022797,0.033806,0.022538,0.02939,0,USD
2019-05-01,0.02939,0.044979,0.029266,0.041386,0,USD
2019-06-01,0.041386,0.065815,0.018752,0.018782,0,USD
2019-07-01,0.018782,0.037851,0.018702,0.025159,0,USD
2019-08-01,0.025159,0.030793,0.018197,0.018959,0,USD
2019-09-01,0.018959,0.021532,0.013043,0.014116,0,USD
2019-10-01,0.014116,0.018879,0.013265,0.014738,0,USD
2019-11-01,0.014738,0.036669,0.014489,0.01919,0,USD
2019-12-01,0.01919,0.021484,0.016033,0.020399,0,USD
2020-01-01,0.020399,0.030715,0.017386,0.025383,0,USD
2020-02-01,0.025383,0.027872,0.016469,0.016469,0,USD
2020-03-01,0.016469,0.01798,0.006798,0.012025,0,USD
2020-04-01,0.012025,0.014973,0.010099,0.013296,0,USD
2020-05-01,0.013296,0.033068,0.01312,0.016463,0,USD
2020-06-01,0.016463,0.017946,0.009839,0.010189,0,USD
2020-07-01,0.010189,0.029943,0.009931,0.021372,0,USD
2020-08-01,0.021372,0.026366,0.011408,0.01474,0,USD
2020-09-01,0.01474,0.017757,0.012701,0.014135,0,USD
2020-10-01,0.014135,0.026682,0.012931,0.020199,0,USD
2020-11-01,0.020199,0.122286,0.019684,0.121997,0,USD
2020-12-01,0.121997,0.124401,0.015147,0.039907,0,USD
2021-01-01,0.039907,0.058394,0.031903,0.040908,0,USD
2021-02-01,0.040908,0.067233,0.022148,0.044364,0,USD
2021-03-01,0.044364,0.070359,0.022346,0.069077,0,USD
2021-04-01,0.069077,0.069362,0.039133,0.053633,0,USD
2021-05-01,0.053633,0.074304,0.031607,0.04364,0,USD
2021-06-01,0.04364,0.049585,0.030623,0.041521,0,USD
2021-07-01,0.041521,0.055692,0.038207,0.040058,0,USD
2021-08-01,0.040058,0.061744,0.03981,0.057022,0,USD
2021-09-01,0.057022,0.064123,0.040066,0.042688,0,USD
2021-10-01,0.042688,0.078115,0.040972,0.043225,0,USD
2021-11-01,0.043225,0.10195,0.04284,0.098291,0,USD
2021-12-01,0.098291,0.10183,0.036893,0.047366,0,USD
2022-01-01,0.047366,0.106169,0.039236,0.072006,0,USD
2022-02-01,0.072006,0.082447,0.058459,0.070626,0,USD
2022-03-01,0.070626,0.074049,0.032765,0.048279,0,USD
