Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.45904,0.64662,0.42654,0.61222,0,USD
2018-05-01,0.61222,0.66192,0.0,0.49625,0,USD
2018-06-01,0.4962,0.51542,0.38273,0.42366,0,USD
2018-07-01,0.42366,0.44241,0.0,0.28258,0,USD
2018-08-01,0.28258,0.28294,0.11492,0.1263,0,USD
2018-09-01,0.1263,0.13415,0.08203,0.12407,0,USD
2018-10-01,0.12407,0.15422,0.07607,0.0775,0,USD
2018-11-01,0.0775,0.09904,0.05135,0.06451,0,USD
2018-12-01,0.06451,0.06969,0.04398,0.04466,0,USD
2019-01-01,0.04466,0.08797,0.02805,0.02871,0,USD
2019-02-01,0.02871,0.03265,0.02671,0.0297,0,USD
2019-03-01,0.0297,0.04596,0.02873,0.03715,0,USD
2019-04-01,0.03715,0.05791,0.0368,0.0573,0,USD
2019-05-01,0.0573,0.08387,0.04099,0.064,0,USD
2019-06-01,0.064,0.07042,0.03596,0.04129,0,USD
2019-07-01,0.04129,0.05021,0.02609,0.04079,0,USD
2019-08-01,0.04079,0.04409,0.02565,0.03161,0,USD
2019-09-01,0.03161,0.0383,0.02019,0.02324,0,USD
2019-10-01,0.02324,0.02586,0.01747,0.02424,0,USD
2019-11-01,0.02424,0.03392,0.0195,0.02622,0,USD
2019-12-01,0.02622,0.02663,0.01889,0.02019,0,USD
2020-01-01,0.02019,0.03247,0.01972,0.02986,0,USD
2020-02-01,0.02986,0.05375,0.02986,0.03647,0,USD
2020-03-01,0.03647,0.04142,0.01326,0.02359,0,USD
2020-04-01,0.02359,0.03429,0.02289,0.03119,0,USD
2020-05-01,0.03114,0.03496,0.02089,0.02857,0,USD
2020-06-01,0.02857,0.03552,0.02651,0.03506,0,USD
2020-07-01,0.03506,0.05227,0.02665,0.03741,0,USD
2020-08-01,0.03741,0.1039,0.03288,0.06181,0,USD
2020-09-01,0.06181,0.06739,0.01723,0.02594,0,USD
2020-10-01,0.02594,0.0266,0.00779,0.01086,0,USD
2020-11-01,0.01086,0.01316,0.00704,0.01108,0,USD
2020-12-01,0.01108,0.02631,0.0038,0.01234,0,USD
2021-01-01,0.01234,0.02736,0.00507,0.01101,0,USD
2021-02-01,0.01101,0.04496,0.00953,0.01441,0,USD
2021-03-01,0.01441,0.11318,0.01436,0.06029,0,USD
2021-04-01,0.06029,0.14583,0.05911,0.09036,0,USD
2021-05-01,0.09036,0.10563,0.00929,0.02237,0,USD
2021-06-01,0.02237,0.02553,0.00961,0.0119,0,USD
2021-07-01,0.0119,0.01529,0.00821,0.01167,0,USD
2021-08-01,0.01167,0.01454,0.0,0.01392,0,USD
2021-09-01,0.01392,0.06644,0.0128,0.03091,0,USD
2021-10-01,0.03091,0.08218,0.02816,0.0486,0,USD
2021-11-01,0.0486,0.05069,0.02014,0.02949,0,USD
2021-12-01,0.02949,0.03084,0.01995,0.02023,0,USD
2022-01-01,0.02023,0.02127,0.00978,0.0127,0,USD
2022-02-01,0.0127,0.01523,0.00828,0.00943,0,USD
2022-03-01,0.00943,0.01105,0.00735,0.01096,0,USD
