Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.2165,0.287,0.075,0.1378,28462620,USD
2018-04-01,0.1378,0.248,0.1128,0.2189,22575080,USD
2018-05-01,0.2189,0.2496,0.0992,0.1188,15513007,USD
2018-06-01,0.1194,0.1319,0.0511,0.0621,8070783,USD
2018-07-01,0.0621,0.077,0.0338,0.0491,12809195,USD
2018-08-01,0.0491,0.0678,0.0354,0.0627,8300749,USD
2018-09-01,0.0627,0.0799,0.041,0.0562,4373073,USD
2018-10-01,0.0562,0.0708,0.0473,0.0541,12092836,USD
2018-11-01,0.0541,0.0605,0.0153,0.031,5082653,USD
2018-12-01,0.031,0.0336,0.0144,0.024,4041697,USD
2019-01-01,0.024,0.0345,0.0183,0.0213,2829337,USD
2019-02-01,0.0213,0.0286,0.0192,0.0261,606590,USD
2019-03-01,0.0261,0.0573,0.0261,0.0473,124495,USD
2019-04-01,0.0473,0.05,0.0295,0.032,2834537,USD
2019-05-01,0.032,0.0526,0.0282,0.0401,4226872,USD
2019-06-01,0.0401,0.0462,0.03,0.03,4176872,USD
2019-07-01,0.03,0.0351,0.0191,0.0211,3367451,USD
2019-08-01,0.0211,0.0211,0.012,0.0152,3049998,USD
2019-09-01,0.0152,0.0263,0.012027,0.0138,3485231,USD
2019-10-01,0.0138,0.021,0.0137,0.0173,3260993,USD
2019-11-01,0.0173,0.0198,0.012,0.0145,1204360,USD
2019-12-01,0.0145,0.0176,0.0106,0.0119,282595,USD
2020-01-01,0.0119,0.014531,0.0107,0.0134,793844,USD
2020-02-01,0.0134,0.0275,0.0134,0.0142,1381968,USD
2020-03-01,0.0142,0.0169,0.0052,0.0084,1169779,USD
2020-04-01,0.0084,0.0118,0.004926,0.0118,949582,USD
2020-05-01,0.005612,0.0199,0.005591,0.0116,2329313,USD
2020-06-01,0.0116,0.0216,0.005827,0.021,1386878,USD
2020-07-01,0.021,0.0369,0.005838,0.0262,1552966,USD
2020-08-01,0.0262,0.0399,0.0238,0.0321,2440976,USD
2020-09-01,0.0321,0.0321,0.0139,0.0161,598285,USD
2020-10-01,0.0161,0.022,0.006708,0.0142,887733,USD
2020-11-01,0.0142,0.02,0.0119,0.0179,1142067,USD
2020-12-01,0.0179,0.01978,0.01251,0.013215,17636180,USD
2021-01-01,0.013215,0.028,0.01162,0.02362,42015212,USD
2021-02-01,0.02362,0.08426,0.02287,0.05058,29813518,USD
2021-03-01,0.05058,0.12929,0.05005,0.11321,17954136,USD
2021-04-01,0.11321,0.15671,0.05088,0.08288,20386726,USD
2021-05-01,0.08288,0.27354,0.02237,0.03649,35698144,USD
2021-06-01,0.03649,0.048,0.01933,0.02589,42476952,USD
2021-07-01,0.02589,0.03004,0.01701,0.02962,50950364,USD
2021-08-01,0.02962,0.04543,0.02625,0.04136,32359786,USD
2021-09-01,0.04136,0.06599,0.0238,0.02472,9479478,USD
2021-10-01,0.02472,0.04065,0.02472,0.03536,9272511,USD
2021-11-01,0.03536,0.044,0.02918,0.03596,27009320,USD
2021-12-01,0.03596,0.10019,0.02764,0.03579,47201456,USD
2022-01-01,0.03579,0.0418,0.01386,0.02056,35459584,USD
2022-02-01,0.02056,0.02627,0.0129,0.01722,35258192,USD
2022-03-01,0.01722,0.02341,0.01411,0.01935,25722656,USD
