Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.2731,0.2731,0.0993,0.1066,1410350,USD
2018-04-01,0.1066,0.236,0.0902,0.2026,3774960,USD
2018-05-01,0.2026,0.2765,0.0,0.17,6372919,USD
2018-06-01,0.168,0.18,0.055,0.074,1696195,USD
2018-07-01,0.074,0.0902,0.0586,0.0599,1368481,USD
2018-08-01,0.0599,0.0599,0.0279,0.0453,1321463,USD
2018-09-01,0.0453,0.0481,0.025,0.0357,1822980,USD
2018-10-01,0.0357,0.0695,0.0317,0.0433,53209292,USD
2018-11-01,0.0433,0.0463,0.0145,0.0171,2942798,USD
2018-12-01,0.0171,0.0201,0.0119,0.0143,1258453,USD
2019-01-01,0.0143,0.02,0.0132,0.014,1981845,USD
2019-02-01,0.014,0.0189,0.0132,0.0154,1420612,USD
2019-03-01,0.0154,0.0306,0.015,0.0259,58405,USD
2019-04-01,0.0259,0.0335,0.0201,0.0209,2412117,USD
2019-05-01,0.0209,0.036,0.018,0.0262,5060451,USD
2019-06-01,0.0262,0.0377,0.0191,0.0202,3504488,USD
2019-07-01,0.0202,0.035,0.013,0.0149,7549440,USD
2019-08-01,0.0149,0.0187,0.0091,0.0111,7132348,USD
2019-09-01,0.0111,0.0141,0.0088,0.0099,2192795,USD
2019-10-01,0.0099,0.0129,0.0099,0.0118,1206516,USD
2019-11-01,0.0118,0.0137,0.0085,0.0103,3386809,USD
2019-12-01,0.0103,0.0119,0.0087,0.009,1041920,USD
2020-01-01,0.009,0.0106,0.0085,0.0091,1183973,USD
2020-02-01,0.0113,0.022,0.0099,0.0099,2314417,USD
2020-03-01,0.0099,0.0121,0.0042,0.0085,2177919,USD
2020-04-01,0.0085,0.0125,0.0069,0.0105,3267009,USD
2020-05-01,0.0105,0.0128,0.0094,0.0119,5901880,USD
2020-06-01,0.0119,0.0292,0.0116,0.0222,3027807,USD
2020-07-01,0.024,0.0266,0.0228,0.0243,1363800,USD
2020-08-01,0.0243,0.0564,0.022,0.0481,1964836,USD
2020-09-01,0.0481,0.0685,0.0248,0.0278,1568541,USD
2020-10-01,0.0278,0.0401,0.0203,0.0247,370173,USD
2020-11-01,0.0247,0.0426,0.0219,0.0289,608256,USD
2020-12-01,0.0289,0.0388,0.0222,0.02663,9047270,USD
2021-01-01,0.02663,0.03845,0.022578,0.0336,26344892,USD
2021-02-01,0.0336,0.075,0.03177,0.03757,29628956,USD
2021-03-01,0.03759,0.171,0.03739,0.12228,27808152,USD
2021-04-01,0.12228,0.135,0.05255,0.0874,19509412,USD
2021-05-01,0.0874,0.10673,0.02904,0.04237,31809452,USD
2021-06-01,0.04237,0.065,0.025,0.0305,41206020,USD
2021-07-01,0.0305,0.03733,0.02372,0.0334,43591064,USD
2021-08-01,0.0334,0.0591,0.02996,0.04739,34444412,USD
2021-09-01,0.04739,0.13,0.03736,0.0409,14196630,USD
2021-10-01,0.0409,0.086,0.0409,0.0571,11021418,USD
2021-11-01,0.0571,0.06493,0.05,0.05818,13517142,USD
2021-12-01,0.05818,0.0658,0.038,0.03975,13559178,USD
2022-01-01,0.03975,0.06033,0.02126,0.0575,52392352,USD
2022-02-01,0.0575,0.15,0.04,0.05299,77375424,USD
2022-03-01,0.05299,0.09639,0.04071,0.07002,19539428,USD
