Date,Open,High,Low,Close,Volume,Currency
2019-03-01,0.000467,0.000474,0.000265,0.000396,0,USD
2019-04-01,0.000396,0.000583,0.000392,0.000504,0,USD
2019-05-01,0.000504,0.000574,0.000198,0.000213,0,USD
2019-06-01,0.000213,0.000326,0.000136,0.00027,0,USD
2019-07-01,0.000271,0.00036,0.000105,0.000151,0,USD
2019-08-01,0.000151,0.000246,0.000101,0.000192,0,USD
2019-09-01,0.000192,0.000262,9.7e-05,0.000125,0,USD
2019-10-01,0.000125,0.000157,7.8e-05,0.000138,0,USD
2019-11-01,0.000138,0.000142,6.8e-05,0.000113,0,USD
2019-12-01,0.000113,0.000115,6.8e-05,0.000108,0,USD
2020-01-01,0.000108,0.000144,6.9e-05,0.00014,0,USD
2020-02-01,0.00014,0.000155,8.5e-05,8.5e-05,0,USD
2020-03-01,8.5e-05,0.000104,3.8e-05,9.6e-05,0,USD
2020-04-01,9.6e-05,0.000142,4.3e-05,0.00013,0,USD
2020-05-01,0.000129,0.000151,0.000123,0.000142,0,USD
2020-06-01,0.000142,0.000155,4.7e-05,0.000137,0,USD
2020-07-01,0.000137,0.000172,0.000102,0.00017,0,USD
2020-08-01,0.00017,0.000187,5.6e-05,0.000175,0,USD
2020-09-01,0.000175,0.000181,5.1e-05,5.4e-05,0,USD
2020-10-01,5.4e-05,7e-05,5.2e-05,6.9e-05,0,USD
2020-11-01,6.9e-05,9.9e-05,6.6e-05,9.8e-05,0,USD
2020-12-01,9.9e-05,0.000146,8.8e-05,0.000145,0,USD
2021-01-01,0.000145,0.00021,0.000143,0.000166,0,USD
2021-02-01,0.000166,0.000292,0.000163,0.000226,0,USD
2021-03-01,0.000227,0.000308,0.000226,0.000294,0,USD
2021-04-01,0.000294,0.000324,0.000236,0.000288,0,USD
2021-05-01,0.000288,0.000298,0.000149,0.000187,0,USD
2021-06-01,0.000186,0.000206,0.000146,0.000175,0,USD
2021-07-01,0.000175,0.000211,0.000147,0.000208,0,USD
2021-08-01,0.000207,0.000253,0.000187,0.000236,0,USD
2021-09-01,0.000235,0.000264,0.000198,0.000219,0,USD
2021-10-01,0.000219,0.000335,0.000216,0.000307,0,USD
2021-11-01,0.000307,0.000345,0.000267,0.000285,0,USD
2021-12-01,0.000284,0.000295,0.000219,0.000231,0,USD
2022-01-01,0.000231,0.00024,0.000165,0.000193,0,USD
2022-02-01,0.000192,0.000229,0.000172,0.000216,0,USD
2022-03-01,0.000216,0.000241,0.000186,0.000239,0,USD
