Date,Open,High,Low,Close,Volume,Currency
2018-12-01,0.1248,0.1714,0.085,0.1176,0,USD
2019-01-01,0.1176,0.1359,0.0496,0.0543,0,USD
2019-02-01,0.0544,0.0759,0.0465,0.0688,0,USD
2019-03-01,0.0688,0.0706,0.0278,0.0415,0,USD
2019-04-01,0.0415,0.0531,0.0197,0.0306,0,USD
2019-05-01,0.0306,0.031,0.0105,0.0159,0,USD
2019-06-01,0.0159,0.0249,0.0119,0.0128,0,USD
2019-07-01,0.0129,0.0224,0.0059,0.0097,0,USD
2019-08-01,0.0097,0.0192,0.0058,0.0104,0,USD
2019-09-01,0.0104,0.017,0.0061,0.0082,0,USD
2019-10-01,0.0082,0.0084,0.0037,0.0052,0,USD
2019-11-01,0.0052,0.0055,0.0029,0.0036,0,USD
2019-12-01,0.0036,0.0068,0.0027,0.0061,0,USD
2020-01-01,0.0061,0.0108,0.0041,0.0063,0,USD
2020-02-01,0.0063,0.0086,0.0055,0.0055,0,USD
2020-03-01,0.0055,0.0058,0.0025,0.0031,0,USD
2020-04-01,0.0032,0.0106,0.0026,0.0074,0,USD
2020-05-01,0.0074,0.01,0.004,0.0053,0,USD
2020-06-01,0.0053,0.0092,0.005,0.0075,0,USD
2020-07-01,0.0075,0.1042,0.0052,0.027,0,USD
2020-08-01,0.027,0.0512,0.0058,0.0089,0,USD
2020-09-01,0.0089,0.0167,0.0039,0.0072,0,USD
2020-10-01,0.0072,0.0143,0.0062,0.009,0,USD
2020-11-01,0.009,0.0153,0.0044,0.0098,0,USD
2020-12-01,0.0098,0.0121,0.0054,0.0075,0,USD
2021-01-01,0.0075,0.0166,0.0046,0.0052,0,USD
2021-02-01,0.0052,0.0111,0.0046,0.0082,0,USD
2021-03-01,0.0082,0.0322,0.0068,0.0175,0,USD
2021-04-01,0.0176,0.0179,0.0083,0.0127,0,USD
2021-05-01,0.0127,0.02,0.0085,0.0122,0,USD
2021-06-01,0.0123,0.0131,0.0028,0.0077,0,USD
2021-07-01,0.0077,0.0095,0.0029,0.0073,0,USD
2021-08-01,0.0073,0.0287,0.0,0.0083,0,USD
2021-09-01,0.0083,0.0117,0.0064,0.0087,0,USD
2021-10-01,0.0087,0.0292,0.0084,0.0203,0,USD
2021-11-01,0.0203,0.079,0.0192,0.0484,0,USD
2021-12-01,0.0485,0.0495,0.0246,0.0323,0,USD
2022-01-01,0.0324,0.0428,0.0193,0.0257,0,USD
2022-02-01,0.0257,0.0393,0.0226,0.0276,0,USD
2022-03-01,0.0276,0.0287,0.0208,0.0253,0,USD
