Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.410213,0.410551,0.168619,0.202984,57211224,USD
2018-04-01,0.203234,0.438878,0.188739,0.3667,58270816,USD
2018-05-01,0.3667,1.030355,0.246696,0.460293,62114800,USD
2018-06-01,0.460291,0.489206,0.160251,0.181186,48650316,USD
2018-07-01,0.18135,0.460255,0.178563,0.215546,57827676,USD
2018-08-01,0.215546,0.217902,0.071799,0.079804,103372152,USD
2018-09-01,0.079803,0.09657,0.065177,0.089036,97336616,USD
2018-10-01,0.089037,0.11387,0.052654,0.053814,42386320,USD
2018-11-01,0.053814,0.058056,0.012599,0.016965,59800208,USD
2018-12-01,0.017071,0.019396,0.011216,0.011845,34083388,USD
2019-01-01,0.011845,0.03677,0.008073,0.015977,72276456,USD
2019-02-01,0.015977,0.02079,0.014293,0.015386,34601300,USD
2019-03-01,0.015386,0.020798,0.013902,0.020305,24361820,USD
2019-04-01,0.020305,0.039596,0.020263,0.024074,44340548,USD
2019-05-01,0.024074,0.027971,0.021535,0.025601,36918160,USD
2019-06-01,0.025601,0.028798,0.020513,0.022702,47460428,USD
2019-07-01,0.022702,0.029596,0.0143,0.0168,11436265,USD
2019-08-01,0.0168,0.019283,0.012408,0.013555,1080703,USD
2019-09-01,0.013555,0.028195,0.0118,0.0127,10790646,USD
2019-10-01,0.0127,0.023598,0.011,0.0143,28415206,USD
2019-11-01,0.0143,0.0159,0.0079,0.0099,5057311,USD
2019-12-01,0.0099,0.0164,0.0076,0.007997,26119376,USD
2020-01-01,0.007997,0.009384,0.0072,0.0086,3117515,USD
2020-02-01,0.0086,0.022,0.007994,0.007994,5518987,USD
2020-03-01,0.007994,0.0084,0.003441,0.0051,1363838,USD
2020-04-01,0.0051,0.007999,0.0038,0.00556,564074,USD
2020-05-01,0.00556,0.010628,0.004303,0.009277,2795384,USD
2020-06-01,0.009277,0.01183,0.007102,0.010001,1276185,USD
2020-07-01,0.010001,0.016797,0.005525,0.00991,28768432,USD
2020-08-01,0.00991,0.011881,0.005843,0.007887,2325113,USD
2020-09-01,0.007887,0.010141,0.002202,0.007395,1727498,USD
2020-10-01,0.007395,0.007993,0.002572,0.003766,816557,USD
2020-11-01,0.003766,0.011205,0.0025,0.007891,2229483,USD
2020-12-01,0.007891,0.012608,0.005848,0.00903,2193043,USD
2021-01-01,0.00903,0.635602,0.008303,0.352643,3010747,USD
2021-02-01,0.352643,1.051764,0.050936,0.909246,5695057,USD
2021-03-01,0.909246,1.781123,0.256462,0.441248,3667623,USD
2021-04-01,0.441248,2.473686,0.193358,1.558743,4781895,USD
2021-05-01,1.559654,2.024721,0.463818,0.961349,3275140,USD
2021-06-01,0.961905,1.076033,0.254274,0.484018,2802398,USD
2021-07-01,0.484018,1.436676,0.015014,1.20788,3389507,USD
2021-08-01,1.203223,1.569042,0.746569,1.438149,3290143,USD
2021-09-01,1.438149,1.7308,0.882221,1.195957,5787284,USD
2021-10-01,1.195957,3.29814,1.168847,1.835706,26106292,USD
2021-11-01,1.835706,2.8109,1.305555,2.7441,15594833,USD
2021-12-01,2.7441,3.2497,1.757,2.1649,26410460,USD
2022-01-01,2.1649,2.7,1.1892,1.4961,47799584,USD
2022-02-01,1.4961,1.7791,0.9745,1.2448,23757208,USD
2022-03-01,1.2483,1.8986,1.0338,1.5075,105274928,USD
