Date,Open,High,Low,Close,Volume,Currency
2018-03-01,1.49558,2.0019,0.84118,0.85724,2322364,USD
2018-04-01,0.85724,1.8112,0.80709,1.56386,3843952,USD
2018-05-01,1.56386,1.67821,0.86492,0.9296,49289940,USD
2018-06-01,0.9296,0.96856,0.46206,0.77278,57828612,USD
2018-07-01,0.77278,1.47615,0.56482,0.8337,73008512,USD
2018-08-01,0.83266,0.95964,0.49214,0.65459,58098648,USD
2018-09-01,0.6543,0.82551,0.5674,0.67667,53101196,USD
2018-10-01,0.67667,0.69305,0.54995,0.5964,4292253,USD
2018-11-01,0.5964,0.60115,0.24801,0.27498,4535886,USD
2018-12-01,0.27498,0.51101,0.23171,0.24704,12383702,USD
2019-01-01,0.24704,0.49252,0.15262,0.24655,42841680,USD
2019-02-01,0.24655,0.26254,0.22256,0.22443,7582369,USD
2019-03-01,0.22443,0.3612,0.21141,0.30704,19645196,USD
2019-04-01,0.30704,0.43683,0.22716,0.24464,43385248,USD
2019-05-01,0.24464,0.30528,0.2148,0.24478,40033304,USD
2019-06-01,0.24478,0.30919,0.19284,0.20388,48654804,USD
2019-07-01,0.20388,0.22703,0.11761,0.15498,48905928,USD
2019-08-01,0.15498,0.16352,0.08942,0.10191,51526724,USD
2019-09-01,0.10191,0.17782,0.0941,0.11148,49089720,USD
2019-10-01,0.11148,0.11992,0.06494,0.07904,49026420,USD
2019-11-01,0.07822,0.0941,0.04757,0.05741,65700208,USD
2019-12-01,0.05741,0.05861,0.04621,0.0478,77455664,USD
2020-01-01,0.0478,0.0483,0.03544,0.03915,102218936,USD
2020-02-01,0.03915,0.08988,0.03915,0.04518,170482880,USD
2020-03-01,0.04518,0.05199,0.01514,0.028,628782784,USD
2020-04-01,0.028,0.0558,0.0269,0.04679,1526578176,USD
2020-05-01,0.0464,0.0557,0.0366,0.052,1696044160,USD
2020-06-01,0.052,0.0548,0.0433,0.0459,1387982080,USD
2020-07-01,0.0603,0.0691,0.0595,0.0668,1493792768,USD
2020-08-01,0.0668,0.13983,0.0568,0.0943,1833279104,USD
2020-09-01,0.0943,0.1025,0.0568,0.068,3610167808,USD
2020-10-01,0.068,0.073,0.04092,0.0515,4814078976,USD
2020-11-01,0.0515,0.0729,0.0424,0.0637,9285700608,USD
2020-12-01,0.0637,0.0703,0.044,0.0527,11159297024,USD
2021-01-01,0.0527,0.13314,0.042,0.0947,13723951104,USD
2021-02-01,0.0947,0.25,0.0753,0.13427,11388812288,USD
2021-03-01,0.13436,0.21024,0.13241,0.15035,30082000,USD
2021-04-01,0.15035,0.17312,0.08561,0.12263,56819580,USD
2021-05-01,0.12263,0.22812,0.04999,0.07266,121454944,USD
2021-06-01,0.07266,0.08519,0.04352,0.05709,35352816,USD
2021-07-01,0.05709,0.08508,0.04052,0.07643,51720516,USD
2021-08-01,0.07643,0.0846,0.05858,0.06383,29345332,USD
2021-09-01,0.06383,0.07712,0.03887,0.04558,21318540,USD
2021-10-01,0.04558,0.08567,0.04408,0.05072,50558172,USD
2021-11-01,0.05072,0.15692,0.05001,0.0666,134563072,USD
2021-12-01,0.0666,0.08577,0.04735,0.05174,57999220,USD
2022-01-01,0.05174,0.06061,0.0313,0.03729,29986382,USD
2022-02-01,0.03729,0.06907,0.03111,0.03532,107551456,USD
2022-03-01,0.03532,0.05727,0.03309,0.04296,60766024,USD
