Date,Open,High,Low,Close,Volume,Currency
2020-12-01,3.7765,5.1563,2.9544,5.1563,230826720,USD
2021-01-01,5.15,19.4885,4.5443,17.7039,370309760,USD
2021-02-01,17.6623,31.1463,17.391,22.1974,207512288,USD
2021-03-01,22.2612,35.1837,22.2612,28.038,133408384,USD
2021-04-01,28.1491,42.947,27.9881,40.659,134459376,USD
2021-05-01,40.587,44.629,14.233,28.335,181918864,USD
2021-06-01,28.175,28.86,14.633,19.258,89346640,USD
2021-07-01,19.276,23.215,14.055,21.746,87129168,USD
2021-08-01,21.746,31.243,20.68,29.4,82535000,USD
2021-09-01,29.38,31.38,17.75,23.54,118651208,USD
2021-10-01,23.54,28.3,22.3,24.99,73076264,USD
2021-11-01,25.02,28.45,18.5,21.25,57752544,USD
2021-12-01,21.26,23.03,13.42,17.02,74564504,USD
2022-01-01,17.02,19.84,9.54,11.77,61786152,USD
2022-02-01,11.76,12.9,7.51,10.54,60358444,USD
2022-03-01,10.54,11.71,8.11,11.46,293982464,USD
