Date,Open,High,Low,Close,Volume,Currency
2019-07-01,3.5165,3.7425,2.768,3.1461,0,USD
2019-08-01,3.1461,3.2452,1.299,1.4235,0,USD
2019-09-01,1.4217,2.1492,1.1319,1.1967,0,USD
2019-10-01,1.2,1.2945,0.0106,0.6428,0,USD
2019-11-01,0.6428,0.8106,0.0301,0.5873,0,USD
2019-12-01,0.5873,0.8257,0.4234,0.4837,0,USD
2020-01-01,0.4838,0.6225,0.4371,0.4578,0,USD
2020-02-01,0.4578,1.8309,0.4574,0.9486,0,USD
2020-03-01,0.9486,1.165,0.5206,0.7065,0,USD
2020-04-01,0.7065,1.1504,0.613,1.0173,0,USD
2020-05-01,1.0173,1.0372,0.7495,0.812,205421504,USD
2020-06-01,0.812,0.8822,0.6314,0.6561,1779351,USD
2020-07-01,0.6561,0.7769,0.5681,0.6109,2080978,USD
2020-08-01,0.6109,0.8811,0.5061,0.546,2255088,USD
2020-09-01,0.546,0.5781,0.41,0.4266,2463790,USD
2020-10-01,0.4266,0.4704,0.2983,0.3498,3610570,USD
2020-11-01,0.3498,0.4,0.2848,0.32,4050283,USD
2020-12-01,0.32,0.36,0.15,0.2007,9293260,USD
2021-01-01,0.2007,0.7,0.1964,0.4896,4328514,USD
2021-02-01,0.4896,0.8819,0.2872,0.34,2880347,USD
2021-03-01,0.3399,0.5004,0.3002,0.3948,3785484,USD
2021-04-01,0.3948,0.4109,0.2318,0.4,3848172,USD
2021-05-01,0.2097,0.2504,0.1977,0.2428,419365,USD
2021-06-01,0.2428,0.33,0.2075,0.2571,10318860,USD
2021-07-01,0.2571,0.4483,0.1503,0.2303,6967567,USD
2021-08-01,0.2303,1.8,0.2289,0.3671,5091319,USD
2021-09-01,0.3671,0.4298,0.367,0.4079,3085745,USD
2021-10-01,0.4079,0.7785,0.3894,0.4474,3258272,USD
2021-11-01,0.4474,0.7197,0.2978,0.3113,2538612,USD
2021-12-01,0.3113,0.3283,0.2437,0.2538,3749844,USD
2022-01-01,0.2538,0.2911,0.1518,0.1709,4518938,USD
2022-02-01,0.1709,0.469,0.1709,0.2443,3596123,USD
2022-03-01,0.2443,0.3212,0.1892,0.2996,3713230,USD
