Date,Open,High,Low,Close,Volume,Currency
2018-04-01,0.005125,0.024931,0.004471,0.010437,0,USD
2018-05-01,0.010437,0.04064,3e-06,0.017818,0,USD
2018-06-01,0.017779,0.103087,0.004981,0.008788,0,USD
2018-07-01,0.008788,0.011851,0.0,0.00759,0,USD
2018-08-01,0.00759,0.008808,0.005348,0.005692,0,USD
2018-09-01,0.005692,0.006061,0.003728,0.0046,0,USD
2018-10-01,0.0046,0.005698,0.003588,0.003694,0,USD
2018-11-01,0.003694,0.004055,0.001705,0.002645,0,USD
2018-12-01,0.002645,0.007833,0.002033,0.002662,0,USD
2019-01-01,0.002662,0.005085,0.002323,0.002399,0,USD
2019-02-01,0.002399,0.002933,0.002345,0.002668,0,USD
2019-03-01,0.002668,0.002884,0.002581,0.002855,0,USD
2019-04-01,0.002855,0.003875,0.002828,0.003835,0,USD
2019-05-01,0.003835,0.006234,0.003826,0.005845,0,USD
2019-06-01,0.005845,0.009562,0.005107,0.007394,0,USD
2019-07-01,0.007394,0.008992,0.006206,0.006907,0,USD
2019-08-01,0.006907,0.00842,0.006416,0.006592,0,USD
2019-09-01,0.006592,0.007487,0.005315,0.005705,0,USD
2019-10-01,0.005705,0.007165,0.002742,0.002847,0,USD
2019-11-01,0.002847,0.002949,0.001474,0.002074,0,USD
2019-12-01,0.002074,0.002574,0.001938,0.002123,0,USD
2020-01-01,0.002123,0.003204,0.002117,0.003039,0,USD
2020-02-01,0.003039,0.022,0.002773,0.002773,0,USD
2020-03-01,0.002773,0.002977,0.000861,0.001058,0,USD
2020-04-01,0.001058,0.001208,0.000716,0.000993,0,USD
2020-05-01,0.000993,0.001155,0.000698,0.000804,0,USD
2020-06-01,0.000804,0.000877,0.000753,0.000777,0,USD
2020-07-01,0.000777,0.000972,0.00076,0.000964,0,USD
2020-08-01,0.000964,0.001057,0.000902,0.00099,0,USD
2020-09-01,0.00099,0.001024,0.000824,0.000917,0,USD
2020-10-01,0.000917,0.001191,0.000846,0.001172,0,USD
2020-11-01,0.001172,0.001687,0.001098,0.001674,0,USD
2020-12-01,0.001674,0.00205,0.001469,0.00188,0,USD
2021-01-01,0.00188,0.001934,0.001285,0.001656,0,USD
2021-02-01,0.001656,0.002864,0.001532,0.002037,0,USD
2021-03-01,0.002037,0.002955,0.001965,0.002646,0,USD
2021-04-01,0.002646,0.003831,0.002309,0.00346,0,USD
2021-05-01,0.00346,0.003576,0.001563,0.001865,0,USD
2021-06-01,0.001865,0.002064,0.001462,0.001752,0,USD
2021-07-01,0.001752,0.002113,0.001465,0.002076,0,USD
2021-08-01,0.002076,0.002525,0.001871,0.002356,0,USD
2021-09-01,0.002356,0.002644,0.001983,0.002189,0,USD
2021-10-01,0.002189,0.003147,0.001805,0.002146,0,USD
2021-11-01,0.002146,0.002415,0.001645,0.001994,0,USD
2021-12-01,0.001994,0.002078,0.001463,0.001848,0,USD
2022-01-01,0.001848,0.001918,0.001323,0.00154,0,USD
2022-02-01,0.00154,0.00183,0.001157,0.001512,0,USD
2022-03-01,0.001512,0.001686,0.001302,0.001677,0,USD
