Date,Open,High,Low,Close,Volume,Currency
2019-08-01,2.48,3.09,1.41,1.44,0,USD
2019-09-01,1.44,1.5,0.81,1.21,0,USD
2019-10-01,1.21,1.3,0.61,0.73,0,USD
2019-11-01,0.73,1.18,0.43,0.84,0,USD
2019-12-01,0.84,2.54,0.72,2.09,0,USD
2020-01-01,2.09,4.74,1.83,1.94,0,USD
2020-02-01,1.94,3.43,1.56,2.15,0,USD
2020-03-01,2.15,2.32,0.97,1.65,0,USD
2020-04-01,1.65,1.95,0.9,1.23,0,USD
2020-05-01,1.23,1.86,1.06,1.39,0,USD
2020-06-01,1.39,2.7,1.04,2.3,0,USD
2020-07-01,2.3,3.0,1.69,2.56,0,USD
2020-08-01,2.56,3.13,1.34,2.52,0,USD
2020-09-01,2.52,3.29,2.03,2.23,0,USD
2020-10-01,2.23,2.93,1.87,2.78,0,USD
2020-11-01,2.78,3.08,1.72,2.11,0,USD
2020-12-01,2.11,4.36,1.28,3.47,0,USD
2021-01-01,3.47,9.46,2.03,7.42,0,USD
2021-02-01,7.41,10.85,6.05,8.82,0,USD
2021-03-01,8.83,24.47,7.85,21.78,0,USD
2021-04-01,21.81,23.49,13.81,21.43,0,USD
2021-05-01,21.42,21.67,8.79,10.15,0,USD
2021-06-01,10.15,11.61,6.89,7.88,0,USD
2021-07-01,7.88,9.31,6.18,8.41,0,USD
2021-08-01,8.4,12.26,5.75,9.88,0,USD
2021-09-01,9.87,12.81,7.27,8.26,0,USD
2021-10-01,8.27,39.65,8.17,36.36,0,USD
2021-11-01,36.36,71.07,13.73,16.22,0,USD
2021-12-01,16.18,16.53,6.42,7.24,0,USD
2022-01-01,7.24,9.29,3.86,5.67,0,USD
2022-02-01,5.67,6.74,4.77,6.05,0,USD
2022-03-01,6.05,8.19,5.21,8.1,0,USD
