Date,Open,High,Low,Close,Volume,Currency
2019-07-04,0.322616,0.332488,0.264595,0.324298,0,USD
2019-07-05,0.322829,0.332958,0.290539,0.325243,0,USD
2019-07-06,0.3257,0.346639,0.320734,0.343085,0,USD
2019-07-07,0.34315,0.402776,0.309057,0.392176,0,USD
2019-07-08,0.393117,0.431427,0.334424,0.36406,0,USD
2019-07-09,0.363747,0.369377,0.323352,0.327709,0,USD
2019-07-10,0.326974,0.350301,0.314378,0.329805,0,USD
2019-07-11,0.329805,0.343419,0.297521,0.321088,0,USD
2019-07-12,0.320886,0.338021,0.294493,0.317269,0,USD
2019-07-13,0.317269,0.320429,0.28958,0.296224,0,USD
2019-07-14,0.295708,0.296444,0.245783,0.248612,0,USD
2019-07-15,0.247865,0.256474,0.223616,0.24871,0,USD
2019-07-16,0.248579,0.255141,0.195447,0.205859,0,USD
2019-07-17,0.206477,0.229562,0.202501,0.220317,0,USD
2019-07-18,0.220768,0.240295,0.214461,0.23695,0,USD
2019-07-19,0.23715,0.237418,0.223072,0.228569,0,USD
2019-07-20,0.228466,0.243048,0.228001,0.237588,0,USD
2019-07-21,0.237302,0.24176,0.229021,0.237492,0,USD
2019-07-22,0.237671,0.241245,0.227094,0.236056,0,USD
2019-07-23,0.235763,0.23616,0.21422,0.217371,0,USD
2019-07-24,0.217715,0.223882,0.208115,0.221766,0,USD
2019-07-25,0.2215,0.230923,0.208497,0.21076,0,USD
2019-07-26,0.21087,0.217261,0.205072,0.216243,0,USD
2019-07-27,0.216243,0.223295,0.20336,0.213309,0,USD
2019-07-28,0.213366,0.221693,0.207756,0.219813,0,USD
2019-07-29,0.220391,0.235607,0.217199,0.233096,0,USD
2019-07-30,0.233288,0.239651,0.224103,0.234526,0,USD
2019-07-31,0.234325,0.242226,0.230933,0.234092,0,USD
2019-08-01,0.234199,0.234676,0.222933,0.22888,0,USD
2019-08-02,0.229049,0.234314,0.224954,0.22744,0,USD
2019-08-03,0.22744,0.234316,0.226494,0.230149,0,USD
2019-08-04,0.230195,0.231247,0.223403,0.226812,0,USD
2019-08-05,0.226812,0.248615,0.226812,0.242928,0,USD
2019-08-06,0.242959,0.248643,0.230823,0.234347,0,USD
2019-08-07,0.234078,0.237465,0.228192,0.232549,0,USD
2019-08-08,0.232915,0.2339,0.223862,0.230401,0,USD
2019-08-09,0.230401,0.235925,0.222268,0.23578,0,USD
2019-08-10,0.235841,0.267653,0.235841,0.263458,0,USD
2019-08-11,0.263356,0.283414,0.248818,0.259746,0,USD
2019-08-12,0.259817,0.261707,0.248573,0.249599,0,USD
2019-08-13,0.249651,0.264613,0.246104,0.258495,0,USD
2019-08-14,0.252884,0.264935,0.219085,0.220746,0,USD
2019-08-15,0.221414,0.224496,0.207634,0.2225,0,USD
2019-08-16,0.222281,0.223814,0.211361,0.216789,0,USD
