Date,Open,High,Low,Close,Volume,Currency
2018-02-01,0.2038,0.215,0.183,0.1919,14583136,USD
2018-02-02,0.1902,0.21,0.1571,0.1821,25315758,USD
2018-02-03,0.1821,0.198,0.1659,0.1935,1804522,USD
2018-02-04,0.1935,0.1997,0.1668,0.1668,3903646,USD
2018-02-05,0.1668,0.1777,0.1351,0.1451,11242463,USD
2018-02-06,0.1451,0.1604,0.1176,0.1601,4030741,USD
2018-02-07,0.1601,0.1738,0.1441,0.1588,24857364,USD
2018-02-08,0.1588,0.232,0.1588,0.1869,12422763,USD
2018-02-09,0.1869,0.1871,0.1682,0.1774,2913720,USD
2018-02-10,0.1774,0.1917,0.1713,0.1788,6047511,USD
2018-02-11,0.1788,0.1788,0.1635,0.1657,1828267,USD
2018-02-12,0.1657,0.1768,0.1655,0.1724,2586310,USD
2018-02-13,0.1724,0.1816,0.165,0.1689,2235216,USD
2018-02-14,0.1689,0.1809,0.165,0.1733,5501016,USD
2018-02-15,0.1733,0.189,0.1644,0.1836,3059179,USD
2018-02-16,0.1836,0.187,0.1777,0.1777,3033248,USD
2018-02-17,0.1777,0.1866,0.176,0.1772,2216709,USD
2018-02-18,0.1772,0.1839,0.1651,0.1683,4476915,USD
2018-02-19,0.1683,0.1779,0.1651,0.1687,800850,USD
2018-02-20,0.1687,0.1777,0.1665,0.1691,1363868,USD
2018-02-21,0.1691,0.1722,0.1533,0.1533,2310979,USD
2018-02-22,0.1533,0.1608,0.1453,0.15,9641097,USD
2018-02-23,0.15,0.1581,0.1454,0.1496,2873285,USD
2018-02-24,0.1496,0.1585,0.1417,0.1485,5864925,USD
2018-02-25,0.1485,0.195,0.1417,0.1679,8512474,USD
2018-02-26,0.1679,0.1864,0.1635,0.1791,2962607,USD
2018-02-27,0.1791,0.1879,0.1755,0.1773,5798565,USD
2018-02-28,0.1773,0.199,0.175,0.1828,7579968,USD
2018-03-01,0.1828,0.2085,0.1766,0.1999,12767841,USD
2018-03-02,0.1999,0.21,0.1826,0.1914,6677045,USD
2018-03-03,0.1914,0.2,0.1841,0.1885,1354228,USD
2018-03-04,0.1885,0.1958,0.17,0.18,7348914,USD
2018-03-05,0.18,0.1838,0.174,0.1789,9040604,USD
2018-03-06,0.1789,0.1807,0.1605,0.1731,6446281,USD
2018-03-07,0.1731,0.1765,0.143,0.1529,5047269,USD
2018-03-08,0.1529,0.1529,0.12,0.1302,3289882,USD
2018-03-09,0.1302,0.1441,0.1262,0.1441,1571509,USD
2018-03-10,0.1441,0.1535,0.12,0.1366,1528354,USD
2018-03-11,0.1366,0.146,0.108,0.1418,2535654,USD
2018-03-12,0.1418,0.1494,0.1326,0.1348,389816,USD
2018-03-13,0.1348,0.1478,0.1324,0.1346,336785,USD
2018-03-14,0.1346,0.1469,0.118,0.1232,940171,USD
2018-03-15,0.1232,0.1297,0.1071,0.1194,1401109,USD
2018-03-16,0.1194,0.1215,0.11,0.118,3083814,USD
2018-03-17,0.118,0.1189,0.105,0.105,1867097,USD
2018-03-18,0.105,0.1054,0.08,0.0874,1993988,USD
2018-03-19,0.088,0.0963,0.079,0.0854,2170552,USD
2018-03-20,0.0854,0.11,0.0849,0.0898,6698307,USD
2018-03-21,0.0898,0.11,0.0898,0.0999,5083411,USD
2018-03-22,0.0999,0.1038,0.0907,0.0941,4556814,USD
2018-03-23,0.0941,0.0974,0.0889,0.0927,5108865,USD
2018-03-24,0.0927,0.1084,0.0921,0.0945,6383574,USD
2018-03-25,0.0945,0.0962,0.0896,0.0941,4138958,USD
2018-03-26,0.0941,0.0992,0.08,0.0876,4617269,USD
2018-03-27,0.0876,0.0879,0.08,0.0819,2627515,USD
2018-03-28,0.0819,0.0895,0.0774,0.0831,3484664,USD
2018-03-29,0.0831,0.0884,0.0745,0.0747,4461223,USD
