Date,Open,High,Low,Close,Volume,Currency
2018-03-02,1.8107,2.19226,1.80971,2.0823,0,USD
2018-03-03,2.0823,2.21936,2.0823,2.17187,0,USD
2018-03-04,2.17187,2.18926,2.10959,2.15046,0,USD
2018-03-05,2.15046,2.37887,2.10659,2.30391,0,USD
2018-03-06,2.30391,2.30391,2.10466,2.13371,0,USD
2018-03-07,2.13371,2.16859,1.78361,1.86067,0,USD
2018-03-08,1.86067,1.94749,1.71749,1.7334,0,USD
2018-03-09,1.7334,1.78377,1.50839,1.66209,0,USD
2018-03-10,1.66209,1.72853,1.51544,1.55118,0,USD
2018-03-11,1.55118,1.70606,1.48989,1.66006,0,USD
2018-03-12,1.66006,1.70872,1.48922,1.53675,0,USD
2018-03-13,1.53675,1.58789,1.44683,1.49365,0,USD
2018-03-14,1.49365,1.52661,1.26282,1.32849,0,USD
2018-03-15,1.32849,1.37747,1.21787,1.35027,0,USD
2018-03-16,1.35027,1.43091,1.29679,1.37052,0,USD
2018-03-17,1.37052,1.38257,1.26478,1.28864,0,USD
2018-03-18,1.28864,1.34143,1.17512,1.32731,0,USD
2018-03-19,1.32731,1.36564,1.23416,1.29511,0,USD
2018-03-20,1.29511,1.32213,1.23468,1.2973,0,USD
2018-03-21,1.2973,1.33323,1.2673,1.28604,0,USD
2018-03-22,1.28604,1.38184,1.22885,1.24159,0,USD
2018-03-23,1.24159,1.26402,1.16525,1.26102,0,USD
2018-03-24,1.26102,1.27034,1.19717,1.19849,0,USD
2018-03-25,1.19849,1.27393,1.18096,1.24098,0,USD
2018-03-26,1.24098,1.25922,1.13147,1.17525,0,USD
2018-03-27,1.17525,1.202,1.10938,1.17132,0,USD
2018-03-28,1.17132,1.19486,1.12283,1.12694,0,USD
2018-03-29,1.12694,1.1314,0.98308,1.02809,0,USD
2018-03-30,1.02809,1.04631,0.91355,0.98796,0,USD
2018-03-31,0.98796,1.08671,0.98796,1.00232,0,USD
2018-04-01,1.00232,1.02505,0.91683,0.99476,0,USD
2018-04-02,0.99476,1.02884,0.98337,1.00532,0,USD
2018-04-03,1.00532,1.07587,1.00098,1.05139,0,USD
2018-04-04,1.05139,1.05524,0.9084,0.92056,0,USD
2018-04-05,0.92056,0.93597,0.88979,0.91524,0,USD
2018-04-06,0.91524,0.92755,0.88163,0.92645,0,USD
2018-04-07,0.92645,1.00014,0.92449,0.96911,0,USD
2018-04-08,0.96911,0.99084,0.94603,0.95507,0,USD
2018-04-09,0.95507,1.02486,0.91865,0.93489,0,USD
2018-04-10,0.93489,0.95492,0.92336,0.94367,0,USD
2018-04-11,0.94367,0.99914,0.94245,0.97695,0,USD
2018-04-12,0.97695,1.11745,0.93745,1.10163,0,USD
2018-04-13,1.10163,1.15103,1.03641,1.0485,0,USD
2018-04-14,1.0485,1.09231,1.04095,1.07325,0,USD
2018-04-15,1.07325,1.14127,1.05552,1.13192,0,USD
2018-04-16,1.13192,1.14166,1.03429,1.05329,0,USD
2018-04-17,1.05329,1.09585,1.02909,1.03503,0,USD
2018-04-18,1.03503,1.12584,1.02634,1.10731,0,USD
2018-04-19,1.10731,1.14208,1.10019,1.12325,0,USD
2018-04-20,1.12325,1.31857,1.12141,1.273,0,USD
2018-04-21,1.273,1.36842,1.2004,1.26319,0,USD
2018-04-22,1.26319,1.39825,1.23115,1.35709,0,USD
2018-04-23,1.35709,1.73536,1.27735,1.44149,0,USD
2018-04-24,1.44149,1.51415,1.38208,1.46801,0,USD
2018-04-25,1.46801,1.46872,1.16967,1.19397,0,USD
2018-04-26,1.19397,1.27272,1.15779,1.2546,0,USD
2018-04-27,1.2546,1.28973,1.15862,1.16193,0,USD
