Date,Open,High,Low,Close,Volume,Currency
2021-02-08,3.61,3.61,3.4111,3.5554,4949188,USD
2021-02-09,3.5497,3.6914,3.526,3.6914,2238805,USD
2021-02-10,3.6999,4.97,3.6999,4.97,17355184,USD
2021-02-11,4.97,4.97,4.4667,4.786,9100797,USD
2021-02-12,4.7655,4.8463,4.7301,4.8418,5005211,USD
2021-02-13,4.8459,4.8653,4.6075,4.6075,5611920,USD
2021-02-14,4.6194,4.6194,4.361,4.361,2698018,USD
2021-02-15,4.3719,4.3719,4.0757,4.0757,3053513,USD
2021-02-16,4.0757,4.5713,4.0757,4.5713,2672723,USD
2021-02-17,4.5936,4.7883,4.4275,4.7883,11014535,USD
2021-02-18,4.7883,5.2557,4.6866,5.2557,8382723,USD
2021-02-19,5.2557,5.4567,5.2557,5.3126,8428361,USD
2021-02-20,5.2932,5.331,5.0908,5.0908,3600109,USD
2021-02-21,5.0793,5.1835,5.0793,5.1387,2394588,USD
2021-02-22,5.1387,5.1387,4.5417,4.5743,3042516,USD
2021-02-23,4.5743,4.5743,3.5397,4.0284,3287348,USD
2021-02-24,4.0151,4.4884,4.0151,4.4884,2200918,USD
2021-02-25,4.4881,4.4881,4.0511,4.0511,1341434,USD
2021-02-26,4.05,4.05,3.8489,3.8661,1507358,USD
2021-02-27,3.8646,3.9785,3.8646,3.9298,1105935,USD
2021-02-28,3.9304,3.9433,3.6731,3.8223,993099,USD
2021-03-01,3.814,3.9897,3.814,3.9897,1262419,USD
2021-03-02,3.982,3.982,3.868,3.868,1551253,USD
2021-03-03,3.868,4.1038,3.868,4.0828,1655810,USD
2021-03-04,4.0828,4.2347,3.8634,3.8634,1730170,USD
2021-03-05,3.8635,3.8635,3.7536,3.7536,1429448,USD
2021-03-06,3.7536,3.8471,3.7536,3.814,646035,USD
2021-03-07,3.8098,3.9071,3.8098,3.887,765825,USD
2021-03-08,3.887,3.9209,3.8473,3.9209,1143032,USD
2021-03-09,3.9209,4.0227,3.9152,3.9874,1475753,USD
2021-03-10,3.9822,4.1565,3.9576,4.1565,2820238,USD
2021-03-11,4.1565,4.1814,3.989,3.989,1732768,USD
2021-03-12,3.989,4.0417,3.7737,3.7737,1255458,USD
2021-03-13,3.78,3.9801,3.78,3.9801,1459859,USD
2021-03-14,3.9771,3.9771,3.8585,3.8585,840095,USD
2021-03-15,3.8583,3.8682,3.6912,3.6912,988828,USD
2021-03-16,3.6978,3.7794,3.6962,3.7661,870898,USD
2021-03-17,3.765,3.9636,3.765,3.9636,1324473,USD
2021-03-18,3.9626,4.292,3.9626,4.1042,2297273,USD
2021-03-19,4.1042,4.1042,4.0607,4.0607,802771,USD
2021-03-20,4.0655,4.1111,3.9732,3.9732,776562,USD
2021-03-21,3.972,4.0257,3.8917,3.8917,479035,USD
2021-03-22,3.8917,4.232,3.8917,3.9506,1857669,USD
2021-03-23,3.9506,3.9506,3.8224,3.8224,729458,USD
2021-03-24,3.8152,3.8585,3.5517,3.5517,902461,USD
2021-03-25,3.5517,3.6265,3.332,3.332,1290530,USD
2021-03-26,3.3273,3.65,3.3273,3.6277,993614,USD
2021-03-27,3.6229,3.6229,3.5568,3.5568,571550,USD
2021-03-28,3.5568,3.596,3.5457,3.5589,760009,USD
2021-03-29,3.5589,4.4489,3.5589,4.4489,2888205,USD
2021-03-30,4.4433,4.4627,4.3313,4.3313,4506718,USD
2021-03-31,4.3313,4.7662,4.3313,4.632,2865818,USD
2021-04-01,4.64,4.64,4.5783,4.5783,1007982,USD
2021-04-02,4.5751,4.5751,4.4529,4.4529,738458,USD
2021-04-03,4.4538,4.5356,4.2935,4.2935,694913,USD
2021-04-04,4.2941,4.4158,4.2941,4.4158,401399,USD
2021-04-05,4.4158,4.6476,4.3405,4.6476,828519,USD
2021-04-06,4.6476,4.6476,4.5389,4.5595,613325,USD
2021-04-07,4.5595,4.5632,4.2463,4.2463,631951,USD
2021-04-08,4.2463,4.442,4.2439,4.442,439726,USD
2021-04-09,4.4515,4.5137,4.3656,4.3656,510873,USD
2021-04-10,4.3656,4.4076,4.3465,4.3613,678457,USD
2021-04-11,4.3613,4.6789,4.3613,4.6789,1044166,USD
2021-04-12,4.6797,4.819,4.6067,4.819,829018,USD
2021-04-13,4.8194,4.841,4.5774,4.6007,1469059,USD
2021-04-14,4.6004,4.6004,4.3509,4.3509,1564537,USD
2021-04-15,4.3523,4.5067,4.3523,4.5067,1189604,USD
2021-04-16,4.5005,4.5005,4.3189,4.3658,787341,USD
2021-04-17,4.3658,4.5168,4.3658,4.5168,1432418,USD
2021-04-18,4.5168,4.5168,4.0236,4.0403,1335885,USD
2021-04-19,4.0483,4.189,4.0483,4.1188,1081586,USD
2021-04-20,4.1281,5.7875,4.1281,5.7875,8011370,USD
2021-04-21,5.8139,6.6249,5.8139,5.8504,12101720,USD
2021-04-22,5.86,5.86,5.1195,5.1195,4869460,USD
2021-04-23,5.1195,5.1195,4.3639,4.8207,3264194,USD
2021-04-24,4.8207,6.1502,4.8207,6.1502,7900097,USD
2021-04-25,6.156,6.1828,5.603,5.603,5051598,USD
2021-04-26,5.6056,5.7922,5.6056,5.7271,3669186,USD
2021-04-27,5.7314,5.7314,5.5318,5.5433,2775770,USD
2021-04-28,5.5607,5.5607,5.2519,5.2519,3060584,USD
2021-04-29,5.2519,5.2519,5.1452,5.1452,1754486,USD
2021-04-30,5.1452,5.4096,5.1452,5.4096,1614573,USD
2021-05-01,5.4096,5.4096,5.3291,5.3291,1239637,USD
2021-05-02,5.3291,5.7147,5.3291,5.6164,3335243,USD
2021-05-03,5.6211,5.6211,5.48,5.48,1930135,USD
2021-05-04,5.4801,5.4801,5.0297,5.0297,2129786,USD
2021-05-05,5.0262,5.2299,5.0262,5.2133,2145780,USD
2021-05-06,5.2131,5.5392,5.2131,5.4159,2613825,USD
2021-05-07,5.415,5.5,5.415,5.4217,2129988,USD
2021-05-08,5.4203,5.5929,5.3748,5.3748,2258076,USD
2021-05-09,5.3748,5.3748,5.2662,5.2662,1221352,USD
2021-05-10,5.2662,5.2662,4.8827,4.8827,1617637,USD
2021-05-11,4.8806,5.1887,4.8806,5.1887,2723798,USD
2021-05-12,5.1892,5.2514,4.456,4.456,2142473,USD
2021-05-13,4.4601,4.5576,4.3298,4.3298,2243087,USD
2021-05-14,4.3298,5.0954,4.3298,5.0954,1616019,USD
2021-05-15,5.1,5.1,4.5175,4.5175,1050152,USD
2021-05-16,4.5071,4.671,4.5071,4.6031,1884245,USD
2021-05-17,4.6006,6.3385,4.6006,6.3385,14768857,USD
2021-05-18,6.3385,6.3385,5.3526,5.4234,6566862,USD
2021-05-19,5.4221,5.4221,4.015,4.015,4994826,USD
2021-05-20,3.9997,4.2328,3.7982,4.1708,3907086,USD
2021-05-21,4.1708,4.1708,3.1589,3.1589,5472044,USD
2021-05-22,3.1589,3.1589,2.9917,3.0151,4079883,USD
2021-05-23,3.0151,3.0151,2.627,2.6406,2874614,USD
2021-05-24,2.6406,3.0948,2.6346,3.0948,3674613,USD
2021-05-25,3.101,3.5387,2.9357,3.5387,7180417,USD
2021-05-26,3.5472,3.8057,3.5472,3.8057,3243247,USD
2021-05-27,3.8057,3.8057,3.605,3.605,1541518,USD
2021-05-28,3.6127,3.6127,3.4035,3.4035,1468087,USD
2021-05-29,3.4053,3.4682,3.3818,3.4239,2715825,USD
2021-05-30,3.4239,3.4239,3.3885,3.4075,1634975,USD
2021-05-31,3.4075,3.4953,3.3691,3.4953,1007022,USD
2021-06-01,3.4932,3.4932,3.3191,3.4004,1215014,USD
2021-06-02,3.4004,3.5253,3.4004,3.4836,1562045,USD
2021-06-03,3.4836,3.5328,3.483,3.483,957541,USD
2021-06-04,3.4834,3.4896,3.2999,3.2999,1000537,USD
2021-06-05,3.2999,3.3617,3.2101,3.2155,803489,USD
2021-06-06,3.215,3.2392,3.1956,3.2392,435613,USD
2021-06-07,3.2392,3.2392,2.8575,2.8575,965306,USD
2021-06-08,2.8587,2.9291,2.8587,2.9291,2856685,USD
2021-06-09,2.9291,3.0314,2.9291,3.0237,2305876,USD
2021-06-10,3.0237,3.0237,2.8023,2.8023,1281872,USD
2021-06-11,2.8023,2.8023,2.6069,2.6069,1505082,USD
2021-06-12,2.6069,2.6674,2.4895,2.4895,1973894,USD
2021-06-13,2.4914,2.6029,2.4914,2.5917,1532973,USD
2021-06-14,2.5857,2.5857,2.5267,2.5267,3019154,USD
2021-06-15,2.5267,2.5604,2.5141,2.5556,1744827,USD
2021-06-16,2.5533,2.5533,2.3458,2.3458,1433639,USD
2021-06-17,2.3458,2.5938,2.3369,2.5938,2758121,USD
2021-06-18,2.5938,2.6434,2.4328,2.4328,5403006,USD
2021-06-19,2.4328,2.4574,2.3731,2.3731,1183690,USD
2021-06-20,2.3731,2.3731,2.2458,2.3227,2053178,USD
2021-06-21,2.3227,2.3227,1.9243,1.9243,3000663,USD
2021-06-22,1.9243,2.2695,1.9015,2.2695,8832373,USD
2021-06-23,2.2696,2.2696,2.1464,2.2654,5180209,USD
2021-06-24,2.2654,2.5935,2.2654,2.5935,4202518,USD
2021-06-25,2.5935,2.9987,2.5935,2.9987,13079193,USD
2021-06-26,2.9998,4.3643,2.9998,4.3643,22130068,USD
2021-06-27,4.3752,4.3752,3.4568,3.4666,13202849,USD
2021-06-28,3.469,3.7313,3.3822,3.4023,7991385,USD
2021-06-29,3.4026,3.4156,3.2795,3.2795,3283992,USD
2021-06-30,3.2795,3.2795,3.0893,3.0893,3118011,USD
2021-07-01,3.0893,3.3921,2.8294,3.3921,5834931,USD
2021-07-02,3.3922,3.4346,3.2602,3.4309,9599690,USD
2021-07-03,3.4309,3.4309,3.3191,3.3987,3982435,USD
2021-07-04,3.4021,3.4173,3.3963,3.4173,2277003,USD
2021-07-05,3.4173,3.4173,3.0996,3.0996,1909529,USD
2021-07-06,3.1003,3.1929,3.1003,3.1572,1960961,USD
2021-07-07,3.0846,3.25,3.0846,3.0964,1757273,USD
2021-07-08,3.0964,3.2495,2.8708,2.9209,2714160,USD
2021-07-09,2.91,3.0623,2.8066,2.9921,1843022,USD
2021-07-10,2.9921,3.0241,2.874,2.9053,1461148,USD
2021-07-11,2.9053,2.9716,2.8506,2.888,686325,USD
2021-07-12,2.888,3.1973,2.869,2.9184,3309251,USD
2021-07-13,2.9184,2.9625,2.7302,2.7494,1232634,USD
2021-07-14,2.7494,2.8253,2.5608,2.7053,1252585,USD
2021-07-15,2.7053,2.7758,2.5,2.5279,912036,USD
2021-07-16,2.5268,2.5889,2.349,2.3529,751288,USD
2021-07-17,2.3529,2.483,2.2444,2.2958,1647622,USD
2021-07-18,2.2996,2.4602,2.2956,2.3194,708680,USD
2021-07-19,2.3194,2.4324,2.1981,2.2041,1461562,USD
2021-07-20,2.2041,2.7476,2.1,2.38,3806309,USD
2021-07-21,2.38,2.4644,2.2495,2.3488,3933066,USD
2021-07-22,2.3488,2.5927,2.2989,2.4222,2806660,USD
2021-07-23,2.4222,2.509,2.2879,2.4062,1694221,USD
2021-07-24,2.4074,2.4941,2.3747,2.4525,1472681,USD
2021-07-25,2.4797,2.7054,2.4117,2.533,3255895,USD
2021-07-26,2.533,2.7036,2.4834,2.5396,3051353,USD
2021-07-27,2.5396,2.6878,2.4348,2.6664,1669793,USD
2021-07-28,2.6664,2.6901,2.5365,2.6245,1320471,USD
2021-07-29,2.6245,2.7812,2.6007,2.7273,1174276,USD
2021-07-30,2.7273,2.7858,2.61,2.7145,666736,USD
2021-07-31,2.7145,2.7897,2.6808,2.7664,842501,USD
2021-08-01,2.7708,2.832,2.6086,2.613,1041604,USD
2021-08-02,2.6124,2.7078,2.5679,2.6438,1051704,USD
2021-08-03,2.6435,2.8521,2.575,2.8271,2096870,USD
2021-08-04,2.8296,3.0595,2.752,2.794,3128610,USD
2021-08-05,2.794,2.8681,2.709,2.8329,1273337,USD
2021-08-06,2.8329,2.9641,2.7794,2.9614,2102657,USD
2021-08-07,2.963,3.0582,2.8386,2.9301,1320947,USD
2021-08-08,2.9301,3.1849,2.7854,2.8234,2376806,USD
2021-08-09,2.8234,3.37,2.7865,3.1116,2817552,USD
2021-08-10,3.1116,3.1316,2.8922,2.9947,1453569,USD
2021-08-11,2.9947,3.19,2.9693,2.9882,1551646,USD
2021-08-12,2.9882,3.12,2.908,3.0703,931655,USD
2021-08-13,3.0703,3.1912,3.0,3.1912,1320409,USD
2021-08-14,3.1912,3.1922,3.0021,3.0978,932171,USD
2021-08-15,3.0978,3.155,3.0204,3.1311,744139,USD
2021-08-16,3.1311,3.2301,3.0805,3.1043,1118017,USD
2021-08-17,3.1043,3.2031,2.9264,2.9584,1085549,USD
2021-08-18,2.9584,3.0116,2.8703,2.9226,804452,USD
2021-08-19,2.922,3.1222,2.8541,3.1188,822999,USD
2021-08-20,3.1188,3.2112,3.0731,3.1595,745952,USD
2021-08-21,3.1595,3.1851,3.0622,3.0801,752890,USD
2021-08-22,3.0801,3.295,3.08,3.2252,1729694,USD
2021-08-23,3.2252,3.2531,3.1164,3.1416,1028258,USD
2021-08-24,3.1416,3.1522,2.961,3.0214,792362,USD
2021-08-25,3.0214,3.0957,2.9199,3.0919,639895,USD
2021-08-26,3.0919,3.612,2.9678,3.5364,5706515,USD
2021-08-27,3.521,4.3956,3.1676,4.165,8469801,USD
2021-08-28,4.1612,5.1092,4.135,4.5978,8615855,USD
2021-08-29,4.5978,4.6152,4.2389,4.2702,2429222,USD
2021-08-30,4.2702,10.6561,4.05,7.09,20601356,USD
2021-08-31,7.0771,7.4983,5.383,5.529,17663018,USD
2021-09-01,5.5312,6.647,5.3765,5.8054,12223872,USD
2021-09-02,5.8054,5.978,5.5352,5.6147,4846900,USD
2021-09-03,5.6147,5.6969,5.2809,5.31,3613437,USD
2021-09-04,5.31,5.62,5.1201,5.1275,2857891,USD
2021-09-05,5.1275,6.5314,5.0635,5.4735,9617597,USD
2021-09-06,5.4634,5.5569,5.108,5.1555,6810462,USD
2021-09-07,5.1526,5.1797,3.8086,4.1373,10179483,USD
2021-09-08,4.1273,4.725,3.8865,4.2447,8746742,USD
2021-09-09,4.2447,5.3422,4.1,5.0084,12172501,USD
2021-09-10,5.0084,5.7099,4.7,5.0253,11111973,USD
2021-09-11,5.0362,5.4659,4.8457,5.0318,5788542,USD
2021-09-12,5.0304,5.3339,4.8602,4.955,2475478,USD
2021-09-13,4.955,5.3482,4.2416,5.1921,7402414,USD
2021-09-14,5.1921,5.65,4.9852,5.0288,5504202,USD
