Date,Open,High,Low,Close,Volume,Currency
2018-03-02,0.055234,0.061882,0.05117,0.057985,0,USD
2018-03-03,0.058042,0.059096,0.050395,0.053002,0,USD
2018-03-04,0.053002,0.057087,0.042953,0.047699,0,USD
2018-03-05,0.047699,0.052846,0.043097,0.04394,0,USD
2018-03-06,0.04394,0.047224,0.039036,0.041122,0,USD
2018-03-07,0.041122,0.047311,0.037315,0.039625,0,USD
2018-03-08,0.039625,0.044003,0.035642,0.038544,0,USD
2018-03-09,0.038544,0.040126,0.03387,0.036188,0,USD
2018-03-10,0.036188,0.037187,0.026599,0.027493,0,USD
2018-03-11,0.027493,0.032089,0.026429,0.030243,0,USD
2018-03-12,0.030243,0.03121,0.026144,0.028819,0,USD
2018-03-13,0.028819,0.030734,0.028471,0.029232,0,USD
2018-03-14,0.029232,0.030196,0.024443,0.025372,0,USD
2018-03-15,0.025372,0.026006,0.023808,0.02534,0,USD
2018-03-16,0.02534,0.026217,0.02444,0.025124,0,USD
2018-03-17,0.025124,0.025156,0.021115,0.02125,0,USD
2018-03-18,0.02125,0.022907,0.01849,0.022858,0,USD
2018-03-19,0.022858,0.024173,0.020973,0.023564,0,USD
2018-03-20,0.023564,0.025415,0.022253,0.024998,0,USD
2018-03-21,0.024998,0.025205,0.022685,0.025142,0,USD
2018-03-22,0.025142,0.025532,0.023542,0.024146,0,USD
2018-03-23,0.024146,0.024238,0.022173,0.024081,0,USD
2018-03-24,0.024081,0.024281,0.022899,0.022924,0,USD
2018-03-25,0.022924,0.023098,0.020059,0.020775,0,USD
2018-03-26,0.020775,0.021114,0.019079,0.019865,0,USD
2018-03-27,0.019865,0.020064,0.016995,0.017942,0,USD
2018-03-28,0.017942,0.019115,0.016464,0.019018,0,USD
2018-03-29,0.019018,0.024878,0.017758,0.02234,0,USD
2018-03-30,0.02234,0.02234,0.018321,0.018948,0,USD
2018-03-31,0.018948,0.020135,0.018172,0.01856,0,USD
2018-04-01,0.01856,0.021217,0.017436,0.01757,0,USD
2018-04-02,0.01757,0.022857,0.017478,0.020276,0,USD
2018-04-03,0.020276,0.024476,0.020044,0.024065,0,USD
2018-04-04,0.024065,0.024109,0.021829,0.022124,0,USD
2018-04-05,0.022124,0.022517,0.020477,0.020725,0,USD
2018-04-06,0.020725,0.021012,0.01998,0.020339,0,USD
2018-04-07,0.020339,0.022584,0.020244,0.022143,0,USD
2018-04-08,0.022143,0.022618,0.021523,0.02185,0,USD
2018-04-09,0.02185,0.022858,0.020177,0.020345,0,USD
2018-04-10,0.020352,0.020449,0.018208,0.018844,0,USD
2018-04-11,0.018844,0.024463,0.018831,0.022006,0,USD
2018-04-12,0.022006,0.024119,0.020477,0.023934,0,USD
2018-04-13,0.023934,0.024881,0.023289,0.023519,0,USD
2018-04-14,0.023519,0.024421,0.022052,0.023175,0,USD
2018-04-15,0.023175,0.026697,0.023091,0.025071,0,USD
2018-04-16,0.025071,0.025256,0.022647,0.024652,0,USD
2018-04-17,0.024652,0.0259,0.019959,0.020672,0,USD
2018-04-18,0.020672,0.021216,0.020133,0.020335,0,USD
2018-04-19,0.020335,0.020514,0.019895,0.020066,0,USD
2018-04-20,0.020066,0.020725,0.016736,0.018407,0,USD
2018-04-21,0.018407,0.018987,0.016596,0.017873,0,USD
2018-04-22,0.017873,0.018384,0.017035,0.017599,0,USD
2018-04-23,0.017599,0.021232,0.016415,0.021232,0,USD
