Date,Open,High,Low,Close,Volume,Currency
2018-02-26,0.52827,0.61736,0.50946,0.60917,442,USD
2018-02-27,0.60917,0.61233,0.47099,0.49766,860,USD
2018-02-28,0.49766,0.57051,0.47471,0.54081,300,USD
2018-03-01,0.54081,0.58341,0.50124,0.50124,470,USD
2018-03-02,0.50124,0.59463,0.48399,0.53126,372,USD
2018-03-03,0.53126,0.57693,0.50019,0.57417,364,USD
2018-03-04,0.57417,0.62852,0.49855,0.52257,14,USD
2018-03-05,0.52257,0.52257,0.49914,0.51156,255,USD
2018-03-06,0.51156,0.56836,0.45974,0.45974,710,USD
2018-03-07,0.45974,0.49912,0.45974,0.47006,241,USD
2018-03-08,0.47006,0.47007,0.46006,0.46006,148,USD
2018-03-09,0.46006,0.46006,0.42505,0.43961,177,USD
2018-03-10,0.43961,0.4715,0.42385,0.44392,704,USD
2018-03-11,0.44392,0.44392,0.38764,0.3906,532,USD
2018-03-12,0.3906,0.41645,0.38031,0.41645,11,USD
2018-03-13,0.41645,0.41645,0.38549,0.38549,25,USD
2018-03-14,0.38549,0.58859,0.38549,0.58604,1233,USD
2018-03-15,0.58604,0.58813,0.40435,0.58813,121,USD
2018-03-16,0.58813,0.63663,0.49709,0.63663,222,USD
2018-03-17,0.63663,0.85654,0.35637,0.50259,779,USD
2018-03-18,0.50259,0.50259,0.36123,0.36123,26,USD
2018-03-19,0.36123,0.64427,0.36123,0.50246,750,USD
2018-03-20,0.50246,0.76461,0.50246,0.65296,1266,USD
2018-03-21,0.65296,0.65387,0.44417,0.4442,776,USD
2018-03-22,0.4442,0.69183,0.4442,0.67258,453,USD
2018-03-23,0.67258,0.69469,0.5013,0.65361,276,USD
2018-03-24,0.65361,0.69469,0.55802,0.55994,326,USD
2018-03-25,0.55994,0.58155,0.53327,0.58155,103,USD
2018-03-26,0.58155,0.6869,0.55931,0.55931,243,USD
2018-03-27,0.55931,0.68314,0.46756,0.51522,163,USD
2018-03-28,0.51522,0.62897,0.47211,0.56471,437,USD
2018-03-29,0.56471,0.6753,0.4943,0.50985,622,USD
2018-03-30,0.50985,0.54067,0.48925,0.53674,41,USD
2018-03-31,0.53674,0.64835,0.48606,0.50321,65,USD
2018-04-01,0.50321,0.5301,0.47768,0.5301,125,USD
2018-04-02,0.5301,0.84087,0.45094,0.61811,449,USD
2018-04-03,0.61811,0.66498,0.50057,0.66278,202,USD
2018-04-04,0.66278,0.66278,0.52076,0.52076,138,USD
2018-04-05,0.52076,0.57403,0.50268,0.55239,69,USD
2018-04-06,0.55239,0.59687,0.5066,0.52084,84,USD
2018-04-07,0.52084,0.52084,0.50862,0.51443,89,USD
2018-04-08,0.51443,0.56596,0.51443,0.54975,61,USD
2018-04-09,0.54975,0.54975,0.41005,0.50583,1010,USD
2018-04-10,0.50583,0.50583,0.41746,0.46757,960,USD
2018-04-11,0.46757,0.46757,0.20248,0.367,2508,USD
2018-04-12,0.367,0.40498,0.34466,0.38597,856,USD
2018-04-13,0.38597,0.44506,0.36801,0.40546,270,USD
2018-04-14,0.40546,0.42756,0.32811,0.42756,46,USD
2018-04-15,0.42756,0.44783,0.4003,0.44783,37,USD
2018-04-16,0.44783,0.47205,0.36588,0.39511,382,USD
2018-04-17,0.39511,0.4651,0.38769,0.42935,3451,USD
2018-04-18,0.42935,0.42935,0.38243,0.40437,870,USD
2018-04-19,0.40437,0.40437,0.33023,0.37457,2082,USD
2018-04-20,0.37457,0.39751,0.27083,0.35052,108,USD
2018-04-21,0.35052,0.40495,0.35052,0.36568,2469,USD
2018-04-22,0.36568,0.38881,0.33466,0.38639,561,USD
2018-04-23,0.38639,0.50766,0.38193,0.44426,1665,USD
2018-04-24,0.44426,0.71175,0.44426,0.70496,2883,USD
2018-04-25,0.70496,0.90132,0.55737,0.58183,1611,USD
2018-04-26,0.58183,0.59176,0.44516,0.44516,2309,USD
2018-04-27,0.44516,0.64919,0.44471,0.64919,618,USD
2018-04-28,0.64919,0.77752,0.50431,0.71077,786,USD
2018-04-29,0.71077,0.74359,0.69853,0.73873,196,USD
2018-04-30,0.73873,0.73873,0.60071,0.60727,245,USD
2018-05-01,0.60727,0.64906,0.57875,0.64655,462,USD
2018-05-02,0.64655,0.7332,0.58511,0.58522,1037,USD
2018-05-03,0.58522,0.59683,0.55868,0.57665,865,USD
2018-05-04,0.57665,0.59433,0.48012,0.56784,1152,USD
2018-05-05,0.56784,0.62894,0.51686,0.62894,1479,USD
2018-05-06,0.62034,0.62347,0.52192,0.54661,21,USD
2018-05-07,0.54661,0.60857,0.54465,0.55849,48,USD
2018-05-08,0.65665,0.65665,0.433,0.55037,33,USD
