Date,Open,High,Low,Close,Volume,Currency
2018-02-20,0.031138,0.040943,0.031138,0.040943,76,USD
2018-02-21,0.040943,0.040943,0.026453,0.030632,141,USD
2018-02-22,0.030632,0.030632,0.026935,0.028203,59,USD
2018-02-23,0.028203,0.029997,0.028203,0.029997,97,USD
2018-02-24,0.029997,0.029997,0.028807,0.028807,48,USD
2018-02-25,0.028807,0.031977,0.028493,0.029713,72,USD
2018-02-26,0.029713,0.035984,0.028483,0.031221,108,USD
2018-02-27,0.031221,0.032532,0.030641,0.030641,138,USD
2018-02-28,0.030641,0.035984,0.030641,0.030903,116,USD
2018-03-01,0.030903,0.036925,0.030903,0.035587,130,USD
2018-03-02,0.035587,0.036849,0.034544,0.036849,533,USD
2018-03-03,0.036849,0.043872,0.035984,0.041869,1022,USD
2018-03-04,0.041869,0.045743,0.035984,0.045743,228,USD
2018-03-05,0.045743,0.045743,0.035984,0.040387,1134,USD
2018-03-06,0.040387,0.040387,0.033603,0.035103,792,USD
2018-03-07,0.035103,0.035984,0.022866,0.030187,911,USD
2018-03-08,0.030187,0.035984,0.028043,0.028043,485,USD
2018-03-09,0.028043,0.035984,0.027294,0.027294,843,USD
2018-03-10,0.027294,0.028441,0.026993,0.026993,839,USD
2018-03-11,0.026993,0.031017,0.026993,0.029667,470,USD
2018-03-12,0.029667,0.035984,0.028514,0.029869,470,USD
2018-03-13,0.029869,0.035984,0.027289,0.027289,470,USD
2018-03-14,0.027289,0.027289,0.025534,0.025534,470,USD
2018-03-15,0.025534,0.02561,0.023382,0.02561,470,USD
2018-03-16,0.02561,0.0296,0.02561,0.0296,470,USD
2018-03-17,0.0296,0.0296,0.025327,0.025327,470,USD
2018-03-18,0.025327,0.025671,0.025327,0.025671,470,USD
2018-03-19,0.025671,0.031935,0.025671,0.031935,470,USD
2018-03-20,0.031935,0.03558,0.031935,0.034578,470,USD
2018-03-21,0.034578,0.034578,0.033575,0.033689,470,USD
2018-03-22,0.033689,0.033689,0.031581,0.032451,470,USD
2018-03-23,0.032451,0.033037,0.030323,0.030323,470,USD
2018-03-24,0.030323,0.030323,0.027162,0.028774,470,USD
2018-03-25,0.028774,0.030408,0.028774,0.028958,470,USD
2018-03-26,0.028958,0.028958,0.025981,0.025981,470,USD
2018-03-27,0.025981,0.035984,0.025981,0.027342,470,USD
2018-03-28,0.027342,0.027342,0.024297,0.024297,0,USD
2018-03-29,0.024297,0.02664,0.02108,0.02108,0,USD
2018-03-30,0.02108,0.023196,0.02108,0.021677,0,USD
2018-03-31,0.021677,0.021677,0.020743,0.020743,0,USD
2018-04-01,0.020743,0.02112,0.020073,0.02112,0,USD
2018-04-02,0.02112,0.027795,0.02112,0.027795,0,USD
2018-04-03,0.027795,0.027795,0.020445,0.024191,0,USD
2018-04-04,0.024191,0.026782,0.023068,0.023068,0,USD
2018-04-05,0.023068,0.024849,0.023068,0.024849,0,USD
2018-04-06,0.024849,0.024849,0.021521,0.024475,0,USD
2018-04-07,0.024475,0.035984,0.024475,0.035984,0,USD
2018-04-08,0.035984,0.035984,0.020454,0.029785,0,USD
2018-04-09,0.029785,0.029785,0.021206,0.021206,0,USD
2018-04-10,0.021206,0.021206,0.018493,0.018493,0,USD
2018-04-11,0.018493,0.035984,0.017249,0.018503,0,USD
2018-04-12,0.018503,0.018503,0.015974,0.016224,0,USD
2018-04-13,0.016224,0.020776,0.016224,0.020776,0,USD
2018-04-14,0.020776,0.021257,0.019756,0.019756,0,USD
2018-04-15,0.019756,0.027582,0.019756,0.027582,0,USD
2018-04-16,0.027582,0.05768,0.026118,0.040868,0,USD
2018-04-17,0.040868,0.040868,0.036844,0.036844,0,USD
2018-04-18,0.036844,0.03972,0.01969,0.01969,0,USD
2018-04-19,0.01969,0.042906,0.01969,0.042906,0,USD
2018-04-20,0.042906,0.05572,0.042906,0.05572,0,USD
2018-04-21,0.05572,0.05572,0.042493,0.046911,0,USD
2018-04-22,0.046911,0.056091,0.046911,0.056091,0,USD
2018-04-23,0.056091,0.056091,0.029883,0.029883,0,USD
2018-04-24,0.029883,0.029883,0.02475,0.02475,0,USD
2018-04-25,0.02475,0.035984,0.012122,0.013122,0,USD
2018-04-26,0.013122,0.035984,0.013122,0.035984,0,USD
2018-04-27,0.035984,0.035984,0.035984,0.035984,0,USD
2018-04-28,0.035984,0.035984,0.035984,0.035984,0,USD
2018-04-30,0.035984,0.035984,0.035984,0.035984,0,USD
2018-05-01,0.035984,0.046337,0.035984,0.046337,0,USD
2018-05-02,0.046337,0.046337,0.035984,0.035984,0,USD
2018-05-03,0.035984,0.086362,0.035984,0.086362,0,USD
2018-05-04,0.086362,0.086362,0.035984,0.035984,0,USD
2018-05-05,0.035984,0.035984,0.035984,0.035984,0,USD
2018-05-06,0.035984,0.035984,0.035984,0.035984,0,USD
2018-05-07,0.035984,0.035984,0.035984,0.035984,0,USD
2018-05-08,0.035984,0.035984,0.035984,0.035984,0,USD
2018-05-09,0.035984,0.040078,0.035984,0.040078,0,USD
2018-05-10,0.040078,0.043324,0.03704,0.043324,0,USD
2018-05-11,0.043324,0.043324,0.0001,0.039998,0,USD
2018-05-12,0.039998,0.039998,0.039998,0.039998,0,USD
2018-05-13,0.039998,0.040945,0.034229,0.040945,0,USD
2018-05-14,0.040945,0.048997,0.040945,0.048997,0,USD
2018-05-15,0.048997,0.048997,0.009373,0.009373,0,USD
2018-05-16,0.009138,0.009565,0.009138,0.009565,0,USD
2018-05-17,0.009878,0.016391,0.009263,0.016391,0,USD
2018-05-18,0.016391,0.016666,0.010124,0.010124,0,USD
2018-05-19,0.010124,0.010124,0.010124,0.010124,0,USD
2018-05-20,0.010124,0.01121,0.010124,0.01121,0,USD
2018-05-21,0.01121,0.01341,0.01121,0.01341,0,USD
2018-05-22,0.01341,0.032669,0.01341,0.032669,0,USD
2018-05-23,0.032669,0.044113,0.022862,0.022862,0,USD
2018-05-24,0.0,0.040098,0.0,0.040098,0,USD
2018-05-25,0.0,0.040098,0.0,0.029089,0,USD
2018-05-26,0.029089,0.039899,0.029089,0.039899,0,USD
2018-05-27,0.039899,0.039899,0.039899,0.039899,0,USD
2018-05-28,0.0,0.1,0.0,0.1,0,USD
2018-05-29,0.1,0.1,0.024166,0.029889,0,USD
2018-05-30,0.029889,0.035443,0.016418,0.035443,0,USD
2018-05-31,0.035443,0.035443,0.017662,0.021395,0,USD
2018-06-01,0.0,0.039089,0.0,0.039089,0,USD
2018-06-02,0.039089,0.046857,0.0,0.046857,0,USD
2018-06-03,0.076857,0.076857,0.021803,0.021803,0,USD
2018-06-04,0.0,0.038997,0.0,0.021633,0,USD
2018-06-05,0.0,0.053516,0.0,0.053516,0,USD
2018-06-06,0.053516,1.835321,0.031,1.835321,0,USD
2018-06-07,0.0,1.835321,0.0,0.043998,0,USD
2018-06-08,0.0,0.034286,0.0,0.03186,0,USD
2018-06-09,0.0,0.033538,0.0,0.023,0,USD
2018-06-10,0.023,0.043538,2.7e-05,0.03373,0,USD
2018-06-11,0.042988,0.042988,0.0,0.033793,0,USD
2018-06-12,0.033793,0.043343,0.033793,0.043343,0,USD
2018-06-13,0.070861,0.070861,2.7e-05,0.035686,0,USD
2018-06-14,0.039833,0.039833,0.032142,0.032142,0,USD
2018-06-15,0.039677,0.039677,0.0,0.039468,0,USD
2018-06-16,0.039468,0.045295,0.0,0.039845,0,USD
2018-06-17,0.0,0.050944,0.0,0.050944,0,USD
2018-06-18,0.064899,0.064899,0.032316,0.039884,0,USD
2018-06-19,0.032481,0.0399,0.030099,0.030099,0,USD
2018-06-20,0.030099,0.034899,0.029662,0.034899,0,USD
2018-06-21,0.0,0.034899,0.0,0.034899,0,USD
2018-06-22,0.030317,0.038985,0.0,0.030983,0,USD
2018-06-23,0.030983,0.043998,0.0,0.043998,0,USD
2018-06-24,0.0,0.043998,0.0,0.043998,0,USD
2018-06-25,0.0,0.050929,0.0,0.050929,0,USD
2018-06-26,0.0,0.050929,0.0,0.034329,0,USD
2018-06-27,0.034329,21.9,0.032,0.032,0,USD
2018-06-28,0.0,0.042651,0.0,0.042651,0,USD
2018-06-29,0.041076,0.049004,0.0,0.039844,0,USD
2018-06-30,0.039844,0.039844,0.039844,0.039844,0,USD
2018-07-01,0.0,0.220397,0.0,0.220397,0,USD
2018-07-02,0.107388,0.107388,0.104051,0.104051,0,USD
2018-07-03,0.104051,1.275194,0.09683,0.097749,0,USD
2018-07-04,0.097749,0.097749,0.097749,0.097749,0,USD
2018-07-05,0.076023,0.076023,0.075446,0.075446,0,USD
2018-07-06,0.075446,0.078997,0.075446,0.078997,0,USD
2018-07-07,0.078997,0.078997,0.078997,0.078997,0,USD
2018-07-09,0.084101,0.095537,0.084101,0.095537,0,USD
2018-07-10,0.095537,0.095537,0.06509,0.067749,0,USD
2018-07-11,0.067749,0.067749,0.067749,0.067749,0,USD
2018-07-13,0.041953,0.047122,0.041953,0.047122,0,USD
2018-07-14,0.047122,0.047122,0.047122,0.047122,0,USD
2018-07-17,0.047976,0.049457,0.047976,0.049457,0,USD
2018-07-18,0.049457,0.051437,0.049457,0.050244,0,USD
2018-07-19,0.050244,0.050244,0.0452,0.048116,0,USD
2018-07-20,0.048116,0.051523,0.048116,0.051523,0,USD
2018-07-21,0.051523,0.051523,0.051523,0.051523,0,USD
2018-07-24,0.076371,0.084221,0.076371,0.084221,0,USD
2018-07-25,0.084221,0.084221,0.068603,0.068603,0,USD
2018-07-26,0.068603,0.068603,0.068527,0.068527,0,USD
2018-07-27,0.068527,0.068527,0.06202,0.06202,0,USD
2018-07-28,0.06202,0.06202,0.06202,0.06202,0,USD
2018-07-30,0.064432,0.069101,0.064432,0.069101,0,USD
2018-07-31,0.069101,0.069101,0.031103,0.060551,0,USD
2018-08-01,0.060551,0.081,0.060551,0.066573,0,USD
2018-08-02,0.066573,0.066573,0.059662,0.062602,0,USD
2018-08-03,0.062602,0.062602,0.057257,0.057257,0,USD
2018-08-04,0.057257,0.057257,0.057257,0.057257,0,USD
2018-08-05,0.057257,0.057257,0.057257,0.057257,0,USD
2018-08-06,0.049804,0.052003,0.04809,0.04809,0,USD
2018-08-07,0.04809,0.04809,0.04809,0.04809,0,USD
2018-08-09,0.046097,0.046097,0.046097,0.046097,0,USD
2018-08-10,0.045035,0.045035,0.045035,0.045035,0,USD
2018-08-11,0.045035,0.045035,0.045035,0.045035,0,USD
2018-08-12,0.045035,0.045035,0.045035,0.045035,0,USD
2018-08-15,0.035848,0.039843,0.035848,0.039843,0,USD
2018-08-16,0.039843,0.039843,0.039843,0.039843,0,USD
2018-08-17,0.036317,0.036317,0.036317,0.036317,0,USD
2018-08-18,0.036317,0.037437,0.036317,0.036779,0,USD
2018-08-19,0.036779,0.037432,0.036779,0.037432,0,USD
2018-08-20,0.037432,0.037432,0.031006,0.031006,0,USD
2018-08-21,0.031006,0.033849,0.031006,0.033849,0,USD
2018-08-22,0.033849,0.033849,0.033849,0.033849,0,USD
2018-08-24,0.034913,0.034913,0.034306,0.034306,0,USD
2018-08-25,0.034306,0.034306,0.034306,0.034306,0,USD
2018-08-26,0.033262,0.033262,0.033262,0.033262,0,USD
2018-08-27,0.033262,0.033262,0.032136,0.032136,0,USD
2018-08-28,0.032136,0.032933,0.032136,0.032933,0,USD
2018-08-29,0.032933,0.032933,0.030261,0.03176,0,USD
2018-08-30,0.03176,0.03176,0.030472,0.030472,0,USD
2018-08-31,0.030472,0.030804,0.030472,0.030804,0,USD
2018-09-01,0.030804,0.030804,0.030804,0.030804,0,USD
2018-09-03,0.030804,0.030804,0.029599,0.029599,0,USD
2018-09-04,0.029599,0.030612,0.029599,0.030612,0,USD
