Date,Open,High,Low,Close,Volume,Currency
2018-05-10,0.1935,0.1988,0.1856,0.1863,6582022,USD
2018-05-11,0.1863,0.1868,0.1358,0.1478,8744325,USD
2018-05-12,0.1478,0.1609,0.1256,0.1417,8788365,USD
2018-05-13,0.1417,0.1768,0.1407,0.1644,6460837,USD
2018-05-14,0.1644,0.1693,0.1447,0.1599,3987840,USD
2018-05-15,0.1599,0.1945,0.1583,0.172,10249720,USD
2018-05-16,0.172,0.172,0.158,0.1618,4992438,USD
2018-05-17,0.1618,0.1746,0.1491,0.1503,5484532,USD
2018-05-18,0.1503,0.1576,0.1415,0.1516,3483357,USD
2018-05-19,0.1516,0.1599,0.1455,0.1497,3725444,USD
2018-05-20,0.1497,0.1579,0.148,0.1516,2796335,USD
2018-05-21,0.1516,0.1801,0.1513,0.1538,6184094,USD
2018-05-22,0.1538,0.155,0.1347,0.1386,4887634,USD
2018-05-23,0.1386,0.1386,0.1038,0.1129,6480379,USD
2018-05-24,0.1129,0.1239,0.1045,0.1238,6174815,USD
2018-05-25,0.1238,0.1348,0.1156,0.1199,4732660,USD
2018-05-26,0.1199,0.1207,0.115,0.1159,2500925,USD
2018-05-27,0.1159,0.1175,0.1067,0.1095,3188717,USD
2018-05-28,0.1095,0.1145,0.09192,0.09512,4820725,USD
2018-05-29,0.09512,0.114,0.0927,0.1073,4678682,USD
2018-05-30,0.1073,0.1106,0.1,0.1068,6105309,USD
2018-05-31,0.1068,0.115,0.1034,0.1113,5303935,USD
2018-06-01,0.1113,0.12,0.1089,0.1176,6350406,USD
2018-06-02,0.1176,0.148,0.1149,0.1335,25636584,USD
2018-06-03,0.1335,0.136,0.1258,0.1282,8852426,USD
2018-06-04,0.1282,0.1346,0.1107,0.1142,10273397,USD
2018-06-05,0.1142,0.1216,0.1101,0.1157,8952684,USD
2018-06-06,0.1157,0.1172,0.11,0.1119,5327181,USD
2018-06-07,0.1119,0.1138,0.104,0.1042,6433571,USD
2018-06-08,0.1042,0.1076,0.09366,0.0987,7837099,USD
2018-06-09,0.0987,0.1054,0.0936,0.094,4147892,USD
2018-06-10,0.094,0.094,0.07101,0.0751,7684826,USD
2018-06-11,0.0751,0.07529,0.067,0.07245,9513133,USD
2018-06-12,0.07245,0.0753,0.06155,0.06195,8653331,USD
2018-06-13,0.06195,0.06369,0.05319,0.056,6996864,USD
2018-06-14,0.056,0.06308,0.05344,0.06145,7893068,USD
2018-06-15,0.06145,0.07044,0.05757,0.062,8579317,USD
2018-06-16,0.062,0.06575,0.06055,0.06313,3620391,USD
2018-06-17,0.06313,0.06388,0.05972,0.06049,1916163,USD
2018-06-18,0.06049,0.06184,0.05505,0.0598,2379051,USD
2018-06-19,0.0598,0.06152,0.05602,0.05787,3503573,USD
2018-06-20,0.05787,0.05865,0.054,0.05487,3624905,USD
2018-06-21,0.05487,0.05558,0.05,0.05194,4763525,USD
2018-06-22,0.05194,0.05194,0.0385,0.03904,7073150,USD
2018-06-23,0.03904,0.04231,0.0352,0.03898,2868282,USD
2018-06-24,0.03898,0.03898,0.03132,0.03448,3440052,USD
2018-06-25,0.03448,0.0384,0.033,0.03757,2915098,USD
2018-06-26,0.03757,0.03757,0.03209,0.03354,1824935,USD
2018-06-27,0.03354,0.03548,0.03185,0.03391,1919669,USD
2018-06-28,0.03391,0.0375,0.03153,0.032,7165229,USD
2018-06-29,0.032,0.03545,0.03196,0.03454,2536866,USD
2018-06-30,0.03454,0.0384,0.03371,0.0384,3876479,USD
2018-07-01,0.0384,0.0401,0.03688,0.03923,3792134,USD
2018-07-02,0.03923,0.04307,0.03688,0.04097,3492732,USD
2018-07-03,0.04097,0.04373,0.03823,0.03823,3403186,USD
2018-07-04,0.03823,0.04247,0.0368,0.0401,4120883,USD
2018-07-05,0.0401,0.04223,0.03679,0.03771,2582382,USD
2018-07-06,0.03771,0.04541,0.03671,0.0443,7698694,USD
2018-07-07,0.0443,0.04936,0.04325,0.04845,6791660,USD
2018-07-08,0.04845,0.05299,0.04801,0.0519,3802261,USD
2018-07-09,0.0519,0.0519,0.04307,0.04524,4980723,USD
2018-07-10,0.04524,0.04555,0.0372,0.03993,4099293,USD
2018-07-11,0.03993,0.04229,0.0363,0.041,4161363,USD
2018-07-12,0.041,0.041,0.03579,0.03973,2590539,USD
2018-07-13,0.03973,0.04019,0.03755,0.03756,1619873,USD
2018-07-14,0.03756,0.04274,0.03756,0.04131,3256450,USD
2018-07-15,0.04131,0.04559,0.0391,0.04147,2395718,USD
2018-07-16,0.04147,0.04679,0.04147,0.04513,3907441,USD
2018-07-17,0.04513,0.0535,0.04513,0.051,7325818,USD
2018-07-18,0.051,0.05586,0.04992,0.0515,4492227,USD
2018-07-19,0.0515,0.0515,0.04614,0.0491,2879757,USD
2018-07-20,0.0491,0.05079,0.0463,0.048,2560017,USD
2018-07-21,0.048,0.04892,0.04562,0.04851,1636282,USD
2018-07-22,0.04851,0.04935,0.04648,0.04763,914250,USD
2018-07-23,0.04763,0.05007,0.04466,0.04466,1779976,USD
2018-07-24,0.04466,0.04725,0.04287,0.04675,1234960,USD
2018-07-25,0.04675,0.04869,0.04599,0.04802,1007247,USD
2018-07-26,0.04802,0.04844,0.04599,0.04654,1337039,USD
2018-07-27,0.04654,0.05185,0.04457,0.05185,2370621,USD
2018-07-28,0.05185,0.05357,0.04918,0.0522,1723724,USD
2018-07-29,0.0522,0.0522,0.0488,0.04947,964720,USD
2018-07-30,0.04947,0.084,0.04947,0.05866,57941908,USD
2018-07-31,0.05866,0.05925,0.043,0.0452,21544660,USD
2018-08-01,0.0452,0.0497,0.03946,0.0402,9567213,USD
2018-08-02,0.0402,0.04175,0.03322,0.03419,11144106,USD
2018-08-03,0.03419,0.03598,0.03075,0.03363,8958903,USD
2018-08-04,0.03363,0.03518,0.03273,0.03328,3713954,USD
2018-08-05,0.03328,0.03465,0.03228,0.03306,1632640,USD
2018-08-06,0.03306,0.03398,0.03089,0.03145,2381036,USD
2018-08-07,0.03145,0.03284,0.02922,0.03049,2550037,USD
2018-08-08,0.03049,0.03087,0.02172,0.02321,3704056,USD
2018-08-09,0.02321,0.02566,0.0209,0.0238,2330790,USD
2018-08-10,0.0238,0.02592,0.02094,0.02121,3127466,USD
2018-08-11,0.02121,0.023,0.01782,0.01855,2118494,USD
2018-08-12,0.01855,0.01915,0.01781,0.018,706461,USD
2018-08-13,0.018,0.0188,0.014,0.014,3298600,USD
2018-08-14,0.014,0.01422,0.01143,0.01267,3428824,USD
2018-08-15,0.01267,0.01595,0.01267,0.01396,4619689,USD
2018-08-16,0.01396,0.01547,0.01329,0.01368,1345672,USD
2018-08-17,0.01368,0.01925,0.01368,0.01754,5532150,USD
2018-08-18,0.01754,0.022,0.0167,0.01862,11303884,USD
2018-08-19,0.01862,0.021,0.01731,0.01896,4996091,USD
2018-08-20,0.01896,0.01972,0.01568,0.01568,4958346,USD
2018-08-21,0.01568,0.01701,0.01478,0.01603,4115788,USD
2018-08-22,0.01603,0.019,0.01385,0.01438,4103304,USD
2018-08-23,0.01438,0.0176,0.01406,0.0176,2208707,USD
2018-08-24,0.0176,0.01837,0.01623,0.01765,6485179,USD
2018-08-25,0.01765,0.01832,0.0161,0.01665,2276761,USD
2018-08-26,0.01665,0.01699,0.016,0.0163,1213962,USD
2018-08-27,0.0163,0.01784,0.01607,0.01784,1724991,USD
2018-08-28,0.01784,0.01905,0.0175,0.01851,2673076,USD
2018-08-29,0.01851,0.01898,0.01671,0.0176,1943072,USD
2018-08-30,0.0176,0.01789,0.01627,0.01689,1465404,USD
2018-08-31,0.01689,0.01997,0.01689,0.01908,2458200,USD
2018-09-01,0.01908,0.02171,0.0189,0.02025,8016102,USD
2018-09-02,0.02025,0.02056,0.01799,0.01909,3704947,USD
2018-09-03,0.01909,0.02043,0.018,0.01941,2685084,USD
2018-09-04,0.01941,0.02142,0.01934,0.02022,5405780,USD
2018-09-05,0.02022,0.021,0.01512,0.01512,4905649,USD
2018-09-06,0.01512,0.01758,0.01401,0.01676,2794578,USD
