Date,Open,High,Low,Close,Volume,Currency
2019-07-22,0.079749,0.080218,0.07439,0.078471,129443952,USD
2019-07-23,0.078471,0.079274,0.069085,0.071889,182472176,USD
2019-07-24,0.071927,0.076881,0.069882,0.074115,136503168,USD
2019-07-25,0.074115,0.076163,0.071762,0.073769,107982560,USD
2019-07-26,0.073769,0.079789,0.071331,0.079527,249878064,USD
2019-07-27,0.079527,0.079993,0.073096,0.077359,213427920,USD
2019-07-28,0.077359,0.077382,0.071623,0.073452,124900328,USD
2019-07-29,0.073452,0.073692,0.068799,0.071071,129507224,USD
2019-07-30,0.071071,0.071346,0.066213,0.069011,142853888,USD
2019-07-31,0.069011,0.071326,0.067794,0.070688,127315352,USD
2019-08-01,0.070743,0.070763,0.063626,0.067102,146519936,USD
2019-08-02,0.067102,0.067613,0.055339,0.067396,308396736,USD
2019-08-03,0.067396,0.067396,0.061821,0.065318,203309408,USD
2019-08-04,0.065318,0.06573,0.06064,0.063311,176010016,USD
2019-08-05,0.063299,0.064508,0.060675,0.061076,165422320,USD
2019-08-06,0.061067,0.061454,0.056916,0.057413,165585360,USD
2019-08-07,0.057376,0.057377,0.032751,0.037237,569528320,USD
2019-08-08,0.037237,0.052109,0.032069,0.050191,910310656,USD
2019-08-09,0.050191,0.050214,0.043947,0.045219,186600320,USD
2019-08-10,0.045191,0.053602,0.044796,0.051145,347805248,USD
2019-08-11,0.051137,0.054689,0.050856,0.053315,169673840,USD
2019-08-12,0.053315,0.053322,0.046644,0.048714,173677824,USD
2019-08-13,0.048714,0.051211,0.04486,0.048102,336561536,USD
2019-08-14,0.0481,0.04905,0.042346,0.043488,184294320,USD
2019-08-15,0.043488,0.044277,0.038445,0.042266,212065984,USD
2019-08-16,0.042266,0.0448,0.040855,0.041789,171302048,USD
2019-08-17,0.041822,0.04184,0.038287,0.039616,191849104,USD
2019-08-18,0.039616,0.04345,0.036745,0.038414,353204512,USD
2019-08-19,0.038414,0.0396,0.031601,0.032099,366539712,USD
2019-08-20,0.032098,0.034114,0.026484,0.028752,672385024,USD
2019-08-21,0.028752,0.029638,0.018929,0.020257,543179264,USD
2019-08-22,0.020257,0.024018,0.016793,0.023219,1004603904,USD
2019-08-23,0.023219,0.023219,0.020094,0.020349,359172256,USD
2019-08-24,0.020349,0.021508,0.018082,0.020332,307047136,USD
2019-08-25,0.020333,0.02047,0.019316,0.019443,218137248,USD
2019-08-26,0.019443,0.019785,0.017773,0.018177,376222240,USD
2019-08-27,0.018188,0.018232,0.015251,0.015628,435786752,USD
2019-08-28,0.015628,0.018464,0.015584,0.016377,618132608,USD
2019-08-29,0.016394,0.025051,0.015092,0.024982,1722787584,USD
2019-08-30,0.024957,0.025013,0.021314,0.022972,1029579648,USD
2019-08-31,0.022972,0.024064,0.020014,0.020732,494893824,USD
2019-09-01,0.020731,0.020976,0.017119,0.017408,517034176,USD
2019-09-02,0.017408,0.018499,0.017235,0.017505,369839104,USD
2019-09-03,0.017505,0.018008,0.017173,0.017273,340785376,USD
2019-09-04,0.017272,0.017346,0.015947,0.015986,355224256,USD
2019-09-05,0.015953,0.016011,0.008106,0.009679,2544148736,USD
2019-09-06,0.009679,0.009747,0.007257,0.008986,1837312128,USD
2019-09-07,0.008986,0.009193,0.007602,0.00784,691264640,USD
2019-09-08,0.00784,0.007966,0.00588,0.005956,834260672,USD
2019-09-09,0.005956,0.006194,0.004105,0.00445,2622142720,USD
2019-09-10,0.004451,0.005163,0.003778,0.003914,2376134912,USD
2019-09-11,0.003914,0.004464,0.003036,0.00335,2251732736,USD
2019-09-12,0.003349,0.003364,0.002671,0.002715,1266231168,USD
2019-09-13,0.002707,0.003435,0.002606,0.003239,1736179328,USD
2019-09-14,0.003239,0.004507,0.003163,0.003981,3849115136,USD
2019-09-15,0.003981,0.004358,0.003284,0.004244,2385790464,USD
2019-09-16,0.004244,0.005033,0.003053,0.003847,6910937600,USD
2019-09-17,0.003847,0.003893,0.003256,0.003358,2294048512,USD
2019-09-18,0.003358,0.00348,0.003239,0.003332,1157026816,USD
2019-09-19,0.003332,0.003333,0.003018,0.003056,893786176,USD
2019-09-20,0.003056,0.003165,0.00287,0.003001,540645568,USD
2019-09-21,0.003001,0.003036,0.002841,0.002853,477134208,USD
2019-09-22,0.002853,0.002901,0.002732,0.002736,682949440,USD
2019-09-23,0.002736,0.002754,0.002114,0.002136,1247546112,USD
2019-09-24,0.002136,0.00238,0.001594,0.001728,1725024256,USD
2019-09-25,0.001728,0.002181,0.00156,0.00202,1655021952,USD
2019-09-26,0.002019,0.002104,0.001724,0.001932,1576964992,USD
2019-09-27,0.001932,0.001948,0.00181,0.001912,734844480,USD
2019-09-28,0.001912,0.001976,0.00186,0.001894,460723040,USD
2019-09-29,0.001896,0.001898,0.001714,0.00179,579680512,USD
2019-09-30,0.00179,0.001875,0.001645,0.001818,905360896,USD
2019-10-01,0.001802,0.001911,0.001773,0.001799,442581472,USD
2019-10-02,0.001802,0.00184,0.001749,0.001814,497458784,USD
2019-10-03,0.001815,0.002842,0.001754,0.002624,2895041536,USD
2019-10-04,0.002621,0.00264,0.002044,0.002198,2477374208,USD
2019-10-05,0.002198,0.002373,0.002105,0.002252,1283879936,USD
2019-10-06,0.002252,0.002261,0.002053,0.002067,644259776,USD
2019-10-07,0.002065,0.002168,0.001903,0.002124,938668608,USD
2019-10-08,0.002124,0.002141,0.002036,0.002071,497636640,USD
2019-10-09,0.002071,0.002086,0.00192,0.001983,755046976,USD
2019-10-10,0.001983,0.001999,0.001866,0.001909,423781024,USD
2019-10-11,0.001907,0.002077,0.001749,0.001943,1117019008,USD
2019-10-12,0.001943,0.002004,0.00191,0.001983,394219840,USD
2019-10-13,0.001983,0.002062,0.001928,0.001967,412391296,USD
2019-10-14,0.001967,0.002016,0.001915,0.001968,286119136,USD
2019-10-15,0.001968,0.001991,0.001852,0.00186,342839168,USD
2019-10-16,0.00186,0.001899,0.001723,0.001773,699537984,USD
2019-10-17,0.001773,0.001838,0.001715,0.001755,406294688,USD
2019-10-18,0.001755,0.001832,0.001695,0.001787,387905696,USD
2019-10-19,0.001787,0.001807,0.001729,0.00174,272356800,USD
2019-10-20,0.00174,0.002023,0.001722,0.001952,528490912,USD
