Date,Open,High,Low,Close,Volume,Currency
2018-02-02,0.18,0.261,0.136,0.172,73700,USD
2018-02-03,0.172,0.192,0.161,0.181,41200,USD
2018-02-04,0.181,0.188,0.147,0.147,13000,USD
2018-02-05,0.147,0.147,0.093,0.105,198600,USD
2018-02-06,0.105,0.199,0.09,0.146,71000,USD
2018-02-07,0.146,0.19,0.13,0.13,25300,USD
2018-02-08,0.13,0.169,0.13,0.152,52500,USD
2018-02-09,0.152,0.17,0.149,0.164,42300,USD
2018-02-10,0.164,0.17,0.144,0.147,25000,USD
2018-02-11,0.147,0.149,0.126,0.135,6600,USD
2018-02-12,0.135,0.15,0.13,0.147,18600,USD
2018-02-13,0.147,0.159,0.138,0.159,24300,USD
2018-02-14,0.159,0.166,0.138,0.164,35300,USD
2018-02-15,0.164,0.177,0.159,0.173,33500,USD
2018-02-16,0.173,0.182,0.17,0.181,22700,USD
2018-02-17,0.181,0.25,0.181,0.218,87300,USD
2018-02-18,0.218,0.225,0.185,0.19,10700,USD
2018-02-19,0.19,0.241,0.19,0.24,44300,USD
2018-02-20,0.24,0.275,0.2,0.214,33900,USD
2018-02-21,0.214,0.216,0.18,0.211,27600,USD
2018-02-22,0.211,0.211,0.175,0.185,26400,USD
2018-02-23,0.185,0.188,0.159,0.179,97500,USD
2018-02-24,0.179,0.192,0.162,0.163,33700,USD
2018-02-25,0.163,0.181,0.159,0.181,9400,USD
2018-02-26,0.181,0.196,0.169,0.19,21000,USD
2018-02-27,0.19,0.195,0.183,0.191,7800,USD
2018-02-28,0.191,0.191,0.172,0.19,8600,USD
2018-03-01,0.19,0.194,0.167,0.185,16800,USD
2018-03-02,0.185,0.195,0.175,0.195,3500,USD
2018-03-03,0.195,0.198,0.152,0.182,33700,USD
2018-03-04,0.182,0.199,0.177,0.188,3500,USD
2018-03-05,0.188,0.2,0.181,0.2,1200,USD
2018-03-06,0.2,0.203,0.157,0.169,24200,USD
2018-03-07,0.169,0.173,0.145,0.153,2200,USD
2018-03-08,0.153,0.153,0.13,0.147,500,USD
2018-03-09,0.147,0.147,0.13,0.144,14600,USD
2018-03-10,0.144,0.148,0.13,0.14,13800,USD
2018-03-11,0.14,0.146,0.126,0.146,5500,USD
2018-03-12,0.146,0.166,0.139,0.14,13800,USD
2018-03-13,0.14,0.141,0.128,0.14,18800,USD
2018-03-14,0.14,0.14,0.125,0.125,62200,USD
2018-03-15,0.125,0.125,0.1,0.107,21700,USD
2018-03-16,0.107,0.122,0.1,0.122,4200,USD
2018-03-17,0.122,0.126,0.104,0.104,3800,USD
2018-03-18,0.104,0.105,0.08,0.105,82400,USD
2018-03-19,0.105,0.142,0.098,0.113,23000,USD
2018-03-20,0.113,0.118,0.111,0.115,4500,USD
2018-03-21,0.115,0.139,0.113,0.131,12800,USD
2018-03-22,0.131,0.131,0.11,0.11,10800,USD
2018-03-23,0.11,0.12,0.101,0.12,18600,USD
2018-03-24,0.12,0.125,0.119,0.123,36500,USD
2018-03-25,0.123,0.14,0.123,0.127,9900,USD
2018-03-26,0.127,0.157,0.118,0.135,10600,USD
2018-03-27,0.135,0.135,0.12,0.126,2300,USD
2018-03-28,0.126,0.135,0.12,0.125,7900,USD
2018-03-29,0.125,0.126,0.062,0.062,11590,USD
2018-03-30,0.062,0.08,0.06,0.078,21390,USD
2018-03-31,0.078,0.081,0.046,0.046,8490,USD
2018-04-01,0.046,0.103,0.046,0.091,9200,USD
2018-04-02,0.091,0.091,0.055,0.055,10490,USD
2018-04-03,0.055,0.081,0.055,0.081,23090,USD
2018-04-04,0.081,0.082,0.051,0.051,9590,USD
2018-04-05,0.051,0.061,0.047,0.061,13790,USD
2018-04-06,0.061,0.103,0.061,0.101,9349,USD
