Date,Open,High,Low,Close,Volume,Currency
2018-02-26,9.07,9.3,8.57,9.0986,4628,USD
2018-02-27,9.0986,9.27,8.71,9.0517,2197,USD
2018-02-28,9.0517,9.27,8.66,8.8533,4140,USD
2018-03-01,8.8533,9.0,7.8,8.4,4578,USD
2018-03-02,8.4,9.0633,8.0223,8.2272,3223,USD
2018-03-03,8.2272,8.593,7.6,7.8995,2554,USD
2018-03-04,7.8995,8.25,6.25,7.0306,3095,USD
2018-03-05,7.0306,7.0334,6.2575,6.4,6638,USD
2018-03-06,6.4,6.82,6.01,6.24,4662,USD
2018-03-07,6.24,6.5477,6.01,6.4,2306,USD
2018-03-08,6.4,7.0,6.28,6.4246,3379,USD
2018-03-09,6.4246,6.8015,6.18,6.44,5801,USD
2018-03-10,6.44,6.5324,5.5,5.5,4562,USD
2018-03-11,5.5,6.3,5.5,5.7273,3418,USD
2018-03-12,5.7273,6.47,5.1006,5.4003,3460,USD
2018-03-13,5.4003,6.14,5.186,5.25,3462,USD
2018-03-14,5.25,5.4366,4.3,4.6062,4818,USD
2018-03-15,4.6062,5.7017,4.333,4.7509,4671,USD
2018-03-16,4.7509,9.98,4.6515,6.307,5904,USD
2018-03-17,6.307,12.68,6.307,8.3,9745,USD
2018-03-18,8.3,9.0,7.141,8.0668,4047,USD
2018-03-19,8.0668,8.749,7.9,8.2101,4651,USD
2018-03-20,8.2101,8.9,8.2101,8.6569,2866,USD
2018-03-21,8.6569,9.4708,8.6569,8.8233,2782,USD
2018-03-22,8.8233,10.7,8.8233,9.5,2710,USD
2018-03-23,9.5,10.8,9.2,9.8929,4157,USD
2018-03-24,9.8929,10.4,6.6,8.79,7119,USD
2018-03-25,8.79,9.25,8.2436,8.4005,2153,USD
2018-03-26,8.4005,9.19,5.8,6.03,10932,USD
2018-03-27,6.03,9.0,5.66,6.41,27070,USD
2018-03-28,6.41,6.7,5.6811,5.7503,16955,USD
2018-03-29,5.7503,6.017,5.4,5.5,20544,USD
2018-03-30,5.5,6.0,5.12,5.2005,14590,USD
2018-03-31,5.2005,5.875,5.17,5.708,9137,USD
2018-04-01,5.708,6.1105,5.4506,5.52,4339,USD
2018-04-02,5.52,6.25,5.45,5.45,9639,USD
2018-04-03,5.45,5.831,5.41,5.55,22451,USD
2018-04-04,5.55,5.6488,5.11,5.11,8519,USD
2018-04-05,5.11,5.15,4.3791,4.6037,17177,USD
2018-04-06,4.6037,4.7124,3.811,3.91,12458,USD
2018-04-07,3.91,4.6,3.91,4.3355,5903,USD
2018-04-08,4.3355,4.7124,4.2,4.2977,8325,USD
2018-04-09,4.2977,4.6854,2.0,4.1193,25071,USD
2018-04-10,4.1193,4.1609,3.4545,3.7875,11012,USD
