Date,Open,High,Low,Close,Volume,Currency
2018-05-28,1.84684,1.87466,1.43534,1.61523,0,USD
2018-05-29,1.59847,1.77069,1.42674,1.62137,0,USD
2018-05-30,1.61951,1.73086,1.51083,1.56324,0,USD
2018-05-31,1.56324,2.30545,1.55429,2.11098,0,USD
2018-06-01,2.10045,2.32863,2.08669,2.1362,0,USD
2018-06-02,2.135,2.34985,2.08986,2.27175,0,USD
2018-06-03,2.27556,2.34683,2.13049,2.14982,0,USD
2018-06-04,2.14986,2.15175,1.74414,1.77872,0,USD
2018-06-05,1.77741,2.06847,1.74469,1.9862,0,USD
2018-06-06,1.9879,1.98998,1.80306,1.96176,0,USD
2018-06-07,1.96194,2.2621,1.89381,2.07982,0,USD
2018-06-08,2.07896,2.08106,1.93049,1.93806,0,USD
2018-06-09,1.93808,1.98124,1.76455,1.77049,0,USD
2018-06-10,1.77097,1.77097,1.49918,1.56437,0,USD
2018-06-11,1.5435,1.6393,1.48372,1.6393,0,USD
2018-06-12,1.60766,1.65999,1.3612,1.39022,0,USD
2018-06-13,1.39056,1.41445,1.15317,1.25831,0,USD
2018-06-14,1.25901,1.5498,1.14632,1.5081,0,USD
2018-06-15,1.51102,1.51218,1.27694,1.31213,0,USD
2018-06-16,1.31255,1.32032,1.15216,1.18707,0,USD
2018-06-17,1.18729,1.272,1.17507,1.20436,0,USD
2018-06-18,1.20533,1.22338,1.09987,1.20765,0,USD
2018-06-19,1.20765,1.20765,0.84538,1.02472,0,USD
2018-06-20,1.01704,1.21845,0.86919,1.12962,0,USD
2018-06-21,1.12983,1.16719,0.92088,1.01118,0,USD
2018-06-22,1.01124,1.11601,0.86066,0.86505,0,USD
2018-06-23,0.85848,0.91216,0.82963,0.86899,0,USD
2018-06-24,0.87012,0.89061,0.78259,0.84001,0,USD
2018-06-25,0.83989,0.98331,0.81774,0.93398,0,USD
2018-06-26,0.943,0.99597,0.90941,0.92287,0,USD
2018-06-27,0.91999,1.00627,0.91197,0.97767,0,USD
2018-06-28,0.97473,0.97845,0.88365,0.88801,0,USD
2018-06-29,0.88659,0.94514,0.87582,0.9325,0,USD
2018-06-30,0.93173,0.97308,0.92899,0.95717,0,USD
2018-07-01,0.9572,0.96409,0.90459,0.9313,0,USD
2018-07-02,0.93109,0.97924,1e-05,0.87857,0,USD
2018-07-03,0.87876,0.90072,0.01142,0.83885,0,USD
2018-07-04,0.84054,0.90508,0.80314,0.87627,0,USD
2018-07-05,0.87627,0.87913,0.84071,0.86789,0,USD
2018-07-06,0.86671,0.89408,0.83542,0.85088,0,USD
2018-07-07,0.85098,0.8758,0.83255,0.86625,0,USD
2018-07-08,0.86625,0.87333,0.82856,0.84202,0,USD
2018-07-09,0.84154,0.84154,0.73971,0.74946,0,USD
2018-07-10,0.74911,0.78778,0.68021,0.69004,0,USD
2018-07-11,0.69032,0.71165,0.67193,0.68401,0,USD
2018-07-12,0.68356,0.68356,0.64802,0.66367,0,USD
2018-07-13,0.66407,0.73747,0.66058,0.70831,0,USD
2018-07-14,0.70826,0.71451,0.67554,0.67554,0,USD
2018-07-15,0.67554,0.71306,0.66514,0.68699,0,USD
2018-07-16,0.68705,0.74627,0.67206,0.7311,0,USD
2018-07-17,0.72841,0.80577,0.71734,0.78982,0,USD
2018-07-18,0.7899,0.81434,0.77311,0.78637,0,USD
2018-07-19,0.78768,0.78768,0.73481,0.75666,0,USD
2018-07-20,0.75666,0.76672,0.62878,0.63344,0,USD
2018-07-21,0.63351,0.77372,0.62762,0.75192,0,USD
2018-07-22,0.75192,0.77,0.69558,0.76964,0,USD
2018-07-23,0.76901,0.78216,0.66962,0.67031,0,USD
2018-07-24,0.67077,0.71813,0.64493,0.70888,0,USD
2018-07-25,0.70553,0.84065,0.68623,0.79259,0,USD
2018-07-26,0.79033,1.00629,0.76934,0.85191,0,USD
2018-07-27,0.85187,0.91804,0.82618,0.90897,0,USD
2018-07-28,0.90897,0.96937,0.86861,0.92905,0,USD
2018-07-29,0.8933,0.94674,0.86564,0.87091,0,USD
2018-07-30,0.87091,0.92636,0.79982,0.84752,0,USD
2018-07-31,0.84804,1.01796,0.80191,0.95888,0,USD
