Date,Open,High,Low,Close,Volume,Currency
2018-01-30,596.04,630.0,450.0,584.0,3035,USD
2018-01-31,550.03,572.49,525.0,556.53,248,USD
2018-02-01,556.53,699.99,530.01,590.45,1681,USD
2018-02-02,590.45,830.0,590.45,670.0,2030,USD
2018-02-03,670.0,734.99,610.75,627.01,241,USD
2018-02-04,627.01,664.5,550.01,553.39,216,USD
2018-02-05,553.39,649.99,350.0,352.1,280,USD
2018-02-06,352.1,546.96,300.51,478.0,292,USD
2018-02-07,478.0,478.0,400.0,445.6,100,USD
2018-02-08,445.6,445.6,400.0,423.64,74,USD
2018-02-09,423.64,445.95,360.05,440.0,57,USD
2018-02-10,440.0,440.0,365.01,389.85,264,USD
2018-02-11,389.85,400.0,330.0,388.45,51,USD
2018-02-12,388.45,388.45,340.02,356.81,104,USD
2018-02-13,356.81,393.42,300.0,324.58,149,USD
2018-02-14,324.58,400.0,305.28,367.97,58,USD
2018-02-15,367.97,383.2,309.08,309.28,44,USD
2018-02-16,309.28,368.01,309.28,333.0,30,USD
2018-02-17,333.0,356.06,311.04,324.0,238,USD
2018-02-18,324.0,449.73,312.01,327.02,673,USD
2018-02-19,327.02,369.93,305.0,305.05,253,USD
2018-02-20,305.05,364.98,305.05,350.01,106,USD
2018-02-21,350.01,549.89,350.01,501.0,1048,USD
2018-02-22,501.0,656.62,353.01,411.38,941,USD
2018-02-23,411.38,450.12,375.0,439.13,364,USD
2018-02-24,439.13,439.13,316.27,380.97,302,USD
2018-02-25,380.97,380.97,321.0,328.87,198,USD
2018-02-26,328.87,387.47,316.0,325.0,306,USD
2018-02-27,325.0,328.23,300.0,313.0,379,USD
2018-02-28,313.0,450.0,300.0,330.0,555,USD
2018-03-01,330.0,347.0,306.0,310.01,161,USD
2018-03-02,310.01,344.57,310.01,321.96,38,USD
2018-03-03,321.96,345.0,200.02,258.67,615,USD
2018-03-04,258.67,271.99,240.0,240.1,303,USD
2018-03-05,240.1,256.98,200.0,213.07,365,USD
2018-03-06,213.07,275.0,200.03,200.1,623,USD
2018-03-07,200.1,236.32,150.0,150.37,421,USD
2018-03-08,150.37,180.08,140.0,179.0,479,USD
2018-03-09,179.0,196.1,145.0,175.13,107,USD
2018-03-10,175.13,179.21,0.0,179.08,167,USD
2018-03-11,179.08,179.08,161.38,161.57,63,USD
2018-03-12,161.57,173.0,0.0,172.79,133,USD
2018-03-13,172.79,179.9,151.48,163.08,409,USD
2018-03-14,163.08,180.0,162.24,170.21,183,USD
2018-03-15,170.21,170.21,120.91,140.0,111,USD
2018-03-16,140.0,149.99,123.82,128.5,159,USD
2018-03-17,128.5,128.5,128.5,128.5,0,USD
2018-03-18,128.5,128.5,66.11,85.19,286,USD
2018-03-19,85.19,100.37,0.0,82.35,276,USD
2018-03-20,82.35,135.87,82.35,114.18,221,USD
2018-03-21,114.18,120.0,0.0,108.21,353,USD
2018-03-22,108.21,120.0,0.0,113.0,45,USD
2018-03-23,113.0,123.5,112.1,112.1,46,USD
2018-03-24,112.1,125.5,110.43,115.0,23,USD
2018-03-25,115.0,116.98,113.09,116.98,19,USD
2018-03-26,116.98,116.98,101.81,101.82,18,USD
2018-03-27,101.82,117.09,101.82,102.63,31,USD
2018-03-28,102.63,107.03,102.63,107.03,6,USD
2018-03-29,107.03,107.31,90.01,97.68,7,USD
2018-03-30,97.68,102.44,90.0,93.0,35,USD
2018-03-31,93.0,99.27,93.0,94.0,1,USD
2018-04-01,94.0,94.0,84.9,89.0,7,USD
2018-04-02,89.0,90.0,87.17,90.0,4,USD
2018-04-03,90.0,99.0,90.0,99.0,4,USD
2018-04-04,99.0,99.0,99.0,99.0,0,USD
2018-04-05,99.0,99.0,88.97,88.97,5,USD
2018-04-06,88.97,94.0,88.97,93.86,0,USD
2018-04-07,93.86,93.86,83.5,83.5,3,USD
2018-04-08,83.5,85.69,83.5,85.68,0,USD
2018-04-09,85.68,93.2,77.04,77.04,8,USD
2018-04-10,77.04,85.45,77.04,85.45,8,USD
2018-04-11,85.45,85.45,74.0,74.0,11,USD
