Date,Open,High,Low,Close,Volume,Currency
2018-03-01,0.330927,0.357974,0.307316,0.348767,0,USD
2018-03-02,0.349132,0.352204,0.319269,0.327252,0,USD
2018-03-03,0.326921,0.375328,0.323894,0.34811,0,USD
2018-03-04,0.352894,0.353039,0.331154,0.349184,0,USD
2018-03-05,0.349045,0.35688,0.33803,0.346985,0,USD
2018-03-06,0.34375,0.34375,0.312645,0.321413,0,USD
2018-03-07,0.319966,0.325061,0.264931,0.275331,0,USD
2018-03-08,0.275739,0.291638,0.254789,0.254789,0,USD
2018-03-09,0.254813,0.260148,0.216994,0.242993,0,USD
2018-03-10,0.243041,0.263317,0.234664,0.235268,0,USD
2018-03-11,0.235121,0.250605,0.222502,0.246458,0,USD
2018-03-12,0.246261,0.267019,0.23203,0.24104,0,USD
2018-03-13,0.241195,0.29051,0.241015,0.284421,0,USD
2018-03-14,0.281693,0.34698,0.22419,0.269561,0,USD
2018-03-15,0.273894,0.274633,0.214384,0.236938,0,USD
2018-03-16,0.237216,0.242015,0.216013,0.227231,0,USD
2018-03-17,0.225908,0.226956,0.186621,0.190334,0,USD
2018-03-18,0.189925,0.190184,0.14074,0.184748,0,USD
2018-03-19,0.184878,0.221631,0.179961,0.204377,0,USD
2018-03-20,0.204268,0.231884,0.193649,0.214756,0,USD
2018-03-21,0.214674,0.22522,0.202214,0.206524,0,USD
2018-03-22,0.206524,0.225225,0.189969,0.208682,0,USD
2018-03-23,0.208174,0.208174,0.182824,0.190506,0,USD
2018-03-24,0.190964,0.200151,0.18155,0.18519,0,USD
2018-03-25,0.186061,0.202564,0.181377,0.189399,0,USD
2018-03-26,0.189463,0.201522,0.167389,0.178096,0,USD
2018-03-27,0.178589,0.180995,0.158142,0.164889,0,USD
2018-03-28,0.164632,0.181974,0.161243,0.168983,0,USD
2018-03-29,0.168944,0.170129,0.143217,0.148111,0,USD
2018-03-30,0.148982,0.151364,0.134264,0.145366,0,USD
2018-03-31,0.145222,0.150819,0.141659,0.143001,0,USD
2018-04-01,0.142729,0.151005,0.130386,0.137156,0,USD
2018-04-02,0.137361,0.247325,0.136438,0.181889,0,USD
2018-04-03,0.18136,0.290369,0.158051,0.21391,0,USD
2018-04-04,0.215629,0.246039,0.20101,0.226992,0,USD
2018-04-05,0.226915,0.226915,0.170089,0.190175,0,USD
2018-04-06,0.189447,0.191936,0.162089,0.170878,0,USD
2018-04-07,0.17092,0.178345,0.16825,0.174797,0,USD
2018-04-08,0.174869,0.185907,0.170471,0.183221,0,USD
2018-04-09,0.183536,0.190611,0.167482,0.17545,0,USD
2018-04-10,0.175817,0.180867,0.168186,0.177825,0,USD
2018-04-11,0.178054,0.185897,0.175431,0.184253,0,USD
2018-04-12,0.184236,0.238347,0.179301,0.22104,0,USD
2018-04-13,0.230772,0.250254,0.211062,0.214387,0,USD
2018-04-14,0.214792,0.235382,0.213417,0.221622,0,USD
2018-04-15,0.222729,0.238165,0.220023,0.238165,0,USD
2018-04-16,0.238233,0.245415,0.218394,0.233304,0,USD
2018-04-17,0.230444,0.307391,0.229392,0.251932,0,USD
2018-04-18,0.25213,0.294625,0.246041,0.286583,0,USD
2018-04-19,0.287005,0.294594,0.270966,0.293128,0,USD
2018-04-20,0.292529,0.312173,0.275719,0.311293,0,USD
2018-04-21,0.31168,0.31885,0.276311,0.292698,0,USD
2018-04-22,0.29315,0.29983,0.283645,0.292717,0,USD
2018-04-23,0.297011,0.300964,0.289434,0.298189,0,USD
2018-04-24,0.298686,0.322329,0.296978,0.317651,0,USD
2018-04-25,0.317563,0.327382,0.258673,0.274357,0,USD
2018-04-26,0.27385,0.300816,0.262035,0.298922,0,USD
2018-04-27,0.304529,0.30787,0.285985,0.29252,0,USD
2018-04-28,0.29257,0.320594,0.28913,0.318947,0,USD
2018-04-29,0.318793,0.34115,0.291651,0.320173,0,USD
2018-04-30,0.323862,0.323862,0.294841,0.297358,0,USD
2018-05-01,0.299058,0.314779,0.280861,0.29311,0,USD
2018-05-02,0.293296,0.30398,0.286958,0.30398,0,USD
2018-05-03,0.30679,0.320162,0.296479,0.313197,0,USD
2018-05-04,0.312311,0.313887,0.295437,0.305985,0,USD
2018-05-05,0.306084,0.313412,0.301102,0.308158,0,USD
2018-05-06,0.308007,0.313291,0.290252,0.310393,0,USD
2018-05-07,0.31087,0.31087,0.279945,0.288539,0,USD
2018-05-08,0.29754,0.298014,3.1e-05,0.285268,0,USD
2018-05-09,0.285163,0.2858,0.260227,0.274979,0,USD
2018-05-10,0.273344,0.274894,0.246638,0.247429,0,USD
2018-05-11,0.247075,0.247075,0.201711,0.21069,0,USD
2018-05-12,0.211195,0.217029,0.193357,0.207287,0,USD
2018-05-13,0.207546,0.22762,0.202954,0.227292,0,USD
2018-05-14,0.226127,0.242619,0.214434,0.235094,0,USD
2018-05-15,0.235075,0.240252,0.216803,0.219609,0,USD
2018-05-16,0.219734,0.220905,0.202773,0.210739,0,USD
2018-05-17,0.210838,0.216238,0.198055,0.199433,0,USD
2018-05-18,0.199415,0.205669,0.196603,0.20412,0,USD
2018-05-19,0.204202,0.205592,0.198089,0.202126,0,USD
2018-05-20,0.201905,0.211343,0.20053,0.20856,0,USD
2018-05-21,0.208549,0.211549,0.200015,0.203167,0,USD
2018-05-22,0.203148,0.203355,0.188207,0.188207,0,USD
2018-05-23,0.188141,0.189835,0.16586,0.17406,0,USD
2018-05-24,0.17269,0.182383,0.165155,0.178492,0,USD
2018-05-25,0.178681,0.18281,0.165428,0.173845,0,USD
2018-05-26,0.173813,0.176277,0.16811,0.169008,0,USD
2018-05-27,0.169082,0.174583,0.165124,0.171785,0,USD
2018-05-28,0.171785,0.195981,0.153923,0.153923,0,USD
2018-05-29,0.154018,0.167937,0.14876,0.164676,0,USD
