Date,Open,High,Low,Close,Volume,Currency
2018-02-02,1.99999,1.99999,1.35,1.8,4352,USD
2018-02-03,1.8,1.89999,1.55,1.88,1263,USD
2018-02-04,1.88,1.91999,1.6,1.6016,1019,USD
2018-02-05,1.6016,1.6016,1.21,1.21,2613,USD
2018-02-06,1.21,2.06871,0.917,1.39684,9731,USD
2018-02-07,1.39684,1.7524,1.30871,1.35,9718,USD
2018-02-08,1.35,1.58964,1.31,1.46147,1967,USD
2018-02-09,1.46147,1.675,1.39876,1.58964,930,USD
2018-02-10,1.58964,1.67674,1.46311,1.5968,1020,USD
2018-02-11,1.5968,1.98,1.44,1.97999,1535,USD
2018-02-12,1.97999,2.06871,1.85001,1.86011,2752,USD
2018-02-13,1.86011,1.99999,1.79,1.86,2331,USD
2018-02-14,1.86,1.9764,1.803,1.95,1494,USD
2018-02-15,1.95,2.07,1.9001,2.07,1253,USD
2018-02-16,2.07,2.07,1.93264,1.9401,408,USD
2018-02-17,1.9401,2.21999,1.9401,2.12,737,USD
2018-02-18,2.12,2.2,1.93503,2.005,3813,USD
2018-02-19,2.005,2.08927,1.95001,2.08927,1036,USD
2018-02-20,2.08927,2.14,1.86,1.86,1300,USD
2018-02-21,1.86,1.88,1.61001,1.73,1499,USD
2018-02-22,1.73,1.87998,1.61001,1.64962,853,USD
2018-02-23,1.64962,1.85895,1.6495,1.76002,2055,USD
2018-02-24,1.76002,1.92927,1.6494,1.7,865,USD
2018-02-25,1.7,1.75827,1.6494,1.75824,130,USD
2018-02-26,1.75824,1.75828,1.652,1.75828,828,USD
2018-02-27,1.75828,1.92927,1.65285,1.92927,465,USD
2018-02-28,1.92927,1.93193,1.66001,1.90659,1777,USD
2018-03-01,1.90659,1.96682,1.71104,1.96682,137,USD
2018-03-02,1.96682,2.099,1.71079,1.89177,510,USD
2018-03-03,1.89177,2.0989,1.82001,1.82171,330,USD
2018-03-04,1.82171,2.09569,1.8211,1.90371,132,USD
2018-03-05,1.90371,2.00947,1.90371,2.00542,155,USD
