Date,Open,High,Low,Close,Volume,Currency
2020-11-06,0.02945,0.03003,0.02814,0.02881,0,USD
2020-11-07,0.02881,0.02912,0.02588,0.0265,0,USD
2020-11-08,0.0265,0.0287,0.02634,0.02806,0,USD
2020-11-09,0.02806,0.02819,0.0259,0.02674,0,USD
2020-11-10,0.02678,0.02771,0.02487,0.02526,0,USD
2020-11-11,0.02526,0.02594,0.02352,0.02396,0,USD
2020-11-12,0.02397,0.02575,0.02363,0.02483,0,USD
2020-11-13,0.02485,0.02513,0.02436,0.02463,0,USD
2020-11-14,0.02463,0.02463,0.02367,0.02426,0,USD
2020-11-15,0.02425,0.02437,0.02385,0.0241,0,USD
2020-11-16,0.02407,0.02489,0.02397,0.02467,0,USD
2020-11-17,0.02466,0.02576,0.02442,0.02518,0,USD
2020-11-18,0.02517,0.02627,0.02441,0.0248,0,USD
2020-11-19,0.02483,0.02534,0.02423,0.02487,0,USD
2020-11-20,0.02484,0.02575,0.0248,0.02548,0,USD
2020-11-21,0.02548,0.02586,0.02481,0.02564,0,USD
2020-11-22,0.02566,0.02574,0.0239,0.02437,0,USD
2020-11-23,0.02435,0.02554,0.0206,0.02536,0,USD
2020-11-24,0.02534,0.02545,0.02326,0.0244,0,USD
2020-11-25,0.02439,0.02476,0.02344,0.0237,0,USD
2020-11-26,0.02366,0.0239,0.02083,0.02194,0,USD
2020-11-27,0.02196,0.02284,0.02148,0.02272,0,USD
2020-11-28,0.02284,0.0284,0.0225,0.02492,0,USD
2020-11-29,0.02493,0.02655,0.02468,0.02593,0,USD
2020-11-30,0.02595,0.02698,0.0229,0.02491,0,USD
2020-12-01,0.02492,0.02579,0.02314,0.0256,0,USD
2020-12-02,0.0255,0.02841,0.02513,0.02838,0,USD
2020-12-03,0.02827,0.02847,0.02694,0.02732,0,USD
2020-12-04,0.02733,0.02745,0.02561,0.02567,0,USD
2020-12-05,0.02565,0.02778,0.02543,0.02778,0,USD
2020-12-06,0.02778,0.02805,0.02628,0.02696,0,USD
2020-12-07,0.02699,0.02864,0.02668,0.02803,0,USD
2020-12-08,0.02804,0.02821,0.02671,0.02676,0,USD
2020-12-09,0.02671,0.02732,0.01808,0.02255,0,USD
2020-12-10,0.02255,0.02585,0.0199,0.02455,0,USD
2020-12-11,0.02457,0.0268,0.02392,0.02523,0,USD
2020-12-12,0.02518,0.02773,0.02518,0.02754,0,USD
2020-12-13,0.02757,0.02825,0.02709,0.02733,0,USD
2020-12-14,0.02732,0.0323,0.02711,0.03008,0,USD
2020-12-15,0.03009,0.0369,0.02864,0.03484,0,USD
2020-12-16,0.03483,0.03902,0.02818,0.03188,0,USD
2020-12-17,0.03191,0.03302,0.02806,0.02965,0,USD
2020-12-18,0.02963,0.03015,0.02888,0.02986,0,USD
2020-12-19,0.02983,0.03284,0.02938,0.03242,0,USD
2020-12-20,0.03237,0.03237,0.02991,0.03025,0,USD
2020-12-21,0.03022,0.03106,0.02844,0.02945,0,USD
2020-12-22,0.02942,0.03069,0.02883,0.03067,0,USD
2020-12-23,0.0307,0.03128,0.02865,0.02928,0,USD
2020-12-24,0.02928,0.02973,0.02855,0.02968,0,USD
2020-12-25,0.02971,0.031,0.02931,0.03084,0,USD
2020-12-26,0.03089,0.03133,0.01897,0.02468,0,USD
2020-12-27,0.02469,0.02706,0.02002,0.0232,0,USD
2020-12-28,0.02328,0.02539,0.02161,0.02447,0,USD
2020-12-29,0.02449,0.02449,0.02177,0.02254,0,USD
2020-12-30,0.02255,0.02425,0.02101,0.02354,0,USD
2020-12-31,0.02355,0.03131,0.02072,0.02473,0,USD
2021-01-01,0.02461,0.02631,0.02399,0.02538,0,USD
2021-01-02,0.02538,0.02712,0.02367,0.0251,0,USD
2021-01-03,0.0251,0.02724,0.02453,0.02474,0,USD
2021-01-04,0.02484,0.02902,0.02135,0.027,0,USD
2021-01-05,0.02704,0.02775,0.01655,0.01714,0,USD
2021-01-06,0.01715,0.03023,0.01699,0.02759,0,USD
2021-01-07,0.02764,0.03505,0.02404,0.02831,0,USD
2021-01-08,0.02837,0.02946,0.02614,0.02739,0,USD
2021-01-09,0.02715,0.03304,0.02646,0.03072,0,USD
2021-01-10,0.03053,0.03117,0.02349,0.02526,0,USD
2021-01-11,0.02525,0.02525,0.02039,0.02365,0,USD
2021-01-12,0.02351,0.02436,0.0217,0.02269,0,USD
2021-01-13,0.0228,0.02488,0.02173,0.02384,0,USD
2021-01-14,0.02392,0.02621,0.02392,0.02587,0,USD
2021-01-15,0.02585,0.02613,0.02209,0.02356,0,USD
2021-01-16,0.02355,0.02621,0.02284,0.02401,0,USD
2021-01-17,0.02398,0.02489,0.02275,0.02438,0,USD
2021-01-18,0.0244,0.02534,0.0234,0.02456,0,USD
2021-01-19,0.02463,0.02715,0.02432,0.02556,0,USD
2021-01-20,0.02543,0.02601,0.02305,0.02449,0,USD
2021-01-21,0.02452,0.02462,0.02086,0.02144,0,USD
2021-01-22,0.02145,0.02369,0.0203,0.02319,0,USD
2021-01-23,0.02314,0.02345,0.02203,0.02248,0,USD
2021-01-24,0.02247,0.02316,0.02097,0.02099,0,USD
2021-01-25,0.021,0.02307,0.02083,0.02083,0,USD
2021-01-26,0.02072,0.02373,0.0204,0.02327,0,USD
2021-01-27,0.02328,0.03056,0.02173,0.02344,0,USD
2021-01-28,0.02363,0.02752,0.0229,0.02702,0,USD
2021-01-29,0.02704,0.03134,0.02496,0.02558,0,USD
2021-01-30,0.02553,0.02652,0.02436,0.0254,0,USD
2021-01-31,0.0254,0.02647,0.02325,0.02468,0,USD
2021-02-01,0.02466,0.02585,0.02379,0.02452,0,USD
2021-02-02,0.02446,0.02628,0.02446,0.02579,0,USD
2021-02-03,0.02598,0.02733,0.02577,0.02705,0,USD
2021-02-04,0.02712,0.02807,0.02616,0.02661,0,USD
2021-02-05,0.02662,0.028,0.02638,0.02774,0,USD
2021-02-06,0.02774,0.0295,0.0277,0.02811,0,USD
2021-02-07,0.02807,0.02847,0.02626,0.02802,0,USD
2021-02-08,0.02795,0.03218,0.02738,0.03211,0,USD
2021-02-09,0.032,0.03278,0.02844,0.03003,0,USD
2021-02-10,0.03004,0.03195,0.02802,0.02917,0,USD
2021-02-11,0.02916,0.03122,0.02777,0.03047,0,USD
2021-02-12,0.03053,0.03233,0.02622,0.0299,0,USD
2021-02-13,0.02986,0.0304,0.02892,0.02945,0,USD
2021-02-14,0.02948,0.03151,0.0289,0.0304,0,USD
2021-02-15,0.0304,0.0309,0.0284,0.02852,0,USD
2021-02-16,0.02847,0.0308,0.02655,0.02679,0,USD
2021-02-17,0.02683,0.0298,0.02683,0.02788,0,USD
2021-02-18,0.02788,0.02961,0.02728,0.02865,0,USD
2021-02-19,0.02864,0.03251,0.02776,0.0321,0,USD
2021-02-20,0.0321,0.03298,0.02841,0.02936,0,USD
2021-02-21,0.02931,0.03061,0.02908,0.02955,0,USD
2021-02-22,0.02958,0.02958,0.02126,0.02458,0,USD
2021-02-23,0.02458,0.02773,0.02,0.02053,0,USD
2021-02-24,0.02053,0.02565,0.01998,0.02459,0,USD
2021-02-25,0.02459,0.02518,0.02062,0.02065,0,USD
2021-02-26,0.02073,0.02146,0.01855,0.01945,0,USD
2021-02-27,0.01945,0.02078,0.01942,0.02009,0,USD
2021-02-28,0.0201,0.02298,0.01922,0.02263,0,USD
2021-03-01,0.02267,0.02758,0.02234,0.02727,0,USD
2021-03-02,0.0275,0.02781,0.0214,0.02225,0,USD
2021-03-03,0.02253,0.0239,0.02164,0.02274,0,USD
2021-03-04,0.02244,0.02341,0.02054,0.02108,0,USD
2021-03-05,0.02127,0.02202,0.02022,0.02178,0,USD
2021-03-06,0.02173,0.02263,0.02122,0.02247,0,USD
2021-03-07,0.02248,0.02355,0.02144,0.02249,0,USD
2021-03-08,0.02244,0.02357,0.02134,0.02354,0,USD
2021-03-09,0.02355,0.02411,0.01925,0.0206,0,USD
2021-03-10,0.02063,0.02325,0.0195,0.02214,0,USD
2021-03-11,0.02217,0.02294,0.0204,0.02198,0,USD
2021-03-12,0.02203,0.0233,0.02072,0.02148,0,USD
2021-03-13,0.02149,0.02313,0.01729,0.0193,0,USD
2021-03-14,0.01928,0.02245,0.01799,0.02184,0,USD
2021-03-15,0.02188,0.0227,0.0207,0.02093,0,USD
2021-03-16,0.0209,0.02129,0.01871,0.02129,0,USD
2021-03-17,0.02133,0.02225,0.02,0.02,0,USD
2021-03-18,0.02001,0.02182,0.02001,0.02104,0,USD
2021-03-19,0.02071,0.02191,0.02,0.02035,0,USD
2021-03-20,0.02034,0.02089,0.01973,0.01973,0,USD
2021-03-21,0.01976,0.02033,0.01834,0.01921,0,USD
2021-03-22,0.01923,0.01981,0.01749,0.01761,0,USD
2021-03-23,0.0176,0.01877,0.01731,0.01769,0,USD
2021-03-24,0.0177,0.01974,0.01742,0.01864,0,USD
2021-03-25,0.01861,0.01884,0.01668,0.01671,0,USD
2021-03-26,0.01668,0.0187,0.01668,0.0187,0,USD
2021-03-27,0.0187,0.01945,0.01851,0.01872,0,USD
