Date,Open,High,Low,Close,Volume,Currency
2019-05-02,0.0374,0.0395,0.037,0.0388,49574,USD
2019-05-03,0.0386,0.0394,0.0372,0.039,131013,USD
2019-05-04,0.039,0.0392,0.036,0.0389,195987,USD
2019-05-05,0.0389,0.0389,0.036,0.0376,135019,USD
2019-05-06,0.0376,0.0384,0.035,0.0382,115162,USD
2019-05-07,0.0382,0.0382,0.0335,0.0346,205743,USD
2019-05-08,0.0346,0.0356,0.0323,0.0341,144181,USD
2019-05-09,0.0341,0.035,0.032,0.033,86961,USD
2019-05-10,0.032,0.0361,0.032,0.0351,103226,USD
2019-05-11,0.0351,0.04,0.0332,0.04,267860,USD
2019-05-12,0.04,0.04,0.0348,0.0348,237659,USD
2019-05-13,0.0348,0.041,0.0348,0.0402,155866,USD
2019-05-14,0.0402,0.0429,0.0393,0.0413,166716,USD
2019-05-15,0.0413,0.0441,0.0372,0.0417,334577,USD
2019-05-16,0.0417,0.0441,0.0371,0.0407,208161,USD
2019-05-17,0.0407,0.049,0.0371,0.0445,356864,USD
2019-05-18,0.0445,0.0471,0.042,0.0451,181463,USD
2019-05-19,0.0451,0.0472,0.0415,0.0441,141636,USD
2019-05-20,0.0441,0.0449,0.0422,0.0433,45286,USD
2019-05-21,0.0433,0.0452,0.0404,0.0443,37518,USD
2019-05-22,0.0443,0.0447,0.0398,0.041,143483,USD
2019-05-23,0.04,0.0413,0.0386,0.0406,63476,USD
2019-05-24,0.0406,0.0429,0.038,0.0429,99262,USD
2019-05-25,0.0429,0.0641,0.0404,0.0543,1410437,USD
2019-05-26,0.0543,0.0543,0.0444,0.0464,250062,USD
2019-05-27,0.0464,0.05,0.0432,0.0491,178389,USD
2019-05-28,0.0491,0.0513,0.0472,0.051,190705,USD
2019-05-29,0.051,0.0537,0.0473,0.0512,14470,USD
2019-05-30,0.0509,0.0525,0.0452,0.0479,365270,USD
2019-05-31,0.0479,0.052,0.0457,0.052,37259,USD
2019-06-01,0.052,0.052,0.05,0.0516,61119,USD
2019-06-02,0.0516,0.0517,0.049,0.0511,74368,USD
2019-06-03,0.0511,0.0588,0.0493,0.0517,307564,USD
2019-06-04,0.0517,0.0574,0.0478,0.0502,177007,USD
2019-06-05,0.0502,0.0566,0.0502,0.0566,48925,USD
2019-06-06,0.0561,0.0578,0.0544,0.0578,100446,USD
2019-06-07,0.0578,0.074,0.0575,0.0696,380608,USD
2019-06-08,0.0696,0.072,0.0616,0.0687,354696,USD
2019-06-09,0.0687,0.0687,0.0536,0.0595,103065,USD
2019-06-10,0.0595,0.0646,0.0563,0.0609,62205,USD
2019-06-11,0.0609,0.0674,0.0588,0.0661,75675,USD
2019-06-12,0.0661,0.069,0.063,0.0679,44975,USD
2019-06-13,0.0679,0.075,0.0671,0.0735,112093,USD
2019-06-14,0.0735,0.0769,0.0643,0.0691,90534,USD
2019-06-15,0.0691,0.0782,0.0667,0.0751,65196,USD
2019-06-16,0.0751,0.0769,0.0688,0.0715,90340,USD
2019-06-17,0.0715,0.0715,0.0641,0.0673,141504,USD
2019-06-18,0.0673,0.0705,0.0652,0.0705,29342,USD
2019-06-19,0.0705,0.0705,0.0658,0.0658,25388,USD
2019-06-20,0.0658,0.0673,0.0576,0.0618,95290,USD
2019-06-21,0.0615,0.0658,0.057,0.0625,103215,USD
2019-06-22,0.0625,0.0656,0.059,0.0656,32627,USD
2019-06-23,0.0656,0.0667,0.0613,0.0667,21438,USD
2019-06-24,0.0667,0.0715,0.0635,0.0715,13365,USD
2019-06-25,0.0715,0.0757,0.0671,0.0706,151270,USD
2019-06-26,0.0706,0.0757,0.0662,0.0685,127836,USD
2019-06-27,0.0685,0.0713,0.0572,0.0647,52874,USD
2019-06-28,0.0647,0.0649,0.0611,0.0644,18460,USD
2019-06-29,0.0644,0.0644,0.0542,0.0628,88324,USD
2019-06-30,0.0628,0.0628,0.0545,0.0572,127776,USD
2019-07-01,0.0572,0.0595,0.0533,0.056,199861,USD
2019-07-02,0.056,0.0594,0.0517,0.0573,87810,USD
2019-07-03,0.0573,0.071,0.056,0.0664,67990,USD
2019-07-04,0.0664,0.0706,0.062,0.0628,65375,USD
2019-07-05,0.0628,0.0869,0.0611,0.0733,358066,USD
2019-07-06,0.0733,0.0845,0.07,0.0742,444202,USD
2019-07-07,0.0742,0.0757,0.0639,0.07,139403,USD
2019-07-08,0.07,0.0776,0.0672,0.0688,64705,USD
2019-07-09,0.0688,0.077,0.054,0.0758,114734,USD
2019-07-10,0.0758,0.0848,0.0725,0.0762,82757,USD
2019-07-11,0.0762,0.0822,0.0588,0.0662,144414,USD
2019-07-12,0.0662,0.0728,0.0662,0.0715,22549,USD
2019-07-13,0.0714,0.073,0.0647,0.0663,52148,USD
2019-07-14,0.0663,0.0687,0.0601,0.0626,53765,USD
2019-07-15,0.0626,0.0632,0.0541,0.0632,63252,USD
2019-07-16,0.0632,0.0642,0.0574,0.0579,24284,USD
2019-07-17,0.0579,0.0671,0.0568,0.0616,20421,USD
2019-07-18,0.0616,0.0682,0.06,0.0669,17823,USD
2019-07-19,0.0669,0.068,0.0616,0.0639,9644,USD
2019-07-20,0.0639,0.0689,0.0612,0.0675,23969,USD
2019-07-21,0.0675,0.0675,0.0601,0.0624,30943,USD
2019-07-22,0.0624,0.0641,0.0547,0.0608,32073,USD
2019-07-23,0.0608,0.0608,0.0572,0.0572,7049,USD
2019-07-24,0.0572,0.0588,0.0554,0.0587,29681,USD
2019-07-25,0.0587,0.0627,0.0587,0.06,10541,USD
2019-07-26,0.06,0.0601,0.0599,0.0599,8269,USD
2019-07-27,0.0599,0.07,0.055,0.055,8388,USD
2019-07-28,0.055,0.0606,0.0546,0.0573,2184,USD
2019-07-29,0.0573,0.0573,0.0573,0.0573,0,USD
2019-07-30,0.0573,0.0573,0.0564,0.0573,5574,USD
2019-07-31,0.0573,0.0573,0.0573,0.0573,0,USD
2019-08-01,0.0571,0.0613,0.0571,0.0613,2770,USD
2019-08-02,0.0613,0.0631,0.0572,0.0631,4996,USD
2019-08-03,0.0631,0.0632,0.0613,0.0615,7571,USD
2019-08-04,0.0615,0.0627,0.0613,0.0627,5888,USD
2019-08-05,0.0628,0.0648,0.0613,0.0627,9483,USD
2019-08-06,0.0627,0.066,0.0554,0.0615,23521,USD
2019-08-07,0.0615,0.0627,0.0562,0.0562,27595,USD
2019-08-08,0.0562,0.0568,0.0538,0.054,26882,USD
2019-08-09,0.054,0.0564,0.0537,0.0564,10335,USD
2019-08-10,0.0564,0.064,0.0564,0.064,104,USD
