Date,Open,High,Low,Close,Volume,Currency
2018-02-26,0.206453,0.206773,0.177313,0.190066,0,USD
2018-02-27,0.190066,0.207441,0.180944,0.191794,0,USD
2018-02-28,0.191794,0.209226,0.175794,0.175794,0,USD
2018-03-01,0.175794,0.191996,0.169908,0.181163,0,USD
2018-03-02,0.181163,0.184842,0.174252,0.176662,0,USD
2018-03-03,0.176662,0.182884,0.1709,0.17753,0,USD
2018-03-04,0.17753,0.18201,0.16615,0.175777,0,USD
2018-03-05,0.175777,0.176369,0.162104,0.165365,0,USD
2018-03-06,0.165365,0.165481,0.141032,0.142827,0,USD
2018-03-07,0.142827,0.148584,0.107935,0.118577,0,USD
2018-03-08,0.118577,0.125394,0.098813,0.098847,0,USD
2018-03-09,0.098847,0.111877,0.085386,0.103858,0,USD
2018-03-10,0.103863,0.112125,0.093295,0.095263,0,USD
2018-03-11,0.095263,0.121367,0.090913,0.117214,0,USD
2018-03-12,0.117214,0.122851,0.096655,0.101459,0,USD
2018-03-13,0.101459,0.105495,0.094375,0.096191,0,USD
2018-03-14,0.096191,0.100932,0.077846,0.080987,0,USD
2018-03-15,0.080987,0.085834,0.07246,0.080644,0,USD
2018-03-16,0.080644,0.089706,0.076273,0.080473,0,USD
2018-03-17,0.080473,0.081068,0.070507,0.072249,0,USD
2018-03-18,0.072249,0.079085,0.058423,0.076165,0,USD
2018-03-19,0.076165,0.08448,0.072165,0.079076,0,USD
2018-03-20,0.079076,0.086626,0.074956,0.084112,0,USD
2018-03-21,0.084112,0.103818,0.083843,0.091403,0,USD
2018-03-22,0.091403,0.098271,0.081832,0.088389,0,USD
2018-03-23,0.088389,0.088724,0.078032,0.085863,0,USD
2018-03-24,0.085863,0.096231,0.084926,0.086211,0,USD
2018-03-25,0.086211,0.10103,0.083816,0.093615,0,USD
2018-03-26,0.093615,0.095588,0.07614,0.081248,0,USD
2018-03-27,0.081248,0.082855,0.073106,0.076243,0,USD
2018-03-28,0.076243,0.09338,0.075525,0.088025,0,USD
2018-03-29,0.088025,0.089413,0.069971,0.073298,0,USD
2018-03-30,0.073298,0.07569,0.065437,0.068438,0,USD
2018-03-31,0.068438,0.074564,0.068438,0.071572,0,USD
2018-04-01,0.071572,0.072306,0.061629,0.066467,0,USD
2018-04-02,0.066467,0.072225,0.065702,0.068587,0,USD
2018-04-03,0.068587,0.075733,0.067186,0.074232,0,USD
2018-04-04,0.074232,0.07462,0.06422,0.065796,0,USD
2018-04-05,0.065796,0.066038,0.062061,0.064136,0,USD
2018-04-06,0.064136,0.065011,0.059348,0.060189,0,USD
2018-04-07,0.060189,0.07816,0.060075,0.070942,0,USD
2018-04-08,0.070942,0.074259,0.068212,0.070742,0,USD
2018-04-09,0.070742,0.072352,0.064872,0.066126,0,USD
2018-04-10,0.066126,0.072424,0.064428,0.069836,0,USD
2018-04-11,0.069836,0.074758,0.069173,0.072405,0,USD
2018-04-12,0.072405,0.082164,0.069826,0.081731,0,USD
2018-04-13,0.081731,0.099871,0.080102,0.083714,0,USD
2018-04-14,0.083714,0.105705,0.082251,0.098343,0,USD
2018-04-15,0.098343,0.104145,0.095519,0.099908,0,USD
2018-04-16,0.099908,0.101945,0.088486,0.090792,0,USD
2018-04-17,0.090792,0.098112,0.089768,0.09342,0,USD
2018-04-18,0.09342,0.100074,0.093361,0.098448,0,USD
2018-04-19,0.098448,0.108306,0.098157,0.107944,0,USD
