Date,Open,High,Low,Close,Volume,Currency
2018-03-02,0.020269,0.020761,0.01884,0.018956,0,USD
2018-03-03,0.019017,0.020878,0.019017,0.019539,0,USD
2018-03-04,0.019497,0.019497,0.018081,0.019045,0,USD
2018-03-05,0.019045,0.021179,0.01756,0.018208,0,USD
2018-03-06,0.018208,0.018519,0.014794,0.015012,0,USD
2018-03-07,0.015012,0.015257,0.012533,0.012599,0,USD
2018-03-08,0.012599,0.013692,0.010882,0.011205,0,USD
2018-03-09,0.011205,0.011351,0.009812,0.010926,0,USD
2018-03-10,0.010926,0.013239,0.010351,0.010638,0,USD
2018-03-11,0.010638,0.015633,0.009929,0.015311,0,USD
2018-03-12,0.015311,0.018915,0.012671,0.013042,0,USD
2018-03-13,0.013042,0.013406,0.011414,0.012606,0,USD
2018-03-14,0.012606,0.012767,0.009865,0.010231,0,USD
2018-03-15,0.010231,0.010893,0.009492,0.009657,0,USD
2018-03-16,0.009657,0.009751,0.008463,0.008499,0,USD
2018-03-17,0.008499,0.009509,0.008303,0.008382,0,USD
2018-03-18,0.008382,0.008761,0.007619,0.008618,0,USD
2018-03-19,0.008618,0.010141,0.008526,0.010062,0,USD
2018-03-20,0.010062,0.010062,0.008991,0.009341,0,USD
2018-03-21,0.009341,0.010585,0.009279,0.009567,0,USD
2018-03-22,0.009567,0.009802,0.007738,0.008455,0,USD
2018-03-23,0.008455,0.009882,0.008227,0.009882,0,USD
2018-03-24,0.009882,0.010405,0.009787,0.009867,0,USD
2018-03-25,0.009867,0.010189,0.009284,0.00929,0,USD
2018-03-26,0.00929,0.009664,0.008631,0.009181,0,USD
2018-03-27,0.009181,0.009406,0.008536,0.008562,0,USD
2018-03-28,0.008562,0.008741,0.007518,0.00802,0,USD
2018-03-29,0.00802,0.008724,0.006721,0.006879,0,USD
2018-03-30,0.006879,0.007403,0.006469,0.006977,0,USD
2018-03-31,0.006977,0.007525,0.006589,0.007064,0,USD
2018-04-01,0.007064,0.007241,0.006371,0.006708,0,USD
2018-04-02,0.006708,0.007161,0.006673,0.007088,0,USD
2018-04-03,0.007088,0.007808,0.007088,0.00759,0,USD
2018-04-04,0.00759,0.007676,0.006857,0.006922,0,USD
2018-04-05,0.006922,0.007045,0.006703,0.006897,0,USD
2018-04-06,0.006897,0.006981,0.006476,0.006647,0,USD
2018-04-07,0.006647,0.007045,0.006633,0.006922,0,USD
2018-04-08,0.006922,0.007103,0.006861,0.007085,0,USD
2018-04-09,0.007085,0.007147,0.006448,0.006624,0,USD
2018-04-10,0.006626,0.007613,0.006149,0.007387,0,USD
2018-04-11,0.007387,0.008257,0.006562,0.007602,0,USD
2018-04-12,0.007602,0.009313,0.006964,0.008981,0,USD
2018-04-13,0.00898,0.009091,0.008474,0.008588,0,USD
2018-04-14,0.008588,0.008812,0.008451,0.008766,0,USD
2018-04-15,0.008766,0.009138,0.008763,0.009067,0,USD
2018-04-16,0.009067,0.009119,0.008494,0.008781,0,USD
2018-04-17,0.008781,0.008899,0.008376,0.008442,0,USD
2018-04-18,0.008442,0.008985,0.008394,0.008902,0,USD
2018-04-19,0.008902,0.011494,0.008659,0.010054,0,USD
2018-04-20,0.010054,0.010886,0.009588,0.010556,0,USD
2018-04-21,0.010556,0.010609,0.009955,0.010385,0,USD
2018-04-22,0.010385,0.010938,0.009759,0.009812,0,USD
2018-04-23,0.009812,0.011394,0.009638,0.011353,0,USD
2018-04-24,0.011353,0.013007,0.010216,0.011463,0,USD
2018-04-25,0.011436,0.012441,0.010358,0.010517,0,USD
2018-04-26,0.010517,0.010797,0.010045,0.010783,0,USD
2018-04-27,0.010783,0.010788,0.008841,0.009287,0,USD
2018-04-28,0.009287,0.009925,0.009014,0.009526,0,USD
2018-04-29,0.009526,0.010451,0.009506,0.010385,0,USD
2018-04-30,0.010385,0.01047,0.009443,0.009467,0,USD
2018-05-01,0.009467,0.009687,0.009141,0.009664,0,USD
2018-05-02,0.009655,0.010606,0.00949,0.010066,0,USD
2018-05-03,0.010066,0.01397,0.009994,0.013525,0,USD
2018-05-04,0.013525,0.013882,0.012603,0.012863,0,USD
2018-05-05,0.012863,0.015212,0.012265,0.013992,0,USD
2018-05-06,0.013959,0.01413,0.013484,0.014102,0,USD
2018-05-07,0.014102,0.014127,0.012791,0.01287,0,USD
2018-05-08,0.012588,0.013457,1e-06,0.012131,0,USD
2018-05-09,0.012123,0.01237,0.011853,0.01216,0,USD
2018-05-10,0.01216,0.012273,0.010849,0.010868,0,USD
2018-05-11,0.010868,0.010868,0.009889,0.009945,0,USD
2018-05-12,0.009945,0.011107,0.009856,0.010992,0,USD
2018-05-13,0.011017,0.012642,0.010202,0.011289,0,USD
2018-05-14,0.011289,0.011432,0.008693,0.009707,0,USD
2018-05-15,0.009706,0.010096,0.008984,0.009016,0,USD
2018-05-16,0.009016,0.009116,0.008572,0.009008,0,USD
2018-05-17,0.009016,0.011876,0.008615,0.010849,0,USD
